2011年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2.6,10.2,14.2,15.8,22.5,23.2,24.4,25.7,25.3,24.1,21.2,15.8
2,7.5,11.8,10.9,16.2,21.4,23.2,25.3,26.3,25.6,22.2,22.7,12.2
3,10.1,12.2,11.0,16.8,20.8,24.7,25.0,26.3,25.1,20.7,23.6,10.2
4,9.9,12.9,9.2,12.5,19.3,24.4,25.8,26.0,25.3,21.0,23.8,13.4
5,13.5,11.7,11.8,10.6,21.1,24.6,25.1,25.8,24.3,22.7,23.2,17.5
6,10.9,11.7,14.6,13.7,21.0,24.4,24.7,25.8,23.7,22.2,23.1,20.1
7,8.0,12.7,9.6,15.8,21.3,24.5,24.5,26.0,24.3,21.9,23.9,20.7
8,11.8,12.3,7.5,16.4,21.5,24.4,24.4,27.1,24.5,22.5,23.7,16.6
9,11.8,14.1,13.0,17.8,20.8,25.9,25.1,25.9,26.0,24.1,21.9,11.7
10,9.5,14.3,14.2,18.8,20.7,24.4,26.1,26.0,25.6,25.0,19.6,11.9
11,9.1,9.7,14.3,17.8,22.3,24.2,25.2,25.7,24.5,24.7,19.9,12.2
12,8.9,7.4,14.9,14.7,23.9,24.2,25.7,25.4,25.4,24.5,20.4,15.3
13,12.4,10.7,16.1,17.1,22.5,25.6,25.5,25.3,25.5,24.5,20.6,16.3
14,14.7,8.1,17.2,17.6,21.5,25.1,25.1,25.9,25.0,23.8,19.8,17.9
15,8.8,9.2,13.6,19.3,21.1,24.6,24.4,26.4,24.7,22.7,20.2,15.8
16,3.8,12.9,6.2,20.2,20.9,25.3,24.5,25.1,24.8,20.3,21.8,11.6
17,7.3,14.4,8.5,18.6,19.5,26.0,25.1,24.8,24.3,19.1,23.4,10.4
18,10.9,12.9,13.4,17.0,20.4,25.4,25.7,25.5,23.6,18.0,23.4,12.0
19,13.9,12.7,16.6,14.1,21.6,25.7,26.6,24.9,21.8,17.9,23.1,13.2
20,14.4,12.1,19.6,13.7,21.6,25.4,25.8,25.5,21.0,20.6,16.2,15.9
21,12.3,11.2,20.7,15.7,21.6,26.0,26.3,25.3,19.9,22.1,16.4,16.5
22,11.0,12.1,11.7,17.7,22.8,25.9,26.4,25.1,19.8,21.0,19.6,12.5
23,12.5,14.1,9.7,11.9,22.7,25.8,25.8,25.4,19.9,21.1,17.4,10.1
24,10.1,14.8,10.2,15.1,21.8,25.4,26.0,25.2,21.8,22.5,13.6,5.3
25,10.9,15.1,9.4,15.7,21.2,25.5,26.2,25.6,24.2,19.6,16.2,6.6
26,12.7,14.2,9.6,17.5,22.4,25.5,25.3,26.0,25.1,17.0,18.7,11.0
27,13.6,15.5,10.5,19.3,22.5,25.8,24.7,25.8,25.1,18.9,19.0,12.9
28,12.7,15.6,10.9,20.0,19.4,24.4,26.0,26.3,25.6,20.1,19.8,14.4
29,8.1,,10.0,20.4,17.0,24.4,24.9,25.3,25.5,20.0,20.4,14.7
30,7.3,,10.4,21.9,19.6,25.2,24.9,24.3,25.7,18.7,21.3,13.4
31,6.5,,13.1,,20.3,,25.0,24.5,,18.9,,13.3
平均,10.2,12.4,12.3,16.7,21.2,25,25.3,25.6,24.1,21.4,20.6,13.6
