2013年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2.11,9.52,9.40,3.13,9.86,15.09,15.84,9.71,5.99,11.13,10.37,10.09
2,4.45,7.88,3.73,12.99,2.12,14.84,13.06,6.86,7.07,12.60,3.62,7.23
3,3.77,4.70,2.19,9.00,3.75,12.70,13.22,15.40,13.93,11.04,6.95,9.85
4,7.98,8.88,8.19,4.15,11.48,8.08,12.93,16.09,10.39,12.86,5.62,9.53
5,9.62,6.10,12.64,1.69,13.97,7.30,13.91,15.30,13.53,6.75,4.65,9.64
6,9.69,10.98,6.30,2.58,12.25,13.82,10.11,13.53,13.82,3.72,6.32,8.92
7,8.67,7.21,14.12,12.59,12.12,14.81,13.07,11.26,13.00,13.33,8.63,7.91
8,3.18,11.13,13.69,7.04,10.69,14.83,15.87,14.85,12.88,11.11,9.43,6.93
9,4.78,11.39,13.50,5.09,8.50,8.79,11.44,15.81,13.73,11.19,6.95,6.45
10,5.89,5.93,14.22,5.22,13.56,4.74,12.52,13.16,12.35,12.77,6.09,4.47
11,7.60,9.07,13.24,2.34,7.03,10.86,13.85,15.52,12.31,9.89,6.55,3.21
12,7.63,11.40,14.00,2.45,3.94,0.00,10.02,12.49,9.46,10.21,7.00,4.08
13,3.88,10.29,10.45,3.72,6.40,9.01,1.46,10.01,7.51,11.94,8.62,2.18
14,10.65,12.27,12.25,1.04,13.13,9.60,12.50,5.53,13.08,12.34,8.46,7.47
15,10.05,11.91,5.62,15.05,8.83,7.39,14.91,8.50,11.66,12.45,10.02,3.31
16,9.85,12.01,13.07,10.06,4.75,11.94,8.23,13.21,13.82,11.85,0.59,5.45
17,9.55,12.47,12.59,4.51,9.88,9.19,13.79,11.46,13.37,10.78,/,1.99
18,9.79,11.14,7.69,8.45,11.47,14.96,8.64,14.70,14.58,11.81,0.67,8.09
19,9.80,11.14,8.41,7.04,5.52,14.84,7.54,13.83,13.52,11.31,9.10,5.54
20,9.39,6.91,7.59,5.76,8.83,8.03,9.70,5.65,9.11,11.46,5.18,3.99
21,9.30,5.92,4.71,8.34,6.62,7.31,12.17,2.90,1.66,11.06,5.99,3.92
22,9.99,10.52,13.43,8.20,6.43,10.53,15.30,1.62,5.02,11.73,3.33,5.96
23,10.02,11.81,11.40,13.47,5.71,12.96,15.38,12.43,4.09,11.21,10.46,8.19
24,8.45,10.21,4.06,12.86,15.52,11.32,13.00,12.34,6.70,10.83,6.31,6.39
25,6.46,8.77,13.43,4.69,14.40,5.14,10.15,15.08,10.49,10.87,7.14,6.45
26,6.70,6.96,6.61,5.50,9.96,14.86,11.69,14.86,12.81,11.50,5.56,5.70
27,8.98,11.67,11.86,3.76,15.07,14.17,12.94,14.84,13.53,11.19,9.44,7.27
28,10.34,9.54,11.22,10.78,9.98,14.81,14.80,10.82,11.91,11.03,3.49,5.70
29,8.74,,10.44,15.66,16.16,14.33,15.62,0.65,12.08,11.24,10.18,5.76
30,11.06,,11.23,12.60,16.15,13.47,13.71,2.31,11.88,10.51,9.44,8.03
31,11.40,,6.85,,16.42,,12.80,1.47,,10.16,,9.17
平均,8.1,9.6,9.9,7.3,10,11,12.3,10.7,10.8,11,6.8,6.4
