2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,337.5,360.0,315.0,360.0,337.5,270.0,292.5,202.5,315.0,360.0,360.0,360.0
2,337.5,360.0,360.0,337.5,360.0,225.0,180.0,202.5,292.5,360.0,360.0,360.0
3,337.5,337.5,360.0,360.0,337.5,157.5,292.5,270.0,292.5,360.0,22.5,337.5
4,360.0,360.0,337.5,360.0,315.0,292.5,315.0,292.5,360.0,22.5,360.0,360.0
5,360.0,360.0,360.0,337.5,360.0,180.0,337.5,337.5,337.5,22.5,337.5,22.5
6,360.0,360.0,360.0,315.0,360.0,135.0,315.0,315.0,337.5,22.5,360.0,360.0
7,360.0,360.0,360.0,360.0,337.5,157.5,360.0,180.0,157.5,360.0,337.5,360.0
8,360.0,360.0,360.0,337.5,360.0,360.0,360.0,180.0,292.5,360.0,360.0,360.0
9,22.5,360.0,360.0,337.5,337.5,360.0,157.5,157.5,292.5,360.0,360.0,360.0
10,360.0,22.5,270.0,337.5,315.0,360.0,180.0,157.5,315.0,360.0,360.0,360.0
11,360.0,360.0,337.5,315.0,225.0,360.0,180.0,225.0,337.5,22.5,337.5,360.0
12,360.0,360.0,337.5,292.5,225.0,337.5,225.0,180.0,180.0,22.5,360.0,22.5
13,360.0,360.0,360.0,360.0,157.5,157.5,270.0,202.5,337.5,360.0,360.0,360.0
14,22.5,360.0,360.0,360.0,225.0,360.0,180.0,225.0,315.0,360.0,360.0,337.5
15,22.5,360.0,315.0,337.5,157.5,337.5,292.5,157.5,270.0,360.0,337.5,360.0
16,337.5,360.0,337.5,315.0,135.0,225.0,337.5,157.5,292.5,360.0,360.0,360.0
17,/,292.5,337.5,292.5,270.0,202.5,292.5,180.0,337.5,337.5,22.5,22.5
18,/,360.0,315.0,292.5,157.5,225.0,292.5,337.5,135.0,315.0,360.0,22.5
19,/,22.5,292.5,337.5,135.0,157.5,337.5,202.5,135.0,337.5,360.0,360.0
20,360.0,22.5,360.0,337.5,157.5,157.5,180.0,225.0,360.0,337.5,337.5,360.0
21,22.5,360.0,360.0,337.5,225.0,225.0,157.5,315.0,360.0,315.0,360.0,360.0
22,22.5,360.0,337.5,337.5,135.0,225.0,22.5,315.0,270.0,360.0,360.0,360.0
23,360.0,360.0,337.5,360.0,337.5,247.5,180.0,292.5,157.5,360.0,337.5,337.5
24,360.0,337.5,292.5,337.5,315.0,292.5,202.5,292.5,292.5,360.0,315.0,360.0
25,360.0,360.0,315.0,337.5,270.0,225.0,225.0,180.0,337.5,337.5,337.5,360.0
26,360.0,360.0,315.0,337.5,225.0,157.5,337.5,337.5,337.5,360.0,360.0,360.0
27,360.0,360.0,337.5,315.0,180.0,157.5,337.5,180.0,337.5,360.0,360.0,360.0
28,337.5,337.5,337.5,360.0,157.5,337.5,315.0,337.5,360.0,337.5,360.0,360.0
29,337.5,,225.0,337.5,270.0,292.5,337.5,315.0,337.5,337.5,360.0,360.0
30,337.5,,337.5,360.0,292.5,292.5,360.0,315.0,315.0,337.5,337.5,337.5
31,292.5,,337.5,,315.0,,360.0,270.0,,337.5,,360.0
平均,291.7,319,333.1,336.8,257.7,249,264.9,243.1,293.3,296.9,330,313.5
