2015年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,10.7,9.4,12.4,8.0,5.9,5.2,9.7,6.9,5.0,7.2,6.7,7.8
2,6.3,8.2,6.9,7.5,8.1,7.0,8.1,6.7,7.0,8.7,9.4,7.2
3,5.6,10.5,7.5,7.7,6.9,6.2,8.1,7.9,5.8,5.1,8.0,8.1
4,6.2,12.6,7.7,7.5,6.7,5.9,8.7,7.5,7.1,5.9,5.4,7.7
5,6.1,14.9,7.9,7.5,7.2,7.8,8.8,8.0,6.9,5.9,6.2,12.3
6,8.6,6.6,9.5,7.8,5.5,5.6,7.5,11.0,5.9,6.1,5.2,13.4
7,11.0,10.2,7.5,11.2,7.7,5.8,9.1,19.1,7.8,6.5,6.1,7.7
8,10.7,13.4,9.3,11.1,5.9,6.7,4.2,34.0,9.1,4.9,5.5,8.7
9,8.5,10.6,12.6,9.4,7.5,7.4,9.5,11.1,8.3,8.2,8.9,6.6
10,8.5,9.1,8.0,8.3,8.3,7.3,15.2,11.0,9.9,8.8,8.6,16.4
11,6.4,8.0,6.4,7.3,6.1,7.0,8.9,8.0,7.5,8.2,7.0,9.3
12,6.5,10.9,9.0,10.3,8.0,6.6,7.5,8.3,8.9,5.7,5.0,7.9
13,8.7,6.5,7.4,11.4,5.8,7.3,7.7,8.9,7.3,8.7,5.9,6.7
14,11.4,6.9,7.1,8.3,7.9,7.3,7.2,9.4,5.8,6.9,7.5,9.5
15,9.4,7.8,7.1,7.2,7.3,7.3,7.7,6.3,8.3,8.2,6.2,12.4
16,9.7,10.2,5.2,7.0,7.3,7.1,8.5,15.4,10.5,9.8,5.7,14.2
17,9.8,9.4,7.8,7.2,8.8,8.0,6.9,9.0,9.1,8.9,6.3,11.8
18,12.4,8.5,7.1,10.6,8.2,7.2,7.8,6.4,10.3,8.8,6.7,8.3
19,9.1,8.0,7.9,7.7,7.0,7.1,7.9,6.4,8.3,8.3,7.9,8.1
20,6.7,6.2,7.5,7.2,7.2,7.4,11.5,5.2,5.7,4.6,6.1,6.4
21,9.3,5.0,8.1,9.0,4.6,7.3,12.6,5.6,6.5,5.4,3.2,7.9
22,11.8,9.4,8.0,10.3,5.5,5.2,8.9,7.5,6.6,8.1,7.4,6.4
23,7.5,7.7,14.6,8.6,5.9,6.3,7.7,13.9,6.5,9.7,10.1,5.2
24,7.3,8.9,8.9,8.3,5.4,8.3,7.8,6.3,5.5,7.8,9.1,7.4
25,7.7,5.2,9.7,9.1,5.1,7.8,9.4,7.4,7.1,6.9,13.0,9.3
26,7.7,7.8,8.0,8.5,4.8,7.5,7.2,4.7,11.0,4.9,14.6,6.4
27,7.1,10.7,7.8,6.2,3.6,9.4,7.1,5.2,13.9,5.6,6.5,9.9
28,8.8,7.4,7.5,6.9,5.5,7.8,6.6,9.1,27.8,5.1,6.3,11.3
29,9.0,,7.0,6.6,7.0,8.5,6.2,8.3,18.5,6.1,8.1,9.0
30,12.2,,6.3,7.5,7.5,8.5,6.7,6.3,6.9,8.2,9.4,9.6
31,11.9,,6.4,,5.8,,7.0,6.7,,8.9,,11.0
平均,8.8,8.9,8.2,8.4,6.6,7.1,8.3,9.3,8.8,7.2,7.4,9.2
