2015年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,3.2,3.6,5.1,4.0,1.7,2.1,5.8,5.7,3.6,3.3,/,2.8
2,0.9,3.0,1.8,4.3,4.1,4.3,5.2,1.2,3.7,3.9,/,1.9
3,0.2,2.7,4.0,5.7,5.6,4.3,3.6,0.4,4.1,3.6,/,4.8
4,1.0,3.5,2.6,6.1,2.6,2.1,3.3,2.1,4.3,3.5,/,4.1
5,2.2,3.3,0.9,6.3,0.7,2.1,0.6,7.4,4.4,3.7,/,1.1
6,0.7,2.7,9.9,4.7,3.3,0.5,0.2,4.8,4.1,2.4,/,3.1
7,4.5,2.3,3.0,/,4.3,3.8,0.2,4.6,0.9,5.1,/,2.2
8,1.9,4.8,1.9,/,2.6,5.5,0.5,3.4,7.4,3.8,/,3.3
9,5.4,3.6,7.0,/,6.1,6.0,0.2,3.4,4.2,3.4,/,0.9
10,5.3,0.6,0.2,1.2,5.1,5.1,0.1,5.6,5.7,3.6,/,1.7
11,2.9,0.3,2.2,0.3,3.6,6.5,0.0,4.8,4.3,1.9,/,3.2
12,2.6,2.5,5.6,3.5,/,5.2,0.0,5.5,4.8,2.5,/,2.8
13,3.0,2.6,8.1,6.3,4.2,5.3,0.2,5.6,3.3,4.9,/,2.9
14,5.8,6.0,0.6,6.6,8.0,9.6,0.1,6.0,3.9,1.4,/,2.1
15,5.3,7.5,3.1,3.7,/,3.7,6.0,5.9,5.0,5.7,/,6.3
16,4.9,5.7,8.2,4.8,4.1,3.6,5.3,6.1,5.8,4.0,/,5.4
17,3.0,4.1,2.4,4.0,/,4.8,4.5,3.3,5.0,4.6,/,3.7
18,2.0,2.9,7.6,4.9,/,6.3,8.5,4.2,6.1,3.5,/,2.4
19,3.4,2.0,6.2,/,/,5.0,5.4,2.0,4.6,2.5,/,5.7
20,1.0,1.3,2.3,/,7.6,5.9,5.1,3.4,7.2,1.5,/,5.7
21,3.9,0.1,3.5,2.5,0.3,2.5,1.8,6.1,3.8,0.6,/,2.2
22,3.1,3.7,4.1,3.9,3.7,0.6,0.8,4.5,4.6,4.3,/,/
23,1.4,0.5,1.6,3.8,1.5,0.5,4.9,4.9,4.8,5.7,/,0.4
24,3.4,0.4,4.8,3.8,0.0,5.6,2.7,1.5,4.0,3.9,/,2.5
25,0.7,1.4,1.3,4.4,3.6,4.6,5.2,2.9,2.9,5.3,/,2.2
26,0.4,2.6,1.0,4.0,0.2,6.8,6.3,0.4,0.5,2.9,/,1.0
27,2.2,0.3,0.7,4.4,0.2,6.6,2.5,1.0,0.4,0.2,/,1.7
28,1.8,4.9,3.7,4.7,1.6,4.9,2.4,1.4,1.5,0.9,/,4.2
29,5.5,,3.9,3.1,5.6,3.3,4.9,1.6,1.2,0.1,/,2.8
30,4.1,,4.1,3.9,3.6,6.5,3.7,0.6,4.0,0.1,/,1.8
31,3.5,,2.9,,0.5,,5.3,2.3,,0.0,,8.4
總和,89.2,78.9,114.3,104.9,84.4,133.6,95.3,112.6,120.1,92.8,/,93.3
