2016年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,62,75,53,76,85,54,63,92,54,/,57,69
2,71,80,59,63,67,71,66,/,68,/,54,65
3,95,/,44,67,64,60,58,70,80,/,56,70
4,84,96,55,65,72,59,61,68,68,/,59,72
5,85,72,58,70,62,70,57,66,67,/,60,73
6,83,45,61,55,66,75,65,64,65,76,55,59
7,68,46,65,59,67,63,67,68,75,75,49,68
8,67,24,69,61,71,66,80,59,64,85,49,67
9,63,38,84,65,61,70,81,62,67,76,54,65
10,75,56,89,62,66,68,69,65,72,77,74,/
11,98,62,90,82,70,93,66,71,62,74,69,/
12,69,58,78,77,68,67,61,86,64,72,61,59
13,80,38,73,78,77,82,58,75,73,65,63,57
14,70,70,74,84,59,83,62,67,48,69,59,56
15,87,69,82,94,67,68,59,68,68,62,61,55
16,71,68,86,58,74,66,59,70,59,59,66,54
17,91,65,74,74,68,70,62,64,84,59,64,53
18,66,76,66,68,69,60,70,68,64,66,71,51
19,68,80,80,71,65,67,59,73,63,68,47,58
20,73,69,88,77,69,69,62,70,57,62,56,59
21,83,69,86,60,88,63,61,71,61,58,66,54
22,77,81,86,67,77,69,54,65,60,68,81,55
23,76,72,92,59,75,65,57,70,57,63,89,49
24,59,78,79,61,76,60,56,68,63,60,65,59
25,50,72,78,79,70,62,59,71,67,69,66,60
26,47,86,39,75,67,63,52,57,70,69,75,76
27,73,84,53,72,58,64,62,/,82,65,66,65
28,100,70,36,71,57,63,/,/,96,64,56,72
29,100,52,39,52,62,64,/,/,/,65,61,60
30,87,,52,63,66,62,/,/,/,53,73,61
31,71,,73,,63,,/,49,,63,,67
平均,75.8,66.1,69.1,68.8,68.6,67.2,62.4,68.3,67.1,67,62.7,61.7
