2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,18.5,16.2,20.4,25.4,28.3,30.5,29.7,31.0,28.4,26.5,22.3,22.6
2,18.5,16.1,21.7,24.7,28.9,29.8,25.5,29.8,28.5,25.8,23.6,/
3,19.9,14.0,23.0,24.6,28.0,30.6,27.0,29.5,29.4,25.8,24.8,23.0
4,19.7,13.1,23.4,24.8,27.3,31.0,26.9,29.7,29.1,25.5,/,22.0
5,19.5,11.9,24.0,25.1,28.6,31.6,27.5,29.5,29.1,25.9,26.4,23.7
6,19.5,13.2,21.1,23.7,29.7,31.5,28.3,29.5,28.9,26.9,26.0,24.3
7,19.5,13.8,21.4,19.8,29.5,32.0,28.5,30.0,29.0,26.7,25.8,/
8,20.0,14.8,18.0,21.6,27.3,31.7,28.3,/,28.2,27.0,25.9,/
9,15.9,16.4,16.7,22.1,24.0,31.9,28.8,30.4,27.3,27.4,25.5,21.6
10,15.1,17.2,18.1,23.3,24.8,31.7,28.7,30.5,27.2,27.7,25.3,21.9
11,14.8,15.7,18.8,25.3,26.3,28.8,28.0,30.6,28.3,25.6,24.8,22.1
12,13.9,/,19.1,/,27.0,29.7,28.5,30.7,28.8,24.5,24.7,20.1
13,14.5,16.6,19.8,28.1,27.6,30.2,29.1,29.1,29.4,/,24.3,20.8
14,15.0,17.7,20.6,28.6,28.1,29.8,29.7,27.7,29.4,26.7,24.0,21.4
15,/,19.3,20.8,25.1,28.4,28.5,29.3,/,27.7,27.6,24.1,21.8
16,18.2,20.4,21.7,23.1,29.0,29.2,29.8,28.8,28.1,27.1,24.9,22.3
17,19.7,19.6,21.5,22.1,29.3,29.2,30.3,29.1,28.8,25.4,24.6,20.3
18,20.1,20.2,21.7,22.9,29.1,28.3,30.5,29.0,29.0,25.8,25.2,19.8
19,20.1,20.1,22.8,24.5,29.3,26.8,30.3,28.5,29.0,24.8,24.3,19.9
20,20.3,20.2,21.9,24.9,30.2,26.7,29.9,28.4,29.1,24.6,24.3,20.8
21,20.7,19.8,19.3,25.3,29.9,28.4,30.1,28.8,29.0,25.1,24.5,/
22,20.2,17.5,18.7,25.8,30.1,28.7,/,28.9,28.9,25.7,23.1,22.8
23,19.4,18.3,19.2,26.8,30.2,29.1,30.0,27.8,29.2,26.0,22.5,22.3
24,19.1,19.6,19.7,26.6,30.2,29.4,29.9,26.0,28.7,25.7,22.2,20.3
25,18.9,19.6,20.9,24.8,30.6,29.6,/,27.0,28.4,26.0,22.5,21.5
26,18.8,19.2,21.3,25.7,30.5,29.6,30.4,27.3,27.4,26.0,22.0,21.3
27,18.6,19.1,21.5,26.4,30.9,29.8,30.0,27.4,27.5,24.6,22.4,20.7
28,18.8,19.7,22.1,26.7,31.6,29.0,/,26.7,27.2,23.0,21.7,/
29,16.6,,22.9,27.4,32.0,29.7,31.3,26.8,26.4,22.2,21.8,/
30,16.9,,23.4,26.6,32.0,28.8,30.7,27.1,26.2,23.7,22.2,/
31,17.8,,/,,30.0,,29.6,27.4,,23.7,,/
平均,18.3,17.4,20.9,24.9,29,29.7,29.2,28.7,28.4,25.6,24,21.6
