2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,0.0,0.0,4.0,44.5,4.5,0.0,0.0,6.0,2.5,0.0,0.0
2,0.0,0.0,0.0,0.0,38.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,8.0,0.0,1.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,86.0,3.5,0.0,30.5,0.0,0.0,0.0
5,0.0,0.0,8.0,0.0,2.0,0.0,12.0,0.0,0.0,0.5,0.0,21.5
6,/,0.0,6.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
7,0.0,0.0,24.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,18.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
9,0.0,0.0,40.0,0.0,7.5,0.0,2.5,21.5,0.0,0.0,0.0,0.0
10,0.0,0.0,17.5,0.0,14.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.5,0.0,0.0,110.0,1.5,12.5,0.0,0.0,0.0,/
12,0.0,0.0,0.0,0.0,0.0,117.0,0.0,91.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,2.5,0.0,16.5,0.0,81.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,35.0,0.0,2.5,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,119.5,0.0,0.0,0.0,0.0
16,4.0,0.0,/,13.5,18.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0
17,2.5,0.0,0.0,0.0,5.5,11.5,0.0,62.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,27.0,0.0,10.5,17.0,0.0,0.0,0.0,0.0
19,0.0,2.0,0.0,37.5,13.0,0.0,0.5,12.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,4.5,44.5,0.0,0.5,1.5,0.0,0.0,/,0.0
21,0.0,0.0,0.0,27.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,/,4.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,7.5,7.5,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,2.5,0.0,0.0,1.0,0.0,6.5,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,2.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,/,21.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0
29,0.0,,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
30,0.0,,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,13.0
31,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,3.0
總和,7.5,9.5,135.5,92,280.5,449,72.5,530.5,36.5,3,0,98.5
