2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2.6,1.7,2.3,4.0,1.2,1.7,1.6,1.1,1.9,2.5,1.0,2.7
2,1.0,1.6,3.7,2.6,1.3,1.6,1.6,2.2,1.6,2.0,2.5,3.8
3,0.8,2.7,2.6,2.8,1.6,1.7,1.3,1.2,1.1,1.3,4.0,5.3
4,0.7,2.7,4.1,4.0,1.6,1.7,1.4,1.7,2.0,1.4,2.4,3.5
5,0.8,3.7,3.5,2.9,1.8,1.8,1.7,1.5,2.5,3.2,2.2,3.6
6,1.2,2.0,1.4,2.0,1.7,1.9,2.1,2.6,2.5,3.8,1.7,2.8
7,0.6,4.5,1.4,4.0,1.6,1.2,1.7,2.1,1.2,3.9,2.6,3.9
8,2.9,4.3,2.6,2.2,1.6,0.7,2.2,1.8,1.3,3.5,4.2,3.7
9,1.9,3.1,2.1,2.5,1.8,0.7,2.3,1.5,1.0,3.3,2.6,1.9
10,1.4,1.6,/,1.4,2.2,1.2,1.8,1.1,1.1,3.5,2.5,3.7
11,1.7,1.1,2.4,1.2,1.7,1.0,1.5,0.9,1.1,2.4,2.8,2.9
12,3.8,1.0,1.4,4.2,2.4,2.0,1.6,1.3,1.0,2.1,2.4,3.1
13,2.6,1.5,2.4,3.6,1.5,1.5,1.4,2.0,1.2,2.1,3.2,2.5
14,2.3,1.6,3.4,1.0,1.4,1.2,1.5,1.8,1.9,2.8,1.2,3.5
15,1.9,1.2,2.4,1.1,1.3,1.6,1.4,0.9,1.5,1.6,1.4,3.9
16,2.2,3.7,1.3,1.0,1.6,1.8,1.2,1.7,1.6,1.8,1.2,3.7
17,4.0,4.6,1.7,1.2,1.5,1.8,1.9,1.3,1.2,3.0,0.9,2.8
18,3.4,2.6,1.0,1.1,1.3,1.7,1.9,1.3,2.0,3.6,1.2,3.7
19,2.4,1.8,1.1,1.4,0.8,1.8,1.8,1.4,1.8,3.3,1.6,5.2
20,2.9,1.7,2.0,1.8,1.1,1.9,1.8,1.2,3.0,2.9,2.4,4.0
21,2.3,1.9,1.2,2.8,1.0,1.4,1.7,1.7,3.4,1.8,1.8,1.8
22,1.1,2.2,1.0,3.7,1.6,1.9,1.9,2.1,2.7,5.2,2.4,2.5
23,1.3,1.8,2.8,3.0,1.5,1.9,1.4,1.2,1.8,3.9,2.7,2.7
24,3.4,1.1,2.5,1.7,1.6,2.0,1.6,1.5,2.6,2.3,2.4,3.6
25,3.4,1.7,1.8,1.0,1.3,2.1,1.3,1.7,3.2,1.6,1.6,2.9
26,3.0,2.4,1.2,2.3,1.4,1.5,1.1,1.4,2.0,2.0,1.3,2.3
27,3.3,3.6,1.2,1.1,0.7,1.5,1.4,1.5,2.1,1.3,2.9,1.6
28,3.1,1.4,3.9,2.2,1.0,1.9,1.1,1.4,1.8,2.2,3.8,2.5
29,3.7,0.9,2.7,1.8,1.1,2.0,1.6,1.2,2.2,3.0,3.4,2.5
30,4.7,,2.0,1.3,1.8,2.3,1.2,1.2,2.6,3.7,1.8,6.8
31,2.8,,1.8,,1.6,,1.4,2.3,,2.4,,4.2
平均,2.4,2.3,2.2,2.2,1.5,1.6,1.6,1.5,1.9,2.7,2.3,3.3
