2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,18.8,24.1,27.3,29.3,30.6,31.9,33.9,,,,,
2,20.7,25.1,22.0,31.2,29.4,33.2,33.5,,,,,
3,22.4,24.2,19.8,28.9,28.2,34.5,33.6,,,,,
4,21.5,23.1,27.3,27.4,31.0,33.6,33.0,,,,,
5,23.4,24.8,27.0,25.2,31.0,30.8,34.3,,,,,
6,17.9,27.0,26.4,26.0,29.8,27.7,33.5,,,,,
7,16.1,23.4,20.5,25.5,31.8,31.2,33.4,,,,,
8,11.0,25.1,23.8,27.0,32.2,33.3,,,,,,
9,15.1,24.7,24.0,23.6,32.3,32.3,,,,,,
10,19.0,23.9,23.8,25.7,32.0,32.7,,,,,,
11,14.7,19.3,23.7,26.1,33.9,32.6,,,,,,
12,16.0,20.6,25.7,28.2,34.3,33.7,,,,,,
13,21.3,24.0,24.2,30.1,33.3,33.5,,,,,,
14,22.0,23.6,24.6,27.2,32.9,33.5,,,,,,
15,22.0,23.9,24.6,27.6,34.8,33.2,,,,,,
16,23.4,24.3,28.7,28.4,36.0,31.0,,,,,,
17,20.1,21.7,27.2,28.9,34.7,33.6,,,,,,
18,19.5,21.6,25.9,29.2,34.8,33.9,,,,,,
19,22.2,22.6,27.3,28.1,35.4,32.4,,,,,,
20,22.7,22.6,29.0,29.1,35.3,31.1,,,,,,
21,25.2,24.9,23.0,29.6,35.5,28.1,,,,,,
22,24.0,26.6,16.1,27.5,34.5,29.1,,,,,,
23,25.1,24.7,22.1,29.1,35.1,28.0,,,,,,
24,21.8,21.7,21.7,29.8,35.0,30.0,,,,,,
25,23.0,25.4,23.2,25.4,33.3,31.1,,,,,,
26,23.3,26.6,25.4,29.8,34.2,30.1,,,,,,
27,21.9,22.2,28.8,27.7,35.5,30.5,,,,,,
28,20.2,25.8,31.0,26.6,35.8,30.6,,,,,,
29,22.9,,29.8,25.1,33.8,31.2,,,,,,
30,22.9,,30.5,28.4,28.2,33.0,,,,,,
31,22.2,,30.5,,29.5,,,,,,,
平均,20.7,23.8,25.3,27.7,33,31.7,33.6, , , , , 
