2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,63,38,48,61,42,56,65,60,53,52,47,49
2,58,34,53,77,53,55,60,52,61,50,50,48
3,59,38,44,54,56,52,62,68,66,53,49,45
4,59,55,56,56,49,48,55,76,/,54,50,59
5,53,55,66,54,50,54,52,55,/,54,49,50
6,55,54,58,70,52,56,58,49,35,53,61,55
7,48,52,51,56,50,56,54,57,39,53,79,57
8,55,50,56,54,43,68,54,57,47,58,66,65
9,55,54,48,45,51,67,51,62,50,50,80,71
10,52,52,66,49,54,56,56,59,52,51,74,65
11,57,62,46,48,55,58,51,75,65,54,51,65
12,55,38,53,48,64,57,47,60,67,57,56,58
13,52,56,61,21,47,59,44,53,57,57,65,44
14,27,57,69,44,49,54,50,51,54,58,76,57
15,48,58,44,37,48,52,63,60,50,50,63,54
16,47,66,42,35,54,54,65,55,54,51,56,55
17,55,48,33,49,49,53,55,60,60,57,52,51
18,52,42,53,47,58,51,50,52,49,56,50,56
19,54,44,53,52,80,53,53,54,53,54,48,54
20,37,45,51,50,71,53,52,65,57,54,49,54
21,37,56,56,55,80,57,53,53,53,58,51,76
22,32,51,60,59,93,55,51,56,53,65,55,54
23,47,54,54,66,79,60,56,59,53,67,58,72
24,51,52,59,72,62,54,56,60,51,59,55,69
25,57,47,56,57,56,52,52,63,58,60,54,56
26,72,49,43,56,67,52,59,85,59,53,52,37
27,54,55,50,48,64,56,57,84,57,52,57,36
28,68,53,61,49,65,48,60,71,57,55,51,51
29,52,46,54,41,69,52,50,63,52,58,52,58
30,34,,59,36,67,60,60,58,52,50,59,48
31,31,,55,,60,,65,61,,48,,51
平均,50.8,50.4,53.5,51.5,59.3,55.3,55.4,61.1,54.1,54.9,57.2,55.5
