2012年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2.6,2.3,1.6,1.6,/,1.7,/,4.2,/,1.1,1.9,1.7
2,1.8,2.8,2.0,1.0,/,/,/,3.9,/,1.6,0.9,2.6
3,1.8,2.8,2.3,2.0,/,/,/,3.4,/,1.7,1.0,3.2
4,3.7,2.4,1.4,1.3,/,/,/,2.3,/,1.2,2.1,1.4
5,2.3,2.1,2.9,3.1,/,/,/,1.6,/,1.2,1.6,3.2
6,3.0,3.2,1.9,1.1,/,/,/,1.4,/,1.7,1.4,1.5
7,2.4,3.1,2.9,1.2,/,/,/,2.4,/,1.4,1.2,1.4
8,2.9,3.3,2.2,1.5,/,/,/,2.6,/,1.5,1.1,2.4
9,2.6,1.9,3.4,1.2,/,/,/,2.6,/,2.0,1.4,2.3
10,2.5,3.2,3.4,2.0,/,/,/,2.9,/,2.3,1.0,1.5
11,3.3,3.2,2.9,2.0,/,/,/,2.6,/,1.9,2.7,2.3
12,1.6,2.3,2.0,1.8,/,/,/,2.4,/,2.0,1.6,1.3
13,2.2,2.4,2.9,1.6,/,/,/,1.9,/,1.7,2.2,1.3
14,1.4,1.4,2.6,1.5,/,/,/,1.5,/,1.7,0.9,1.2
15,1.6,2.1,2.0,1.5,/,/,/,1.4,/,2.1,1.0,1.2
16,3.8,3.4,1.5,1.7,/,/,/,1.5,/,2.0,1.0,1.7
17,2.3,4.0,2.7,1.2,/,/,/,2.2,/,2.1,2.3,1.8
18,1.3,3.8,1.8,1.5,/,/,/,1.4,/,2.0,2.3,3.3
19,2.5,2.9,2.5,1.2,/,/,/,1.5,/,1.2,1.7,2.5
20,1.7,1.5,1.9,1.7,/,/,/,1.7,/,1.2,1.0,1.3
21,1.9,1.3,2.4,1.9,/,/,/,1.6,/,1.2,0.9,1.2
22,3.5,1.1,1.9,1.2,/,/,/,1.2,/,1.6,1.7,2.8
23,3.1,1.2,2.4,1.8,/,/,/,1.3,/,1.3,1.8,4.4
24,2.6,2.4,3.8,3.6,/,/,/,2.7,/,1.3,1.5,1.5
25,3.2,2.7,1.3,2.7,/,/,/,3.7,/,0.9,1.1,2.2
26,2.0,3.5,1.5,1.9,/,/,/,1.3,/,1.1,2.4,1.1
27,2.4,2.7,2.0,2.1,/,/,/,1.7,/,0.9,1.8,1.8
28,2.4,3.2,1.6,1.4,/,/,/,2.4,/,1.1,1.4,3.3
29,3.4,1.8,2.2,2.5,/,/,/,1.7,/,1.2,2.2,1.4
30,3.4,,1.3,2.2,/,1.4,/,2.0,/,2.5,1.6,5.5
31,3.7,,2.9,,/,,/,1.9,,2.8,,2.6
平均,2.5,2.6,2.3,1.8,/,1.6,/,2.2,/,1.6,1.6,2.2
