2015年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,5.9,8.7,8.4,10.2,4.6,/,/,/,/,/,1.8,8.9
2,7.4,8.4,3.3,11.1,10.2,/,/,/,/,/,5.7,8.7
3,7.3,7.5,8.4,11.4,8.6,/,/,/,/,/,7.7,4.5
4,9.0,7.1,1.3,11.1,6.8,/,/,/,/,/,4.9,8.2
5,9.2,5.8,8.4,10.3,0.2,/,/,/,/,/,3.7,2.9
6,5.7,1.8,6.3,2.6,8.7,/,/,/,/,/,7.1,6.9
7,3.4,5.3,6.5,3.6,8.0,/,/,/,/,/,9.0,0.1
8,0.0,2.4,5.9,2.9,7.7,/,/,/,/,/,4.9,8.2
9,5.3,4.4,9.1,9.7,10.0,/,/,/,/,/,5.9,2.9
10,8.2,8.9,0.0,7.9,6.0,/,/,/,/,/,5.9,2.4
11,8.2,9.2,1.3,0.0,2.0,/,/,/,/,/,5.7,8.8
12,5.5,8.8,1.4,5.8,2.5,/,/,/,/,/,8.0,7.2
13,2.2,8.9,8.7,10.7,6.7,/,/,/,/,/,6.8,7.9
14,3.8,5.4,8.0,11.2,10.8,/,/,/,/,/,2.7,9.0
15,5.5,4.0,8.8,10.0,11.2,/,/,/,/,/,6.6,3.1
16,7.8,5.1,1.9,11.1,9.8,/,/,/,/,/,7.5,4.5
17,7.4,4.6,8.4,7.6,10.1,/,/,/,/,/,9.1,7.8
18,4.9,8.0,9.6,9.5,11.8,/,/,/,/,/,8.8,7.5
19,2.6,7.8,10.0,6.1,9.4,/,/,/,/,/,5.8,8.8
20,2.5,6.3,4.8,8.5,0.3,/,/,/,/,/,5.6,0.5
21,4.8,1.3,3.1,0.0,0.0,/,/,/,/,/,1.7,7.1
22,9.0,6.9,0.0,7.9,0.3,/,/,/,/,/,7.7,6.3
23,8.4,1.7,2.3,7.3,0.0,/,/,/,/,/,5.8,7.4
24,8.8,6.5,5.1,7.5,0.0,/,/,/,/,/,4.7,5.1
25,8.6,6.7,3.4,6.5,0.0,/,/,/,/,/,7.4,4.8
26,2.8,7.8,3.1,10.0,0.2,/,/,/,/,/,2.6,1.9
27,0.5,6.1,6.5,9.8,0.2,/,/,/,/,/,6.7,6.7
28,3.7,8.4,6.8,6.0,2.9,/,/,/,/,/,7.9,7.6
29,8.1,,9.5,8.1,6.6,/,/,/,/,/,5.9,6.7
30,2.9,,8.6,7.6,5.0,/,/,/,/,/,8.5,7.4
31,7.2,,6.4,,0.2,,/,/,,/,,8.6
總和,176.6,173.8,175.3,232,160.8,/,/,/,/,/,182.1,188.4
