2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,13.3,10.7,14.8,19.0,23.3,25.0,/,26.0,24.2,22.6,18.6,/
2,12.2,/,18.1,18.5,22.5,23.1,23.6,24.5,/,20.1,/,/
3,13.4,9.5,19.2,19.3,23.4,23.3,23.9,24.9,23.5,18.5,19.6,15.6
4,14.3,8.9,20.6,18.8,21.1,24.0,23.9,24.4,24.3,19.5,21.2,15.9
5,16.5,8.5,20.7,21.0,22.2,25.2,24.1,22.3,26.1,20.0,20.4,19.3
6,16.1,5.4,17.8,16.9,22.4,25.1,23.8,23.0,25.2,20.6,20.3,20.2
7,17.7,9.1,17.9,15.8,24.0,24.9,24.2,24.6,24.4,21.5,20.0,/
8,18.7,11.6,11.2,12.6,23.0,23.2,23.7,/,24.0,20.6,21.0,17.3
9,10.8,13.1,10.7,13.1,21.5,25.7,24.0,24.8,24.0,21.5,21.9,18.2
10,8.9,14.7,8.9,15.0,21.8,25.9,25.3,24.8,23.3,22.6,20.5,16.8
11,9.0,11.8,10.3,18.9,22.4,25.8,25.2,24.0,24.7,21.3,20.5,18.5
12,6.3,11.4,10.8,/,22.8,24.5,24.3,24.6,24.8,20.4,19.6,15.9
13,4.0,9.5,13.8,22.8,22.7,23.9,25.1,24.6,25.5,19.8,19.2,14.1
14,6.4,9.3,15.2,22.9,21.8,24.6,23.4,24.0,25.4,/,17.7,14.3
15,10.4,14.0,15.9,18.9,23.8,24.8,24.4,/,24.9,21.9,17.9,14.7
16,13.2,17.3,18.7,18.4,24.4,24.3,25.4,24.2,24.1,21.8,19.9,16.7
17,17.8,17.0,18.2,17.9,24.4,24.0,25.9,24.9,25.2,21.2,21.6,14.2
18,18.1,16.2,17.9,/,23.1,24.2,25.8,24.7,25.8,20.7,20.4,/
19,18.9,16.6,17.8,19.0,22.6,23.7,24.5,24.4,24.7,20.9,19.5,14.3
20,17.3,14.5,18.2,19.6,25.2,23.7,24.3,23.6,24.5,19.4,17.6,12.4
21,17.3,17.2,13.7,21.2,24.2,24.4,24.0,24.3,23.9,19.5,18.0,13.8
22,17.2,13.9,9.6,20.6,23.7,24.2,24.7,24.9,24.3,19.6,17.3,17.6
23,14.0,13.5,11.7,21.7,23.8,25.0,24.9,21.9,25.3,21.3,15.3,18.8
24,13.5,16.7,13.0,24.5,24.6,25.5,25.3,22.5,24.5,20.9,14.8,17.8
25,14.4,15.2,13.3,23.1,25.8,24.3,24.5,23.9,-39.6,20.5,17.5,17.6
26,14.4,14.9,14.0,21.9,24.3,24.5,24.1,24.4,-39.6,20.9,18.4,19.5
27,14.2,14.5,15.5,20.3,24.5,24.3,22.8,23.1,23.1,17.8,19.4,16.4
28,14.2,15.9,15.7,22.0,23.9,23.3,24.2,23.0,23.1,17.0,19.0,/
29,11.5,,/,21.6,25.8,24.8,24.7,23.0,20.6,14.2,17.9,12.9
30,11.3,,15.9,22.1,25.8,23.8,25.3,23.1,19.1,15.4,16.4,10.0
31,11.9,,/,,25.6,,25.6,25.1,,19.6,,15.5
平均,13.5,13,15.1,19.6,23.6,24.4,24.5,24.1,19.8,20.1,19,16.1
