2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2019-01-01 14:38:00,2019-02-01 16:14:00,2019-03-01 12:24:00,2019-04-01 11:19:00,2019-05-01 13:35:00,2019-06-01 14:51:00,2019-07-01 13:28:00,2019-08-01 13:34:00,2019-09-01 13:43:00,2019-10-01 15:43:00,2019-11-01 13:47:00,2019-12-01 13:56:00
2,2019-01-02 13:13:00,2019-02-02 14:39:00,2019-03-02 13:33:00,2019-04-02 15:18:00,2019-05-02 11:44:00,2019-06-02 14:04:00,2019-07-02 12:39:00,2019-08-02 14:28:00,2019-09-02 12:22:00,2019-10-02 13:13:00,2019-11-02 13:29:00,2019-12-02 12:09:00
3,2019-01-03 14:24:00,2019-02-03 12:39:00,2019-03-03 12:03:00,2019-04-03 13:21:00,2019-05-03 11:36:00,2019-06-03 16:38:00,2019-07-03 12:51:00,2019-08-03 15:28:00,/,2019-10-03 13:54:00,2019-11-03 14:05:00,2019-12-03 13:16:00
4,2019-01-04 14:33:00,2019-02-04 11:02:00,/,2019-04-04 14:06:00,2019-05-04 12:38:00,2019-06-04 09:09:00,2019-07-04 10:36:00,2019-08-04 13:26:00,2019-09-04 14:17:00,2019-10-04 14:21:00,2019-11-04 13:22:00,2019-12-04 11:50:00
5,2019-01-05 13:09:00,2019-02-05 13:32:00,/,2019-04-05 14:27:00,2019-05-05 10:05:00,2019-06-05 13:52:00,2019-07-05 16:57:00,2019-08-05 12:51:00,2019-09-05 12:10:00,2019-10-05 12:14:00,2019-11-05 13:29:00,2019-12-05 12:17:00
6,2019-01-06 14:38:00,2019-02-06 13:52:00,/,2019-04-06 12:34:00,2019-05-06 14:12:00,2019-06-06 11:02:00,2019-07-06 14:55:00,2019-08-06 12:42:00,2019-09-06 13:28:00,2019-10-06 13:12:00,2019-11-06 11:45:00,2019-12-06 10:27:00
7,2019-01-07 13:54:00,2019-02-07 15:40:00,2019-03-07 02:38:00,2019-04-07 12:38:00,2019-05-07 10:22:00,2019-06-07 13:00:00,2019-07-07 14:23:00,2019-08-07 13:37:00,2019-09-07 15:24:00,2019-10-07 12:22:00,2019-11-07 13:40:00,2019-12-07 13:41:00
8,/,2019-02-08 14:12:00,2019-03-08 15:33:00,2019-04-08 12:05:00,2019-05-08 13:18:00,2019-06-08 14:09:00,2019-07-08 12:40:00,2019-08-08 12:22:00,2019-09-08 11:46:00,2019-10-08 13:39:00,2019-11-08 12:32:00,/
9,2019-01-09 13:02:00,/,2019-03-09 11:31:00,/,2019-05-09 12:57:00,2019-06-09 14:29:00,2019-07-09 16:50:00,2019-08-09 11:50:00,2019-09-09 13:02:00,2019-10-09 14:08:00,2019-11-09 14:54:00,2019-12-09 12:39:00
10,2019-01-10 12:31:00,2019-02-10 14:35:00,2019-03-10 13:26:00,2019-04-10 14:01:00,2019-05-10 14:00:00,2019-06-10 11:21:00,2019-07-10 10:28:00,/,2019-09-10 11:58:00,2019-10-10 12:49:00,2019-11-10 11:35:00,2019-12-10 13:33:00
11,2019-01-11 14:05:00,2019-02-11 13:33:00,2019-03-11 12:08:00,2019-04-11 12:17:00,2019-05-11 13:09:00,2019-06-11 15:54:00,2019-07-11 08:29:00,2019-08-11 14:16:00,2019-09-11 13:10:00,2019-10-11 13:59:00,2019-11-11 13:34:00,/
12,2019-01-12 13:43:00,2019-02-12 14:02:00,2019-03-12 13:55:00,/,2019-05-12 14:07:00,2019-06-12 14:32:00,2019-07-12 13:43:00,2019-08-12 11:55:00,2019-09-12 10:17:00,2019-10-12 12:18:00,2019-11-12 13:05:00,2019-12-12 13:11:00
13,2019-01-13 13:10:00,/,2019-03-13 13:06:00,/,2019-05-13 13:02:00,2019-06-13 13:05:00,2019-07-13 14:18:00,2019-08-13 16:50:00,2019-09-13 14:33:00,2019-10-13 10:09:00,2019-11-13 12:47:00,2019-12-13 12:19:00
14,2019-01-14 14:13:00,2019-02-14 13:32:00,2019-03-14 14:56:00,/,2019-05-14 14:22:00,2019-06-14 13:13:00,2019-07-14 14:33:00,2019-08-14 13:41:00,2019-09-14 11:45:00,2019-10-14 13:03:00,2019-11-14 14:27:00,2019-12-14 14:01:00
15,/,2019-02-15 13:06:00,2019-03-15 11:01:00,2019-04-15 14:40:00,2019-05-15 10:05:00,2019-06-15 15:10:00,2019-07-15 14:47:00,2019-08-15 14:47:00,2019-09-15 14:42:00,2019-10-15 11:40:00,2019-11-15 13:26:00,2019-12-15 14:11:00
16,2019-01-16 14:05:00,/,2019-03-16 10:45:00,2019-04-16 14:59:00,2019-05-16 14:52:00,2019-06-16 11:47:00,2019-07-16 15:22:00,2019-08-16 02:03:00,2019-09-16 12:47:00,2019-10-16 13:28:00,2019-11-16 14:44:00,2019-12-16 13:44:00
17,/,2019-02-17 14:21:00,2019-03-17 14:21:00,/,2019-05-17 12:55:00,2019-06-17 13:37:00,2019-07-17 15:06:00,2019-08-17 13:35:00,/,2019-10-17 12:24:00,2019-11-17 14:08:00,2019-12-17 14:21:00
18,2019-01-18 14:32:00,2019-02-18 15:37:00,2019-03-18 13:33:00,/,2019-05-18 12:21:00,2019-06-18 13:35:00,2019-07-18 11:21:00,2019-08-18 15:07:00,2019-09-18 12:08:00,2019-10-18 14:59:00,2019-11-18 13:07:00,2019-12-18 13:18:00
19,2019-01-19 12:57:00,2019-02-19 11:44:00,2019-03-19 14:51:00,2019-04-19 11:21:00,2019-05-19 14:58:00,2019-06-19 12:52:00,2019-07-19 11:17:00,2019-08-19 16:07:00,2019-09-19 12:54:00,2019-10-19 13:14:00,2019-11-19 12:54:00,2019-12-19 12:46:00
20,2019-01-20 15:02:00,/,2019-03-20 15:01:00,2019-04-20 14:04:00,2019-05-20 12:08:00,2019-06-20 13:58:00,2019-07-20 17:12:00,2019-08-20 11:22:00,2019-09-20 11:55:00,2019-10-20 13:40:00,2019-11-20 12:14:00,2019-12-20 10:37:00
21,2019-01-21 16:08:00,2019-02-21 13:56:00,2019-03-21 14:00:00,/,2019-05-21 14:49:00,2019-06-21 12:33:00,2019-07-21 14:41:00,2019-08-21 14:24:00,2019-09-21 12:09:00,2019-10-21 13:11:00,2019-11-21 12:14:00,2019-12-21 12:38:00
22,2019-01-22 14:35:00,/,2019-03-22 12:29:00,2019-04-22 11:56:00,2019-05-22 13:46:00,2019-06-22 14:08:00,2019-07-22 10:47:00,2019-08-22 13:41:00,2019-09-22 13:58:00,2019-10-22 12:42:00,2019-11-22 14:13:00,/
23,2019-01-23 14:37:00,2019-02-23 12:19:00,/,2019-04-23 13:24:00,2019-05-23 16:12:00,2019-06-23 11:25:00,2019-07-23 13:40:00,2019-08-23 13:32:00,2019-09-23 15:02:00,2019-10-23 16:24:00,2019-11-23 13:56:00,/
