2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,8.93,12.85,20.31,10.91,11.57,22.06,24.14,7.87,16.91,17.59,13.77,16.94
2,7.03,18.01,15.82,17.66,3.68,21.24,11.91,17.90,24.16,21.72,14.92,16.01
3,11.53,12.95,12.86,20.33,5.76,17.65,7.06,21.25,/,18.21,16.67,14.50
4,10.43,11.41,/,18.86,10.86,6.42,14.67,20.99,10.12,16.62,8.37,5.74
5,15.35,9.21,/,19.51,12.11,25.03,8.66,19.65,11.51,12.47,15.50,5.12
6,13.94,18.43,/,21.29,4.73,27.64,17.16,16.07,14.75,9.13,13.11,3.12
7,14.90,19.68,2.26,23.41,7.35,23.60,19.43,19.11,16.76,16.25,15.59,8.39
8,/,18.25,8.33,21.31,10.40,24.45,13.22,16.49,17.73,16.21,18.45,/
9,15.55,/,7.03,/,11.85,18.52,9.43,8.88,17.78,13.58,18.89,16.75
10,11.63,18.70,10.90,24.70,16.69,12.98,11.27,/,8.85,18.21,18.74,17.20
11,14.80,17.86,5.13,23.00,25.52,5.76,9.85,9.24,24.49,19.37,16.16,/
12,15.45,18.95,21.32,/,24.87,7.22,26.77,9.10,17.14,16.12,18.09,16.14
13,15.86,/,16.04,/,23.98,14.29,20.45,4.86,15.43,12.37,15.61,17.12
14,14.95,18.86,18.49,/,24.17,10.54,25.17,22.94,14.61,15.07,13.66,17.26
15,/,17.54,9.77,10.28,13.83,22.01,23.85,8.79,14.47,15.90,16.54,16.16
16,4.89,/,10.47,8.09,13.73,16.29,20.33,3.74,13.49,16.10,11.93,15.60
17,/,17.81,19.94,/,16.85,16.25,25.22,12.21,/,16.37,17.98,15.77
18,16.86,17.93,17.73,/,10.72,24.21,10.94,4.23,18.43,17.26,15.50,15.94
19,8.84,11.17,20.46,13.65,15.71,26.19,5.62,4.52,19.60,18.04,8.42,12.26
20,7.78,/,17.66,15.35,8.18,26.42,3.74,12.49,22.36,17.17,10.05,5.25
21,6.54,11.18,24.40,/,9.93,25.39,10.96,9.39,17.56,19.06,16.44,11.51
22,12.88,/,22.62,20.69,12.38,20.04,19.21,19.18,22.98,17.65,16.90,/
23,15.30,16.74,/,22.56,14.62,11.02,20.43,20.96,21.06,0.05,10.60,/
24,17.10,6.19,2.38,22.72,15.16,7.47,18.87,3.61,20.94,17.73,15.09,/
25,17.04,19.90,14.14,26.88,14.21,9.85,21.64,8.32,19.68,16.82,15.67,/
26,11.86,19.41,/,19.45,18.86,9.18,21.44,20.40,20.48,18.69,13.37,/
27,12.85,19.54,21.79,15.66,10.35,12.02,16.39,20.10,16.58,17.69,13.50,/
28,17.82,20.12,21.72,16.32,15.81,24.31,11.13,23.95,15.51,19.20,15.19,/
29,17.89,,22.77,22.33,15.66,11.50,25.32,14.50,18.91,18.83,13.28,/
30,17.77,,16.83,23.17,19.37,25.09,20.10,11.46,9.64,15.07,15.41,/
31,16.42,,21.98,,18.79,,19.09,18.24,,15.66,,8.18
平均,13.3,16.2,15.5,19,14.1,17.5,16.6,13.7,17.2,16.1,14.8,12.7
