2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,6.6,9.6,9.5,9.3,7.3,9.4,6.7,9.6,6.5,6.3,5.5
2,6.5,6.8,6.8,9.2,9.1,7.5,8.5,11.9,6.4,5.9,6.7,9.0
3,4.6,8.3,7.7,7.6,7.3,7.0,8.0,9.0,7.9,6.8,6.5,9.5
4,5.0,10.2,10.4,9.8,7.1,6.6,5.6,12.0,6.2,6.7,5.7,8.2
5,5.9,7.9,7.8,8.8,8.8,7.2,6.8,8.2,5.6,7.5,7.0,7.6
6,6.3,7.2,5.2,6.3,7.9,9.2,10.4,14.5,10.3,6.4,9.0,5.8
7,8.6,10.6,7.1,9.6,8.7,13.6,7.6,6.9,5.7,8.7,6.8,7.5
8,6.5,8.7,6.6,6.2,8.3,8.8,6.5,7.9,6.5,4.4,9.0,8.6
9,6.1,7.4,10.7,8.2,8.3,6.0,7.8,7.5,6.1,6.8,5.4,6.3
10,5.7,7.4,11.8,7.4,7.7,6.1,7.5,10.1,6.3,6.1,7.0,7.1
11,6.8,4.0,6.2,7.4,7.4,5.6,6.8,13.4,7.6,6.4,5.7,6.6
12,9.6,9.1,7.8,13.6,8.8,7.6,7.5,7.8,7.6,6.4,4.8,6.0
13,7.7,10.4,7.8,11.5,7.5,9.3,7.1,10.5,5.4,8.3,7.1,7.7
14,9.2,9.6,7.8,5.5,7.5,10.0,6.6,8.0,6.6,5.9,4.4,7.1
15,8.2,8.6,8.3,9.5,8.0,7.3,6.5,7.0,8.9,5.6,3.2,7.6
16,7.8,10.9,8.4,6.4,9.9,7.5,8.8,12.2,6.1,5.0,5.1,6.4
17,8.8,9.3,7.4,6.7,9.7,6.2,7.6,5.0,5.6,6.2,4.4,6.2
18,7.0,5.1,5.6,5.8,8.4,7.3,5.6,7.7,12.3,6.3,5.7,9.2
19,9.1,7.4,7.3,8.4,8.1,7.0,7.8,7.7,6.7,8.2,5.7,10.0
20,8.0,7.9,5.9,7.2,11.4,6.4,10.7,6.5,9.0,6.2,7.4,8.0
21,5.7,6.4,6.2,6.9,11.1,7.3,7.5,10.9,7.1,5.2,4.4,4.9
22,6.9,6.3,6.5,8.2,11.2,6.9,7.1,7.6,5.2,11.7,6.6,5.3
23,7.1,6.1,7.0,7.3,3.7,7.4,7.1,8.1,6.2,8.0,6.1,8.2
24,9.4,7.2,6.2,6.2,6.1,6.3,6.2,7.8,8.5,4.9,5.5,9.2
25,5.7,8.5,6.5,7.0,6.8,6.6,5.3,7.2,6.7,4.9,5.7,7.3
26,11.9,9.4,11.9,8.6,9.2,7.7,8.0,8.3,6.9,7.1,7.4,10.4
27,11.2,6.3,10.4,7.6,8.7,8.8,6.6,11.7,7.0,6.0,6.8,10.4
28,7.9,7.9,11.3,6.7,7.0,6.7,7.0,8.3,7.2,5.1,5.7,5.7
29,10.9,7.2,7.4,9.8,7.9,7.5,10.4,4.8,7.3,7.6,6.9,7.0
30,12.1,,6.1,7.4,7.2,8.3,4.4,8.7,9.3,8.0,4.3,14.9
31,4.8,,7.7,,7.2,,5.2,9.3,,5.4,,7.9
平均,7.7,7.9,7.9,8,8.2,7.6,7.4,8.8,7.3,6.6,6.1,7.8
