2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,44,21,50,52,47,63,55,,,,,
2,47,29,59,49,52,57,62,,,,,
3,45,47,58,54,60,64,57,,,,,
4,53,49,51,55,49,60,64,,,,,
5,57,48,54,50,53,80,57,,,,,
6,64,35,56,54,53,89,64,,,,,
7,72,45,61,62,50,69,,,,,,
8,69,47,56,55,49,62,,,,,,
9,53,56,52,57,53,53,,,,,,
10,45,63,54,49,55,61,,,,,,
11,62,69,57,48,49,58,,,,,,
12,52,63,46,45,46,61,,,,,,
13,28,50,49,53,50,60,,,,,,
14,33,55,48,55,47,58,,,,,,
15,33,45,55,54,41,63,,,,,,
16,31,42,46,50,48,82,,,,,,
17,50,52,49,47,51,71,,,,,,
18,50,50,49,51,50,61,,,,,,
19,48,45,51,50,42,70,,,,,,
20,50,29,48,49,43,84,,,,,,
21,41,36,59,53,49,86,,,,,,
22,67,40,71,58,49,83,,,,,,
23,70,54,55,56,51,72,,,,,,
24,65,58,68,53,44,62,,,,,,
25,48,56,48,67,48,70,,,,,,
26,61,54,52,63,54,69,,,,,,
27,55,58,50,65,47,71,,,,,,
28,53,55,56,55,48,77,,,,,,
29,46,,56,84,56,80,,,,,,
30,50,,59,60,88,61,,,,,,
31,41,,51,,68,,,,,,,
平均,51.1,48.3,54,55.1,51.3,68.6,59.8, , , , , 
