2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.0,0.0,0.0,0.0,0.0,99.5,0.0,,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,,,,
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
5,0.0,0.0,0.0,0.0,0.0,194.5,0.0,,,,,
6,0.0,0.0,0.0,0.0,0.0,167.5,0.5,,,,,
7,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,
8,0.0,0.0,0.0,0.0,0.0,0.5,,,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
10,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,
11,0.0,7.0,0.0,0.0,0.0,4.5,,,,,,
12,0.5,0.0,0.0,0.0,0.0,15.5,,,,,,
13,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
15,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,
16,0.0,0.0,0.0,0.0,0.0,37.0,,,,,,
17,0.0,0.5,0.0,0.0,0.0,38.0,,,,,,
18,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,
19,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,
20,0.0,0.0,0.0,0.0,0.0,94.0,,,,,,
21,0.0,0.0,0.0,0.0,0.0,121.5,,,,,,
22,3.5,0.0,0.0,0.0,0.0,77.0,,,,,,
23,0.0,0.0,0.0,0.0,0.0,0.5,,,,,,
24,0.0,0.0,5.0,0.0,0.0,18.0,,,,,,
25,0.0,0.0,0.0,7.5,0.0,24.0,,,,,,
26,0.0,0.0,0.0,1.0,0.0,25.0,,,,,,
27,0.0,0.0,0.0,1.0,0.0,8.5,,,,,,
28,0.0,0.0,0.0,0.0,0.0,57.0,,,,,,
29,0.0,,0.0,10.0,8.5,48.5,,,,,,
30,0.0,,0.0,0.0,46.5,0.0,,,,,,
31,0.0,,0.0,,4.0,,,,,,,
總和,4,7.5,5.5,19.5,59,1059,0.5, , , , , 
