2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,/
5,/,/,/,/,/,/,/,/,/,/,/,16.8
6,/,/,/,/,/,/,/,/,/,/,/,18.3
7,/,/,/,/,/,/,/,/,/,/,/,18.2
8,/,/,/,/,/,/,/,/,/,/,/,15.5
9,/,/,/,/,/,/,/,/,/,/,/,16.2
10,/,/,/,/,/,/,/,/,/,/,/,16.0
11,/,/,/,/,/,/,/,/,/,/,/,16.4
12,/,/,/,/,/,/,/,/,/,/,/,/
13,/,/,/,/,/,/,/,/,/,/,/,14.0
14,/,/,/,/,/,/,/,/,/,/,/,15.0
15,/,/,/,/,/,/,/,/,/,/,/,15.5
16,/,/,/,/,/,/,/,/,/,/,/,16.1
17,/,/,/,/,/,/,/,/,/,/,/,13.6
18,/,/,/,/,/,/,/,/,/,/,/,12.3
19,/,/,/,/,/,/,/,/,/,/,/,11.3
20,/,/,/,/,/,/,/,/,/,/,/,11.9
21,/,/,/,/,/,/,/,/,/,/,/,13.5
22,/,/,/,/,/,/,/,/,/,/,/,14.9
23,/,/,/,/,/,/,/,/,/,/,/,18.6
24,/,/,/,/,/,/,/,/,/,/,/,16.9
25,/,/,/,/,/,/,/,/,/,/,/,17.7
26,/,/,/,/,/,/,/,/,/,/,/,17.8
27,/,/,/,/,/,/,/,/,/,/,/,14.3
28,/,/,/,/,/,/,/,/,/,/,/,13.2
29,/,,/,/,/,/,/,/,/,/,/,11.3
30,/,,/,/,/,/,/,/,/,/,/,11.3
31,/,,/,,/,,/,/,,/,,13.4
平均,/,/,/,/,/,/,/,/,/,/,/,15
