2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,/
5,/,/,/,/,/,/,/,/,/,/,/,44
6,/,/,/,/,/,/,/,/,/,/,/,53
7,/,/,/,/,/,/,/,/,/,/,/,58
8,/,/,/,/,/,/,/,/,/,/,/,57
9,/,/,/,/,/,/,/,/,/,/,/,46
10,/,/,/,/,/,/,/,/,/,/,/,59
11,/,/,/,/,/,/,/,/,/,/,/,61
12,/,/,/,/,/,/,/,/,/,/,/,/
13,/,/,/,/,/,/,/,/,/,/,/,69
14,/,/,/,/,/,/,/,/,/,/,/,57
15,/,/,/,/,/,/,/,/,/,/,/,57
16,/,/,/,/,/,/,/,/,/,/,/,46
17,/,/,/,/,/,/,/,/,/,/,/,59
18,/,/,/,/,/,/,/,/,/,/,/,43
19,/,/,/,/,/,/,/,/,/,/,/,39
20,/,/,/,/,/,/,/,/,/,/,/,33
21,/,/,/,/,/,/,/,/,/,/,/,41
22,/,/,/,/,/,/,/,/,/,/,/,38
23,/,/,/,/,/,/,/,/,/,/,/,62
24,/,/,/,/,/,/,/,/,/,/,/,60
25,/,/,/,/,/,/,/,/,/,/,/,50
26,/,/,/,/,/,/,/,/,/,/,/,63
27,/,/,/,/,/,/,/,/,/,/,/,68
28,/,/,/,/,/,/,/,/,/,/,/,60
29,/,,/,/,/,/,/,/,/,/,/,58
30,/,,/,/,/,/,/,/,/,/,/,53
31,/,,/,,/,,/,/,,/,,65
平均,/,/,/,/,/,/,/,/,/,/,/,53.8
