2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,0.4,0.5,0.0,0.0,0.3,0.4,0.2,/,0.2,0.0,0.4
2,/,0.4,0.6,0.2,0.3,0.2,0.0,0.2,0.4,0.4,0.3,0.5
3,0.0,0.5,0.5,0.5,0.0,0.2,0.0,0.2,0.3,0.3,0.3,0.3
4,0.3,0.4,0.6,0.5,0.0,0.2,0.0,0.3,0.2,0.4,0.4,0.3
5,0.3,0.4,0.5,0.5,0.3,0.5,0.0,0.2,0.0,0.3,0.4,0.4
6,/,0.6,0.5,0.5,0.0,0.5,0.3,0.0,0.3,0.3,0.4,0.2
7,0.5,0.5,0.0,0.6,0.2,0.4,0.3,0.3,0.5,0.3,0.5,0.3
8,0.3,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.3
9,0.3,0.5,0.3,/,0.0,0.2,0.0,0.6,0.4,0.0,0.4,0.4
10,0.4,0.3,0.3,/,0.3,0.0,0.0,0.5,0.0,0.4,0.4,/
11,0.4,0.6,0.0,0.5,0.5,0.3,0.2,0.2,0.4,0.5,0.4,0.4
12,0.4,0.5,0.4,0.5,0.5,0.2,0.4,0.0,0.4,0.4,/,0.4
13,0.3,0.6,0.4,0.3,0.4,0.3,0.4,0.2,0.4,0.3,0.4,0.5
14,0.3,0.5,0.5,/,0.4,0.3,0.5,0.4,0.3,0.3,0.3,0.5
15,0.3,0.5,0.5,/,0.4,0.5,0.3,0.0,0.3,0.3,0.3,0.3
16,0.3,0.6,0.2,/,0.0,0.5,0.3,0.0,0.0,0.3,0.4,0.3
17,0.3,0.4,0.3,/,0.0,0.3,/,0.0,0.3,0.3,0.4,0.3
18,0.3,0.4,0.2,0.4,/,0.3,0.0,0.0,0.0,/,0.5,0.3
19,0.3,0.3,0.5,0.0,0.2,/,0.2,0.0,0.4,0.2,0.4,0.4
20,0.4,0.5,0.6,/,0.4,0.4,0.2,0.0,0.4,0.3,0.3,0.0
21,0.3,0.4,0.5,/,0.3,0.4,0.3,0.0,0.0,0.4,0.3,/
22,0.4,0.5,0.6,0.5,0.3,0.3,0.2,0.3,0.2,/,0.5,0.3
23,0.4,0.5,0.4,0.5,0.0,0.0,0.3,0.5,/,0.0,0.4,0.3
24,0.5,0.3,0.3,0.6,0.3,0.0,0.4,0.4,0.3,0.2,0.4,0.5
25,0.5,0.4,0.0,0.8,0.3,0.2,0.4,0.0,0.5,/,0.3,0.5
26,0.6,0.5,0.5,0.5,0.2,0.3,0.4,0.4,0.4,0.3,0.4,/
27,0.2,0.5,0.5,0.4,0.2,0.3,0.3,0.4,0.3,0.4,0.0,/
28,0.4,0.5,0.6,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.5,/
29,0.4,,0.5,0.4,0.0,0.4,0.4,0.5,0.3,0.5,0.4,/
30,0.5,,0.5,/,0.3,0.2,0.4,0.4,0.4,0.3,/,/
31,0.4,,0.5,,0.4,,0.4,0.4,,0.3,,0.3
平均,0.4,0.5,0.4,0.4,0.2,0.3,0.3,0.2,0.3,0.3,0.4,0.4
