2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,13.9,21.3,22.7,24.8,/,26.9,26.7,26.5,26.0,23.3,20.6
2,18.6,14.9,20.6,21.5,25.7,/,26.5,26.7,26.4,26.0,22.8,20.5
3,/,15.9,20.9,21.8,26.9,26.7,26.6,25.6,26.0,26.0,23.2,20.0
4,17.7,16.4,20.9,21.6,28.1,26.8,27.2,25.8,25.9,26.0,22.9,19.8
5,18.3,17.2,19.1,/,28.0,26.5,27.2,26.3,26.0,26.0,23.5,20.7
6,18.5,17.7,20.1,19.6,28.7,/,26.7,26.8,24.9,26.0,23.2,20.7
7,19.0,18.3,21.3,/,28.6,24.6,27.1,26.8,24.4,25.6,24.1,21.3
8,18.0,17.7,21.8,21.9,28.1,23.6,27.1,27.5,25.0,24.8,22.8,20.8
9,17.7,17.4,22.2,22.1,29.3,23.6,26.8,27.6,25.1,24.7,21.6,20.5
10,18.3,18.0,21.2,22.9,30.0,/,26.8,26.8,25.1,25.2,21.5,21.4
11,18.2,18.0,20.3,21.6,26.0,25.9,26.4,25.8,24.8,24.9,22.1,21.6
12,17.6,18.9,20.7,18.5,23.9,27.2,26.8,26.2,25.1,25.3,22.0,21.5
13,17.1,19.2,22.2,19.2,25.8,27.2,28.1,26.0,25.0,25.4,22.6,20.3
14,16.4,20.1,20.1,18.3,27.0,26.2,28.1,25.7,26.1,24.9,22.5,19.5
15,/,21.0,18.5,21.0,27.0,26.1,27.7,25.0,26.2,25.1,22.9,19.0
16,16.8,19.9,19.1,21.6,25.3,26.9,26.6,24.9,25.6,25.0,22.9,19.3
17,17.1,16.2,20.1,23.1,26.1,26.9,26.7,25.5,26.1,24.0,22.3,19.3
18,17.2,17.0,19.7,24.3,24.5,27.6,27.4,26.3,26.5,24.2,22.4,19.1
19,17.3,17.0,20.6,24.8,22.6,27.9,26.8,26.3,26.5,24.3,22.7,18.7
20,/,17.4,21.6,24.7,23.7,28.1,26.0,25.9,26.6,24.7,23.4,18.7
21,16.6,/,22.4,25.4,23.6,26.9,26.8,27.1,26.7,24.6,24.1,18.2
22,17.7,19.2,22.3,23.9,23.4,27.6,27.3,26.1,26.5,24.5,23.2,18.5
23,19.0,19.2,22.5,21.0,23.7,27.8,26.6,25.8,26.9,22.8,22.4,18.8
24,19.6,19.8,22.5,19.7,25.1,27.2,27.0,26.5,26.2,23.4,23.3,19.4
25,19.5,20.2,23.1,21.3,25.5,26.9,27.5,27.1,25.3,24.0,22.7,18.9
26,19.3,20.7,23.6,22.7,24.4,25.9,26.4,26.1,25.3,24.7,21.9,17.8
27,17.9,20.8,22.1,22.9,23.9,26.2,26.1,25.5,25.0,24.6,20.8,18.5
28,16.2,20.5,21.0,23.7,23.6,26.8,25.8,25.7,24.8,25.1,20.7,19.4
29,15.4,20.5,21.6,24.4,23.9,27.0,26.0,26.3,25.6,25.1,21.2,19.9
30,14.6,,21.6,24.7,24.3,26.9,25.4,26.8,25.4,24.2,20.6,16.3
31,13.3,,22.1,,25.9,,26.2,26.3,,23.7,,/
平均,17.5,18.3,21.2,22.2,25.7,26.6,26.8,26.2,25.7,24.9,22.5,19.6
