2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,963.1,961.1,958.7,952.1,955.7,952.0,952.3,,,,,
2,961.9,960.8,959.1,953.6,957.1,952.5,952.6,,,,,
3,962.5,962.3,960.8,954.6,956.8,951.1,952.1,,,,,
4,961.1,962.3,960.6,955.7,955.2,948.7,952.6,,,,,
5,959.4,960.7,958.9,958.1,956.6,948.7,951.7,,,,,
6,958.5,959.5,959.1,958.3,957.8,949.8,951.0,,,,,
7,959.0,959.4,959.6,957.5,956.2,953.5,955.6,,,,,
8,961.3,959.8,960.5,955.9,953.8,954.3,,,,,,
9,961.5,959.1,960.7,957.4,953.4,952.9,,,,,,
10,961.5,955.1,961.0,959.6,953.0,951.5,,,,,,
11,961.9,953.0,961.2,960.2,953.1,952.0,,,,,,
12,960.7,955.0,960.4,958.5,953.4,954.6,,,,,,
13,959.6,956.8,959.3,956.9,953.5,954.3,,,,,,
14,958.4,956.1,957.7,956.0,954.0,951.5,,,,,,
15,957.2,956.3,957.1,955.3,953.7,949.8,,,,,,
16,957.4,957.5,956.3,955.8,953.8,951.9,,,,,,
17,960.9,959.5,956.2,956.7,954.4,952.9,,,,,,
18,961.2,963.0,955.9,955.8,954.1,951.6,,,,,,
19,960.3,963.1,955.2,954.7,953.1,949.9,,,,,,
20,959.3,961.1,954.0,954.4,953.5,948.6,,,,,,
21,957.2,959.6,956.6,953.4,953.2,948.9,,,,,,
22,954.2,958.1,961.4,950.7,952.5,949.7,,,,,,
23,954.8,956.3,960.5,950.2,953.0,951.0,,,,,,
24,958.0,955.1,958.4,952.7,954.2,951.0,,,,,,
25,958.9,953.3,957.9,955.0,954.3,951.0,,,,,,
26,958.0,952.4,957.4,956.0,953.8,952.6,,,,,,
27,958.1,955.4,954.8,958.0,953.9,951.9,,,,,,
28,960.4,957.5,952.6,957.6,953.5,951.0,,,,,,
29,961.1,,951.3,955.2,951.9,951.8,,,,,,
30,962.9,,950.9,954.9,950.0,952.2,,,,,,
31,963.1,,951.1,,949.8,,,,,,,
平均,959.8,958.2,957.6,955.7,953.9,951.4,952.6, , , , , 
