2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,964.8,963.0,960.5,954.1,956.9,953.3,953.9,,,,,
2,963.7,962.4,961.4,955.4,958.8,953.9,953.8,,,,,
3,964.1,964.3,962.3,956.2,958.7,953.4,953.8,,,,,
4,963.4,964.2,961.8,957.5,956.8,950.4,954.2,,,,,
5,961.0,962.6,961.0,959.8,958.2,950.4,953.3,,,,,
6,960.4,961.4,960.8,960.5,959.0,952.9,955.5,,,,,
7,960.7,961.2,961.3,959.9,958.2,955.6,957.7,,,,,
8,962.4,961.1,962.0,957.6,955.6,955.6,,,,,,
9,963.0,961.0,962.5,959.4,955.5,954.9,,,,,,
10,962.9,958.6,962.8,960.9,954.7,953.7,,,,,,
11,963.9,955.6,962.8,961.9,954.6,954.8,,,,,,
12,962.9,957.5,962.4,960.2,955.4,957.0,,,,,,
13,961.1,958.4,961.0,958.4,955.3,956.4,,,,,,
14,960.4,957.7,959.3,957.3,955.0,954.3,,,,,,
15,959.1,957.8,958.5,956.7,955.5,950.8,,,,,,
16,960.2,959.4,957.9,957.5,955.3,954.1,,,,,,
17,962.7,962.0,957.6,958.3,955.8,953.8,,,,,,
18,962.8,965.0,957.4,957.2,955.8,952.9,,,,,,
19,961.6,965.0,957.0,956.2,954.8,951.6,,,,,,
20,960.9,963.4,955.8,955.7,955.3,950.1,,,,,,
21,959.3,961.5,960.4,955.2,954.4,950.4,,,,,,
22,955.9,960.0,963.2,952.8,954.0,951.6,,,,,,
23,957.9,959.3,963.3,951.6,954.8,952.6,,,,,,
24,959.6,957.0,960.8,954.4,956.2,952.6,,,,,,
25,961.2,955.0,959.4,956.9,955.8,952.8,,,,,,
26,959.7,954.3,959.2,958.5,955.3,954.2,,,,,,
27,959.7,957.5,957.4,959.6,955.4,953.8,,,,,,
28,961.8,959.0,954.5,959.5,955.4,952.0,,,,,,
29,962.9,,953.3,956.6,953.3,953.2,,,,,,
30,964.3,,952.7,956.5,952.1,953.3,,,,,,
31,965.1,,953.0,,952.4,,,,,,,
平均,961.6,960.2,959.5,957.4,955.6,953.2,954.6, , , , , 
