2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2021-01-01 00:01:00,2021-02-01 05:23:00,2021-03-01 06:18:00,2021-04-01 03:54:00,2021-05-01 05:18:00,2021-06-01 03:53:00,2021-07-01 04:57:00,,,,,
2,2021-01-02 06:46:00,2021-02-02 07:37:00,2021-03-02 23:35:00,2021-04-02 05:06:00,2021-05-02 04:51:00,2021-06-02 04:48:00,2021-07-02 05:38:00,,,,,
3,2021-01-03 05:48:00,2021-02-03 07:06:00,2021-03-03 02:33:00,2021-04-03 05:27:00,2021-05-03 05:53:00,2021-06-03 05:28:00,2021-07-03 05:16:00,,,,,
4,2021-01-04 06:24:00,2021-02-04 06:48:00,2021-03-04 05:04:00,2021-04-04 06:18:00,2021-05-04 05:53:00,2021-06-04 23:53:00,2021-07-04 05:59:00,,,,,
5,2021-01-05 04:42:00,2021-02-05 06:24:00,2021-03-05 05:33:00,2021-04-05 23:57:00,2021-05-05 05:49:00,2021-06-05 05:53:00,2021-07-05 05:37:00,,,,,
6,2021-01-06 04:05:00,2021-02-06 06:00:00,2021-03-06 06:07:00,2021-04-06 04:35:00,2021-05-06 04:58:00,2021-06-07 00:00:00,2021-07-06 05:27:00,,,,,
7,2021-01-07 23:50:00,2021-02-07 06:40:00,2021-03-08 00:00:00,2021-04-07 05:18:00,2021-05-07 05:20:00,2021-06-07 05:22:00,,,,,,
8,2021-01-08 22:21:00,2021-02-08 07:29:00,2021-03-08 07:22:00,2021-04-08 03:53:00,2021-05-08 04:46:00,2021-06-08 04:53:00,,,,,,
9,2021-01-09 05:03:00,2021-02-09 06:16:00,2021-03-09 06:22:00,2021-04-09 23:59:00,2021-05-09 04:53:00,2021-06-09 05:34:00,,,,,,
10,2021-01-10 00:35:00,2021-02-10 07:22:00,2021-03-10 06:53:00,2021-04-10 00:39:00,2021-05-10 06:05:00,2021-06-10 05:26:00,,,,,,
11,2021-01-11 23:58:00,2021-02-11 23:53:00,2021-03-11 06:35:00,2021-04-11 02:59:00,2021-05-11 04:25:00,2021-06-11 05:03:00,,,,,,
12,2021-01-12 05:24:00,2021-02-12 06:49:00,2021-03-12 05:14:00,2021-04-12 05:17:00,2021-05-12 05:17:00,2021-06-12 19:43:00,,,,,,
13,2021-01-13 07:07:00,2021-02-13 07:11:00,2021-03-13 04:53:00,2021-04-13 05:18:00,2021-05-13 05:24:00,2021-06-13 05:22:00,,,,,,
14,2021-01-14 04:09:00,2021-02-14 07:01:00,2021-03-14 04:34:00,2021-04-14 05:35:00,2021-05-14 05:23:00,2021-06-14 05:34:00,,,,,,
15,2021-01-15 06:34:00,2021-02-15 07:09:00,2021-03-15 06:53:00,2021-04-15 06:17:00,2021-05-15 06:00:00,2021-06-15 05:09:00,,,,,,
16,2021-01-16 03:25:00,2021-02-16 03:25:00,2021-03-16 06:25:00,2021-04-16 06:12:00,2021-05-16 05:35:00,2021-06-16 03:53:00,,,,,,
17,2021-01-17 23:59:00,2021-02-17 23:53:00,2021-03-17 06:22:00,2021-04-17 23:40:00,2021-05-17 05:42:00,2021-06-17 05:18:00,,,,,,
18,2021-01-18 02:18:00,2021-02-18 23:59:00,2021-03-18 07:00:00,2021-04-18 05:53:00,2021-05-18 02:21:00,2021-06-18 04:41:00,,,,,,
19,2021-01-19 04:53:00,2021-02-19 06:53:00,2021-03-19 05:00:00,2021-04-19 05:13:00,2021-05-19 04:53:00,2021-06-19 05:40:00,,,,,,
20,2021-01-20 06:30:00,2021-02-20 06:08:00,2021-03-20 04:53:00,2021-04-21 00:00:00,2021-05-20 06:07:00,2021-06-20 03:53:00,,,,,,
21,2021-01-21 03:46:00,2021-02-21 07:29:00,2021-03-21 23:54:00,2021-04-21 01:05:00,2021-05-21 05:07:00,2021-06-21 06:34:00,,,,,,
22,2021-01-22 23:59:00,2021-02-22 06:19:00,2021-03-22 06:47:00,2021-04-22 06:13:00,2021-05-22 05:32:00,2021-06-22 05:23:00,,,,,,
23,2021-01-23 07:23:00,2021-02-23 06:03:00,2021-03-23 00:03:00,2021-04-23 06:04:00,2021-05-23 05:11:00,2021-06-23 05:53:00,,,,,,
24,2021-01-24 06:53:00,2021-02-24 00:53:00,2021-03-24 10:54:00,2021-04-24 02:47:00,2021-05-24 03:48:00,2021-06-24 05:41:00,,,,,,
25,2021-01-25 05:06:00,2021-02-25 06:59:00,2021-03-25 06:07:00,2021-04-25 03:03:00,2021-05-25 05:30:00,2021-06-25 04:53:00,,,,,,
26,2021-01-26 05:21:00,2021-02-26 06:31:00,2021-03-26 00:01:00,2021-04-26 03:18:00,2021-05-26 05:21:00,2021-06-26 06:37:00,,,,,,
27,2021-01-27 06:19:00,2021-02-27 06:53:00,2021-03-27 06:08:00,2021-04-27 22:18:00,2021-05-27 05:34:00,2021-06-27 05:33:00,,,,,,
28,2021-01-28 23:52:00,2021-02-28 06:29:00,2021-03-28 04:35:00,2021-04-28 04:54:00,2021-05-28 05:19:00,2021-06-28 22:26:00,,,,,,
29,2021-01-29 00:28:00,,2021-03-29 06:12:00,2021-04-29 23:56:00,2021-05-29 23:59:00,2021-06-29 05:34:00,,,,,,
30,2021-01-30 06:49:00,,2021-03-30 06:15:00,2021-04-30 05:53:00,2021-05-30 08:53:00,2021-06-30 05:16:00,,,,,,
31,2021-01-31 06:57:00,,2021-03-31 05:44:00,,2021-05-31 05:37:00,,,,,,,
平均, , , , , , , , , , , , 
