2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,10.0,30.0,360.0,340.0,10.0,330.0,10.0,,,,,
2,110.0,360.0,320.0,20.0,20.0,310.0,300.0,,,,,
3,10.0,40.0,360.0,340.0,20.0,360.0,350.0,,,,,
4,350.0,10.0,30.0,30.0,20.0,350.0,320.0,,,,,
5,350.0,10.0,20.0,10.0,350.0,20.0,10.0,,,,,
6,10.0,40.0,300.0,320.0,30.0,150.0,300.0,,,,,
7,360.0,330.0,20.0,350.0,10.0,10.0,10.0,,,,,
8,30.0,30.0,10.0,10.0,10.0,360.0,,,,,,
9,30.0,360.0,50.0,360.0,360.0,360.0,,,,,,
10,350.0,360.0,10.0,130.0,310.0,150.0,,,,,,
11,20.0,20.0,10.0,300.0,20.0,360.0,,,,,,
12,10.0,360.0,330.0,20.0,30.0,20.0,,,,,,
13,360.0,10.0,320.0,30.0,20.0,10.0,,,,,,
14,360.0,30.0,310.0,20.0,360.0,10.0,,,,,,
15,10.0,10.0,10.0,340.0,10.0,350.0,,,,,,
16,20.0,20.0,350.0,340.0,20.0,360.0,,,,,,
17,30.0,320.0,40.0,330.0,20.0,10.0,,,,,,
18,10.0,10.0,300.0,10.0,20.0,360.0,,,,,,
19,360.0,360.0,0.0,290.0,20.0,350.0,,,,,,
20,10.0,330.0,10.0,330.0,10.0,10.0,,,,,,
21,360.0,10.0,290.0,360.0,310.0,120.0,,,,,,
22,140.0,330.0,40.0,20.0,350.0,110.0,,,,,,
23,10.0,10.0,360.0,320.0,30.0,10.0,,,,,,
24,330.0,360.0,310.0,20.0,360.0,10.0,,,,,,
25,10.0,10.0,10.0,20.0,50.0,340.0,,,,,,
26,10.0,310.0,10.0,20.0,30.0,350.0,,,,,,
27,350.0,300.0,340.0,10.0,20.0,360.0,,,,,,
28,310.0,30.0,360.0,20.0,20.0,160.0,,,,,,
29,20.0,,360.0,290.0,10.0,10.0,,,,,,
30,360.0,,10.0,350.0,130.0,350.0,,,,,,
31,350.0,,310.0,,20.0,,,,,,,
平均,162.9,157.1,179.4,178.3,96.8,202,185.7, , , , , 
