2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,16.2,19.4,20.0,/,23.8,26.7,27.6,/,23.3,22.3,18.6
2,/,16.4,19.6,19.8,22.2,24.4,26.8,26.5,25.7,23.1,22.2,18.3
3,18.1,16.5,19.4,20.1,21.2,23.8,26.3,26.1,25.9,23.5,21.9,17.4
4,18.0,17.2,18.8,20.6,21.6,23.3,25.9,26.5,25.2,23.8,22.2,17.3
5,18.3,17.5,19.0,21.3,21.4,23.4,25.3,27.1,24.6,23.7,22.2,/
6,18.3,17.2,19.3,21.3,21.4,24.6,25.1,27.1,24.5,23.6,21.5,16.9
7,18.2,17.1,18.6,21.2,21.4,24.9,25.2,/,24.5,23.5,20.9,16.8
8,18.0,16.9,/,21.6,21.5,25.0,25.7,27.1,/,23.6,20.8,16.2
9,18.1,17.0,17.9,21.8,22.1,24.6,25.0,25.4,24.1,23.7,20.1,15.2
10,18.0,17.2,18.0,22.2,22.9,24.2,24.7,24.5,24.8,23.6,19.6,15.0
11,17.8,17.5,17.9,22.9,23.4,22.8,25.0,24.6,24.8,23.3,19.3,/
12,17.9,17.5,18.0,/,/,21.7,26.0,24.6,25.2,23.4,19.1,14.1
13,18.0,17.8,18.2,22.1,24.9,22.0,26.2,25.0,25.1,23.6,18.9,14.4
14,17.9,18.1,17.9,/,25.4,22.3,26.7,25.8,25.3,23.5,18.8,14.1
15,17.9,18.2,18.3,/,25.1,23.2,27.4,24.5,25.5,23.3,19.2,14.2
16,18.2,18.2,18.4,21.2,23.8,24.5,28.2,23.9,25.0,23.5,19.0,14.3
17,18.0,18.4,/,/,23.5,25.0,28.5,23.1,24.8,23.2,18.5,14.8
18,16.7,18.6,18.6,22.0,22.0,25.5,28.4,23.7,25.0,/,18.5,15.1
19,16.9,18.7,19.0,/,22.2,25.8,26.4,24.1,24.9,22.8,19.0,/
20,17.5,18.5,19.5,/,21.9,26.2,25.9,24.0,24.9,22.8,19.7,15.4
21,17.6,19.0,19.8,/,21.9,26.8,25.7,24.0,24.3,22.1,19.8,16.0
22,16.6,18.9,20.1,22.3,22.4,26.6,25.4,24.7,23.9,22.2,19.6,/
23,15.8,19.1,20.1,23.0,22.4,/,25.5,25.6,23.8,22.6,19.4,16.3
24,15.6,18.7,19.2,23.3,22.6,24.2,26.0,25.3,23.5,22.3,19.6,16.0
25,15.3,18.7,18.8,23.1,23.0,24.0,26.6,24.5,23.8,22.4,19.8,15.7
26,15.1,18.4,18.7,23.0,23.5,24.5,27.0,24.8,23.7,22.4,/,15.7
27,15.6,18.4,19.3,22.9,23.9,24.8,26.3,25.6,23.8,22.4,20.0,/
28,15.7,19.1,19.9,23.3,23.6,25.6,26.1,25.5,23.6,22.4,19.5,/
29,15.1,,20.1,23.5,23.5,26.2,26.8,26.0,23.7,22.3,18.8,/
30,15.6,,20.6,24.0,23.7,26.2,27.6,25.0,23.5,22.4,18.4,/
31,15.8,,20.4,,23.6,,28.0,24.6,,22.4,,18.0
平均,17.1,17.9,19.1,22,22.8,24.5,26.3,25.2,24.6,23,20,15.9
