2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,4.3,12.4,17.9,16.1,20.9,21.8,20.7,19.8,19.7,15.0,13.1
2,/,5.5,12.5,16.5,17.8,20.7,21.0,20.9,19.8,17.6,15.1,13.1
3,9.7,8.1,13.2,17.0,17.5,19.9,20.5,21.3,19.8,17.8,15.6,13.1
4,11.5,9.9,13.9,16.1,17.9,18.9,20.8,21.2,19.7,18.1,16.5,13.7
5,12.6,11.4,15.1,/,18.1,19.6,21.1,21.2,20.1,19.6,16.3,14.4
6,12.0,11.2,15.1,15.2,19.3,20.0,21.0,20.7,16.1,19.2,17.2,14.1
7,12.4,11.6,14.9,15.6,19.9,19.9,21.9,20.8,15.4,18.7,18.6,14.4
8,10.6,11.1,15.3,15.3,18.4,19.5,21.1,20.9,19.3,18.7,17.5,16.0
9,9.9,11.1,13.8,15.1,19.4,19.3,20.3,20.9,20.4,18.1,17.6,16.6
10,10.9,10.8,17.2,13.7,20.0,/,19.0,21.0,20.4,17.9,17.9,17.9
11,10.9,10.9,14.1,14.3,20.3,20.1,18.7,21.6,20.3,17.6,17.1,17.5
12,10.5,10.5,15.0,13.6,19.6,20.7,20.1,20.6,20.5,18.5,16.6,16.2
13,10.3,13.9,17.1,7.7,19.0,21.3,20.5,20.0,20.4,18.5,17.6,12.6
14,6.8,15.4,16.0,8.8,19.5,21.0,20.6,19.7,20.7,18.4,19.1,12.9
15,/,15.7,12.6,11.3,19.0,20.3,22.0,20.2,20.8,17.8,18.7,13.5
16,8.7,13.8,10.8,8.4,18.6,19.5,21.0,19.3,20.5,17.7,16.8,13.7
17,10.1,/,11.9,12.3,18.6,20.2,20.5,20.0,20.4,17.9,15.3,12.4
18,10.1,9.3,13.9,14.6,18.4,19.3,20.7,20.1,20.5,17.7,16.0,12.7
19,9.6,8.0,15.6,16.7,18.7,19.5,19.5,19.9,21.0,18.2,16.5,12.8
20,/,9.2,16.6,/,19.3,19.7,19.2,20.0,20.7,19.2,17.7,13.1
21,7.9,/,15.6,18.3,19.4,19.5,19.9,20.8,20.2,18.6,17.3,14.2
22,10.9,10.3,16.7,17.5,20.5,19.7,20.8,20.8,19.9,19.7,15.9,14.2
23,13.0,12.2,16.3,17.4,20.9,20.4,20.6,20.8,20.0,19.3,14.6,15.3
24,13.2,11.9,16.8,16.5,21.4,20.3,20.7,19.7,19.8,19.8,17.2,16.3
25,12.3,12.1,16.1,16.5,20.7,21.0,20.7,21.2,20.6,19.6,15.8,13.4
26,15.4,12.5,15.8,16.9,20.6,20.0,19.6,20.7,20.4,18.9,14.2,10.8
27,11.6,12.4,15.0,17.3,20.6,20.3,19.8,21.2,20.1,18.4,11.7,12.6
28,10.6,12.7,16.1,17.2,20.5,20.4,20.5,21.2,20.2,18.7,12.7,15.4
29,9.0,13.5,14.1,14.9,20.1,20.9,20.9,20.7,20.5,18.9,13.6,15.4
30,6.1,,15.1,15.5,20.2,21.3,20.6,21.3,19.7,18.9,13.8,10.5
31,1.5,,17.4,,20.9,,20.9,20.3,,16.2,,7.1
平均,10.3,11.1,14.9,14.9,19.4,20.1,20.5,20.6,19.9,18.5,16.2,13.8
