2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,3.5,14.3,17.6,15.9,18.4,20.2,19.2,18.4,19.7,14.5,12.3
2,/,5.8,13.0,15.8,17.2,18.3,19.4,19.1,18.2,16.3,13.8,12.0
3,9.2,7.7,12.7,16.5,16.2,18.4,19.4,20.5,18.2,18.1,15.3,13.2
4,9.0,9.4,14.0,16.1,17.2,16.8,20.6,19.8,17.7,17.5,17.3,12.7
5,10.7,10.7,13.9,/,17.1,17.9,19.4,19.6,19.0,18.3,17.0,13.3
6,12.2,10.1,13.5,14.5,20.2,18.9,18.8,19.6,16.4,18.1,16.1,13.5
7,11.7,11.4,13.4,15.2,20.3,18.6,20.6,18.8,15.7,17.6,18.8,14.4
8,10.3,11.8,13.8,14.5,19.3,18.2,19.8,18.7,18.0,18.7,16.2,15.7
9,9.9,10.8,13.7,14.7,18.5,17.8,18.0,19.7,19.0,19.2,16.1,16.1
10,10.2,9.5,15.3,12.7,19.1,/,17.8,20.0,19.3,17.4,16.7,16.7
11,10.2,12.3,14.9,12.9,18.3,18.3,17.3,20.3,18.1,16.7,15.3,16.9
12,9.8,11.9,14.3,10.2,17.8,18.6,17.3,19.0,19.3,17.0,14.8,15.6
13,8.6,12.4,16.1,7.1,16.3,20.0,18.8,18.0,18.5,16.9,17.2,12.7
14,7.5,14.1,13.3,8.6,29.1,19.3,19.1,17.6,19.0,18.1,18.2,11.9
15,/,13.4,11.5,11.0,17.5,18.6,21.9,19.6,19.0,16.6,17.8,12.8
16,8.1,11.0,9.1,9.3,17.8,18.5,20.0,18.3,18.7,16.7,15.8,13.4
17,9.2,/,12.6,10.3,16.0,19.4,18.5,18.9,18.5,17.2,13.8,11.0
18,10.0,8.5,14.0,12.7,17.3,17.8,18.4,18.9,19.4,16.1,15.3,12.2
19,9.6,7.5,15.3,16.3,17.6,18.3,17.8,18.8,19.8,17.4,16.0,11.8
20,/,8.0,17.0,/,17.7,18.9,16.4,18.1,20.3,18.7,17.0,12.1
21,9.3,/,13.7,17.4,17.2,18.5,17.9,19.2,19.0,17.6,17.2,13.9
22,10.8,9.8,14.8,17.4,19.3,17.3,19.4,20.5,18.6,18.8,15.8,13.0
23,11.9,11.3,15.4,16.4,19.7,18.7,19.0,19.8,19.1,17.8,13.7,14.4
24,12.3,11.8,16.3,15.7,20.3,18.7,18.0,17.6,18.9,19.0,17.2,15.2
25,12.0,12.8,14.5,15.6,18.9,18.6,20.0,19.7,19.7,19.3,14.4,12.8
26,13.4,12.6,14.7,16.3,18.8,19.0,18.3,19.7,18.7,18.3,13.9,10.3
27,10.0,13.1,14.7,17.1,19.1,17.8,16.9,19.7,18.1,17.1,12.7,11.2
28,9.7,12.0,13.9,17.7,19.7,18.9,19.0,19.3,20.0,18.4,11.6,13.7
29,8.4,12.8,11.2,14.4,18.2,19.0,18.0,18.7,19.8,18.3,12.4,14.0
30,3.9,,13.7,14.9,17.8,18.9,20.4,19.8,19.1,18.0,14.6,7.9
31,1.0,,17.2,,18.6,,19.3,18.0,,15.7,,6.3
平均,9.6,10.6,14.1,14.2,18.5,18.5,18.9,19.2,18.7,17.8,15.6,13
