2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2021-01-01 13:55:00,2021-02-01 15:07:00,2021-03-01 15:01:00,2021-04-01 16:26:00,2021-05-01 14:08:00,2021-06-01 13:18:00,2021-07-01 14:15:00,,,,,
2,2021-01-02 14:33:00,2021-02-02 14:52:00,2021-03-02 13:40:00,2021-04-02 15:42:00,2021-05-02 04:00:00,2021-06-02 14:52:00,2021-07-02 16:04:00,,,,,
3,2021-01-03 14:20:00,2021-02-03 14:20:00,2021-03-03 13:19:00,2021-04-03 15:29:00,2021-05-03 16:39:00,2021-06-03 16:54:00,2021-07-03 13:48:00,,,,,
4,2021-01-04 14:41:00,2021-02-04 14:42:00,2021-03-04 13:45:00,2021-04-04 14:25:00,2021-05-04 15:43:00,2021-06-04 15:28:00,2021-07-04 15:33:00,,,,,
5,2021-01-05 14:25:00,2021-02-05 14:07:00,2021-03-05 14:41:00,2021-04-05 14:20:00,2021-05-05 16:52:00,2021-06-05 15:57:00,2021-07-05 19:16:00,,,,,
6,2021-01-06 14:06:00,2021-02-06 15:08:00,2021-03-06 15:19:00,2021-04-06 14:42:00,2021-05-06 15:43:00,2021-06-06 01:55:00,2021-07-06 04:52:00,,,,,
7,2021-01-07 14:13:00,2021-02-07 14:24:00,2021-03-07 15:02:00,2021-04-07 16:34:00,2021-05-07 16:48:00,2021-06-07 02:50:00,,,,,,
8,2021-01-08 05:30:00,2021-02-08 13:53:00,2021-03-08 14:18:00,2021-04-08 16:50:00,2021-05-08 15:09:00,2021-06-08 03:34:00,,,,,,
9,2021-01-09 13:43:00,2021-02-09 14:15:00,2021-03-09 14:42:00,2021-04-09 03:23:00,2021-05-09 16:16:00,2021-06-09 10:50:00,,,,,,
10,2021-01-10 12:50:00,2021-02-10 15:14:00,2021-03-10 15:24:00,2021-04-10 16:03:00,2021-05-10 17:08:00,2021-06-10 16:02:00,,,,,,
11,2021-01-11 15:18:00,2021-02-11 15:22:00,2021-03-11 15:58:00,2021-04-11 15:45:00,2021-05-11 15:14:00,2021-06-11 16:10:00,,,,,,
12,2021-01-12 15:15:00,2021-02-12 05:05:00,2021-03-12 14:52:00,2021-04-12 15:39:00,2021-05-12 15:36:00,2021-06-12 16:06:00,,,,,,
13,2021-01-13 14:39:00,2021-02-13 14:10:00,2021-03-13 15:25:00,2021-04-13 17:04:00,2021-05-13 14:05:00,2021-06-13 16:23:00,,,,,,
14,2021-01-14 15:06:00,2021-02-14 15:29:00,2021-03-14 15:02:00,2021-04-14 16:08:00,2021-05-14 15:09:00,2021-06-14 17:32:00,,,,,,
15,2021-01-15 15:26:00,2021-02-15 13:53:00,2021-03-15 14:16:00,2021-04-15 15:44:00,2021-05-15 16:16:00,2021-06-15 15:53:00,,,,,,
16,2021-01-16 13:40:00,2021-02-16 14:52:00,2021-03-16 14:55:00,2021-04-16 14:12:00,2021-05-16 14:52:00,2021-06-16 02:17:00,,,,,,
17,2021-01-17 15:00:00,2021-02-17 13:45:00,2021-03-17 14:51:00,2021-04-17 15:27:00,2021-05-17 15:32:00,2021-06-17 14:13:00,,,,,,
18,2021-01-18 14:58:00,2021-02-18 15:03:00,2021-03-18 15:00:00,2021-04-18 15:13:00,2021-05-18 15:17:00,2021-06-18 15:45:00,,,,,,
19,2021-01-19 14:05:00,2021-02-19 15:04:00,2021-03-19 15:00:00,2021-04-19 17:00:00,2021-05-19 15:02:00,2021-06-19 16:47:00,,,,,,
20,2021-01-20 15:14:00,2021-02-20 14:43:00,2021-03-20 15:19:00,2021-04-20 14:59:00,2021-05-20 13:46:00,2021-06-20 17:39:00,,,,,,
21,2021-01-21 15:07:00,2021-02-21 15:50:00,2021-03-21 02:44:00,2021-04-21 14:54:00,2021-05-21 16:35:00,2021-06-21 15:11:00,,,,,,
22,2021-01-22 23:18:00,2021-02-22 14:36:00,2021-03-22 02:48:00,2021-04-22 15:17:00,2021-05-22 14:48:00,2021-06-22 04:20:00,,,,,,
23,2021-01-23 15:21:00,2021-02-23 15:36:00,2021-03-23 17:11:00,2021-04-23 16:23:00,2021-05-23 14:50:00,2021-06-23 16:34:00,,,,,,
24,2021-01-24 13:54:00,2021-02-24 15:17:00,2021-03-24 04:44:00,2021-04-24 15:04:00,2021-05-24 15:15:00,2021-06-24 16:06:00,,,,,,
25,2021-01-25 14:47:00,2021-02-25 14:17:00,2021-03-25 15:40:00,2021-04-25 04:35:00,2021-05-25 14:29:00,2021-06-25 16:23:00,,,,,,
26,2021-01-26 15:30:00,2021-02-26 13:59:00,2021-03-26 15:54:00,2021-04-26 02:47:00,2021-05-26 14:29:00,2021-06-26 03:46:00,,,,,,
27,2021-01-27 14:42:00,2021-02-27 03:50:00,2021-03-27 15:37:00,2021-04-27 06:15:00,2021-05-27 15:28:00,2021-06-27 16:11:00,,,,,,
28,2021-01-28 15:05:00,2021-02-28 14:07:00,2021-03-28 15:21:00,2021-04-28 15:54:00,2021-05-28 15:23:00,2021-06-28 16:14:00,,,,,,
29,2021-01-29 13:50:00,,2021-03-29 15:25:00,2021-04-29 16:30:00,2021-05-29 16:40:00,2021-06-29 13:53:00,,,,,,
30,2021-01-30 14:38:00,,2021-03-30 14:35:00,2021-04-30 15:06:00,2021-05-30 16:20:00,2021-06-30 16:52:00,,,,,,
31,2021-01-31 14:47:00,,2021-03-31 14:53:00,,2021-05-31 12:58:00,,,,,,,
平均, , , , , , , , , , , , 
