2012年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,3.6,3.0,3.9,2.9,5.3,3.5,3.7,6.8,3.2,3.6,2.7,2.7
2,3.0,4.7,3.8,4.3,4.1,3.4,4.3,8.5,4.2,3.4,3.0,3.1
3,3.7,3.3,2.8,3.6,3.6,2.8,4.2,6.3,3.5,4.2,3.4,3.2
4,3.7,3.9,4.4,3.7,5.7,3.2,4.2,4.1,3.2,2.9,3.2,4.1
5,3.2,4.1,5.3,5.2,3.6,3.6,3.7,2.7,3.5,3.1,3.2,4.9
6,3.1,5.5,4.2,3.5,4.0,3.0,3.1,3.0,3.6,2.1,3.5,2.5
7,2.8,3.3,4.2,3.0,3.6,2.6,3.1,3.6,4.0,3.7,4.1,3.7
8,2.9,3.1,3.8,2.7,4.9,2.9,3.8,3.7,3.0,2.8,4.0,4.0
9,3.4,3.8,3.3,2.5,3.8,3.2,4.1,2.7,3.1,3.3,3.6,3.2
10,2.9,3.6,3.9,2.9,3.8,5.1,3.7,3.6,3.6,2.5,3.1,3.4
11,2.8,3.5,3.4,3.7,2.9,7.7,4.3,4.4,3.1,3.4,3.4,3.5
12,2.8,3.3,4.2,4.0,3.3,7.3,3.4,4.0,3.4,3.4,2.7,3.4
13,2.5,2.5,4.0,3.9,3.8,2.6,4.2,3.2,3.4,2.8,3.2,2.9
14,3.9,3.2,3.6,3.6,3.8,2.7,3.2,3.3,3.7,3.2,2.6,2.9
15,3.7,3.8,3.5,3.4,3.6,2.4,3.7,3.6,3.5,3.2,2.9,/
16,6.4,2.4,3.1,4.0,4.0,2.7,3.1,3.3,4.0,2.7,2.9,/
17,3.4,3.4,3.7,2.9,2.8,3.7,3.8,4.0,3.1,3.7,3.5,/
18,2.6,3.8,4.0,3.1,2.4,3.0,3.8,3.3,2.7,2.8,2.6,2.7
19,3.6,3.8,3.9,3.4,3.7,4.8,3.9,4.4,2.5,3.9,2.7,2.9
20,4.8,3.1,3.7,3.5,3.4,9.9,3.7,3.7,3.2,2.7,3.5,3.4
21,4.0,2.6,3.8,4.9,3.3,7.8,3.7,3.5,3.1,3.0,2.3,3.2
22,4.1,3.5,3.7,3.2,3.1,3.5,3.1,3.2,3.9,3.6,3.3,3.8
23,4.5,3.5,3.8,3.2,3.5,3.9,3.6,3.8,3.5,4.1,4.2,3.4
24,3.0,4.8,3.3,5.1,3.7,4.5,3.5,3.7,3.3,3.4,2.9,2.9
25,3.3,4.7,3.0,5.7,3.3,4.0,3.2,2.9,3.2,3.2,2.3,2.6
26,3.2,4.2,4.1,4.5,2.9,4.2,3.0,2.6,3.3,3.6,3.2,3.1
27,3.2,4.1,3.9,6.1,2.6,3.7,4.0,2.8,4.1,2.6,2.5,3.4
28,3.7,5.8,3.5,6.6,2.8,3.3,3.9,4.5,4.6,2.8,2.9,2.6
29,2.6,2.9,3.0,4.9,3.3,3.5,3.5,3.4,2.6,3.5,5.3,4.0
30,3.6,,3.8,4.6,3.3,3.4,3.3,3.6,3.1,3.3,2.8,4.2
31,3.7,,4.8,,4.1,,3.2,3.0,,4.2,,2.2
平均,3.5,3.7,3.8,4,3.6,4.1,3.6,3.8,3.4,3.2,3.2,3.3
