2012年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,17.4,15.6,21.8,20.6,27.3,25.1,25.4,22.0,24.5,21.7,20.6,20.0
2,13.8,21.9,23.4,21.2,25.8,24.3,25.5,20.2,24.8,22.9,19.9,19.8
3,18.6,15.3,22.0,22.3,24.4,24.8,28.2,26.3,24.9,23.3,24.4,17.3
4,16.9,20.8,23.3,20.9,21.9,24.4,26.7,26.1,25.7,20.3,23.1,20.3
5,12.0,20.9,25.7,22.3,24.6,26.6,26.4,24.5,26.5,21.4,21.6,13.6
6,15.9,22.7,22.3,20.0,23.5,25.3,25.5,25.3,28.3,19.5,23.0,16.5
7,20.0,17.9,21.9,17.1,24.3,25.6,25.4,25.8,26.9,23.0,19.9,21.6
8,20.1,12.5,23.0,18.3,25.4,25.8,26.7,26.4,24.6,20.3,20.2,16.3
9,22.6,15.0,18.6,20.3,25.4,25.0,28.1,26.2,26.4,21.0,23.0,14.2
10,19.9,17.9,18.6,23.2,22.9,21.9,27.1,25.2,25.6,20.2,23.4,18.6
11,16.6,22.2,15.7,25.0,22.0,21.4,25.9,27.0,26.2,21.8,20.8,18.5
12,18.5,21.6,15.6,23.7,22.9,21.8,24.9,25.3,25.2,22.1,19.8,18.4
13,16.3,22.1,19.5,24.8,24.0,22.0,25.3,24.9,24.7,21.5,21.4,18.5
14,20.9,21.6,19.7,25.0,25.7,21.9,25.2,24.7,24.6,22.6,23.0,23.2
15,21.5,21.9,22.9,23.1,25.6,23.0,26.3,25.9,24.9,23.6,23.3,/
16,14.5,20.4,22.1,23.6,24.2,23.4,25.4,26.2,25.1,21.7,22.8,/
17,17.3,18.6,23.8,21.1,23.1,25.3,25.9,23.1,22.7,21.9,17.1,/
18,18.3,19.2,25.4,23.5,22.0,24.0,26.2,23.3,20.6,22.0,16.6,13.8
19,20.1,16.7,22.7,21.6,24.1,22.6,27.2,26.2,22.5,22.4,21.4,15.7
20,20.1,18.7,21.9,22.6,22.5,22.7,27.0,26.3,24.6,19.2,19.4,20.8
21,18.5,16.9,22.7,22.6,23.6,23.1,27.2,25.9,26.0,20.3,19.8,23.5
22,17.5,22.1,23.3,22.1,22.3,25.3,24.8,24.8,26.0,23.4,23.9,20.5
23,14.8,21.6,24.1,22.4,22.3,28.0,27.2,27.6,25.1,22.9,22.8,13.9
24,17.1,19.0,15.7,27.4,23.9,26.1,26.2,21.0,24.8,23.8,18.4,17.4
25,14.6,22.2,14.1,27.9,24.4,26.3,23.6,23.9,23.8,24.8,23.2,18.6
26,15.2,19.0,18.3,22.7,24.6,26.1,28.0,24.6,24.0,24.6,23.3,22.1
27,18.9,14.6,19.8,22.6,23.8,25.1,24.7,23.4,26.6,23.3,15.6,21.5
28,19.5,14.4,19.1,22.1,22.3,26.5,25.4,22.4,24.2,22.7,17.8,19.7
29,16.8,20.4,16.1,26.1,24.7,25.2,27.9,24.9,21.8,24.0,21.2,23.1
30,18.9,,21.3,25.0,25.6,26.0,25.6,25.2,22.2,23.2,18.7,15.1
31,17.2,,22.3,,26.7,,24.4,25.4,,17.0,,9.1
平均,17.8,19.1,20.9,22.7,24.1,24.5,26.1,24.8,24.8,22,21,18.3
