2012年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.0,0.0,0.0,0.0,0.5,1.0,4.0,48.5,41.0,0.0,0.0,/
2,2.0,0.0,0.0,0.0,13.5,0.0,1.0,783.5,12.0,0.0,0.0,/
3,0.0,0.5,0.0,0.5,71.0,1.0,0.0,15.0,30.0,0.0,1.0,/
4,3.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,/
5,5.0,0.0,0.0,0.5,0.5,0.0,43.0,9.0,0.0,0.0,0.0,/
6,6.0,0.0,0.0,22.0,0.0,0.5,2.5,0.0,0.0,0.0,0.0,/
7,0.5,4.0,0.0,1.0,0.0,5.5,2.0,15.0,3.5,1.0,0.0,/
8,0.0,12.5,0.0,9.5,0.0,8.5,0.0,1.5,3.0,0.5,0.0,/
9,0.0,0.5,7.5,0.0,10.5,15.0,0.0,1.5,0.0,0.0,0.0,/
10,0.0,0.0,0.0,0.0,43.5,90.0,0.0,0.5,0.0,0.5,0.0,/
11,0.0,0.0,7.0,0.5,1.5,152.0,8.0,2.5,0.5,0.0,0.0,/
12,0.0,0.0,8.0,0.0,1.0,217.0,0.0,11.0,0.5,0.0,0.5,/
13,2.0,0.0,0.5,0.0,0.5,9.5,0.0,1.0,0.0,0.0,0.0,/
14,0.5,0.0,0.0,0.0,0.0,24.5,0.0,0.0,2.5,0.0,0.0,/
15,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,/
16,45.5,2.5,0.0,4.5,11.5,17.5,1.5,28.5,0.0,0.0,0.0,/
17,0.0,0.0,0.0,11.5,11.5,20.0,4.0,36.5,0.0,0.0,62.0,/
18,0.0,0.0,0.0,79.0,11.5,15.5,0.0,0.0,0.0,0.5,21.5,/
19,0.0,0.0,0.0,7.0,6.5,47.0,0.5,6.0,0.5,0.0,0.5,/
20,0.0,0.0,0.0,14.0,114.0,76.0,0.0,0.0,0.0,0.0,0.0,/
21,0.0,10.5,0.0,17.5,0.0,8.5,10.0,0.0,0.0,0.0,2.5,/
22,2.0,2.5,0.0,0.5,0.0,3.5,13.5,0.0,0.0,0.0,7.0,/
23,9.5,7.0,0.0,2.0,0.0,0.5,4.0,1.5,0.0,0.0,53.0,/
24,4.5,17.5,2.5,3.0,0.0,0.0,36.0,5.0,1.5,0.0,2.0,/
25,0.0,5.0,1.5,12.5,0.0,0.0,2.5,3.5,0.0,0.0,0.0,/
26,0.5,2.5,0.0,18.5,21.0,1.5,6.0,0.0,0.0,0.0,8.0,/
27,0.0,3.0,0.0,22.0,12.0,0.5,0.5,1.5,0.0,0.0,3.5,/
28,0.0,27.5,0.0,5.5,58.5,0.0,1.5,13.0,1.0,0.0,4.0,/
29,0.0,0.5,0.0,10.5,22.5,11.0,0.0,0.5,0.5,0.0,/,/
30,0.0,,0.0,37.0,16.5,3.0,3.0,15.0,0.0,2.0,/,/
31,0.0,,0.0,,0.0,,7.0,6.5,,7.0,,0.0
總和,81,96,27,279,459,729,150.5,1006.5,96.5,11.5,166.5,0
