2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,15.0,15.2,16.1,19.3,20.4,23.1,/,/,/,/,/,/
2,15.5,16.2,16.6,19.3,20.4,23.5,/,/,/,/,/,/
3,15.9,17.8,16.6,18.4,20.7,23.1,/,/,/,/,/,/
4,16.2,17.7,16.6,18.4,20.9,23.0,/,/,/,/,/,/
5,15.2,17.6,17.4,18.1,21.1,23.7,/,/,/,/,/,/
6,15.1,17.7,17.5,18.1,20.8,23.6,/,/,/,/,/,/
7,15.1,17.5,17.4,18.3,20.2,23.4,/,/,/,/,/,/
8,15.2,16.5,17.2,18.4,20.4,23.5,/,/,/,/,/,/
9,15.4,16.5,17.4,19.1,20.8,23.7,/,/,/,/,/,/
10,15.4,16.0,17.0,19.7,20.7,23.8,/,/,/,/,/,/
11,15.2,14.9,16.3,19.9,21.2,23.8,/,/,/,/,/,/
12,15.0,14.5,16.5,20.0,22.0,/,/,/,/,/,/,/
13,15.0,14.9,17.3,20.4,22.0,/,/,/,/,/,/,/
14,15.0,14.8,17.2,20.7,22.0,/,/,/,/,/,/,/
15,14.6,14.3,16.7,20.5,22.4,/,/,/,/,/,/,/
16,14.5,14.6,16.8,20.2,22.6,/,/,/,/,/,/,/
17,14.2,15.1,16.9,20.2,22.5,/,/,/,/,/,/,/
18,14.2,15.6,17.2,20.1,22.8,/,/,/,/,/,/,/
19,13.5,15.6,18.3,20.2,22.5,/,/,/,/,/,/,/
20,13.7,14.9,18.5,20.2,22.1,/,/,/,/,/,/,/
21,13.6,13.8,18.3,20.8,22.1,/,/,/,/,/,/,/
22,13.3,13.7,17.2,21.3,22.5,/,/,/,/,/,/,/
23,13.0,13.8,16.8,21.3,22.5,/,/,/,/,/,/,/
24,12.7,14.0,16.4,21.3,22.5,/,/,/,/,/,/,/
25,12.9,14.4,16.5,21.4,22.6,/,/,/,/,/,/,/
26,13.4,15.1,17.2,21.3,22.8,/,/,/,/,/,/,/
27,14.2,15.1,17.6,21.2,23.0,/,/,/,/,/,/,/
28,14.0,16.0,18.3,21.5,23.4,/,/,/,/,/,/,/
29,14.4,,19.3,21.2,23.4,/,/,/,/,/,/,/
30,14.7,,19.5,20.5,23.2,/,/,/,/,/,/,/
31,15.0,,19.4,,23.1,,/,/,,/,,/
平均,14.5,15.5,17.4,20,21.9,23.5,/,/,/,/,/,/
