2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,10.1,11.3,12.2,16.5,0.0,0.0,/,/,/,/,/,/
2,10.7,16.7,14.0,14.2,/,/,/,/,/,/,/,/
3,14.2,17.3,12.3,14.8,/,/,/,/,/,/,/,/
4,10.8,15.9,12.5,12.9,/,/,/,/,/,/,/,/
5,10.1,16.2,14.0,12.3,/,/,/,/,/,/,/,/
6,10.8,16.1,12.4,13.1,/,/,/,/,/,/,/,/
7,11.5,12.8,12.7,14.5,/,/,/,/,/,/,/,/
8,12.2,12.8,12.9,14.4,/,/,/,/,/,/,/,/
9,12.5,12.8,12.8,14.9,/,/,/,/,/,/,/,/
10,10.4,9.0,11.7,15.2,/,/,/,/,/,/,/,/
11,10.8,7.3,12.5,14.6,0.0,/,/,/,/,/,/,/
12,10.1,8.9,12.4,15.4,/,/,/,/,/,/,/,/
13,11.1,11.0,13.9,14.6,/,/,/,/,/,/,/,/
14,11.1,9.5,11.2,16.9,/,/,/,/,/,/,/,/
15,9.4,8.9,11.0,16.0,/,/,/,/,/,/,/,/
16,8.7,10.8,13.1,16.3,/,/,/,/,/,/,/,/
17,8.7,10.1,12.9,16.1,/,/,/,/,/,/,/,/
18,8.7,11.2,13.2,15.3,/,/,/,/,/,/,/,/
19,7.3,7.8,14.5,16.3,/,/,/,/,/,/,/,/
20,7.2,4.6,13.9,15.7,/,/,/,/,/,/,/,/
21,8.6,4.1,11.5,17.0,19.1,/,/,/,/,/,/,/
22,7.3,6.2,12.2,17.7,18.5,/,/,/,/,/,/,/
23,0.0,7.7,10.9,17.9,18.5,/,/,/,/,/,/,/
24,5.2,8.3,10.3,18.6,18.5,/,/,/,/,/,/,/
25,8.0,9.2,11.3,18.7,18.1,/,/,/,/,/,/,/
26,9.4,11.3,13.6,18.2,18.1,/,/,/,/,/,/,/
27,10.8,11.4,14.0,17.6,19.1,/,/,/,/,/,/,/
28,9.4,12.7,15.7,16.3,19.1,/,/,/,/,/,/,/
29,/,,16.4,15.1,19.4,/,/,/,/,/,/,/
30,11.9,,15.1,15.0,18.9,/,/,/,/,/,/,/
31,11.8,,15.7,,19.0,,/,/,,/,,/
平均,9.6,10.8,13,15.7,15.9,0,/,/,/,/,/,/
