2016年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,0.8,1.0,/,/,/,1.0,1.2,1.1,1.0,0.9,1.0
2,/,0.7,1.0,/,/,/,1.0,0.8,1.0,1.0,0.8,0.9
3,/,0.7,1.3,/,/,1.6,1.0,1.0,0.8,1.1,0.5,1.2
4,/,0.8,1.2,/,/,1.3,1.1,1.0,0.7,1.0,0.8,1.3
5,/,1.1,1.0,/,/,1.3,1.0,1.2,0.9,0.9,1.2,1.1
6,/,0.7,1.1,/,/,1.0,1.2,1.0,0.6,1.0,1.1,0.7
7,/,1.4,/,/,/,0.8,0.9,1.1,0.8,1.0,0.7,0.6
8,/,1.3,/,/,/,0.9,1.1,1.1,1.0,0.6,1.0,0.9
9,/,1.2,/,/,/,0.8,1.2,1.2,0.8,0.7,0.9,1.3
10,/,1.0,/,/,/,0.7,1.1,1.3,0.8,0.9,0.6,1.2
11,/,1.1,/,/,/,1.1,1.1,0.6,0.9,0.9,0.7,1.1
12,/,1.3,/,/,/,1.6,1.1,0.5,1.0,0.7,0.6,1.1
13,/,1.5,/,/,/,1.6,1.1,0.6,1.0,0.9,1.1,1.4
14,0.9,1.2,/,/,/,1.4,1.3,0.8,1.7,1.1,1.1,1.1
15,1.2,1.0,/,/,/,1.3,1.3,0.8,0.9,1.1,1.4,0.6
16,1.1,0.9,/,/,/,1.3,1.3,0.7,1.1,1.4,1.3,0.5
17,1.3,0.7,/,/,/,1.2,1.3,0.9,0.8,1.2,1.3,0.6
18,0.8,0.7,/,/,/,1.2,1.2,1.0,0.6,1.0,0.9,1.2
19,0.9,1.0,/,/,/,1.3,1.2,1.1,0.9,1.0,1.3,1.5
20,1.1,0.7,/,/,/,1.4,1.2,1.2,1.0,1.2,1.1,1.4
21,1.1,0.7,/,/,/,1.3,1.2,0.8,0.9,1.0,0.8,1.1
22,1.2,0.8,/,/,/,1.1,1.4,0.8,0.9,0.9,0.9,1.0
23,1.0,0.7,/,/,/,1.1,1.3,1.0,0.8,0.9,0.9,0.8
24,0.8,0.5,/,/,/,1.2,0.9,0.8,1.2,0.7,1.0,1.0
25,0.7,0.6,/,/,/,1.2,0.8,1.0,1.2,1.0,1.1,1.0
26,1.1,0.7,/,/,/,1.0,1.1,1.2,0.9,0.8,0.7,1.3
27,1.0,0.9,/,/,/,1.2,1.3,1.1,1.9,1.2,1.1,1.0
28,1.0,1.0,/,/,/,1.1,1.3,0.9,1.3,1.1,0.8,0.6
29,1.2,1.3,/,/,/,1.1,1.4,0.9,1.0,1.0,0.8,1.0
30,1.0,,/,/,/,1.1,0.9,0.6,0.8,1.0,0.9,0.7
31,1.1,,/,,/,,1.2,1.0,,0.9,,1.0
平均,1,0.9,1.1,/,/,1.2,1.1,0.9,1,1,0.9,1
