2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,887.4,884.6,883.3,883.5,885.5,883.5,878.8,878.6,883.5,/,884.5,888.0
2,887.1,887.2,883.2,884.0,885.3,883.4,878.8,878.4,880.9,/,883.3,886.8
3,886.6,886.6,883.0,884.5,886.2,882.0,878.9,878.5,880.0,883.6,887.2,887.7
4,/,887.0,884.4,884.3,886.9,882.3,878.6,/,878.9,880.5,886.8,887.9
5,/,885.8,885.2,883.4,887.7,882.8,878.7,/,879.9,879.7,887.7,886.4
6,883.9,885.4,886.0,883.5,884.6,882.3,878.4,/,880.1,884.1,888.4,886.8
7,883.5,884.2,885.1,886.4,882.3,880.9,879.0,/,880.1,885.3,888.6,887.4
8,883.7,883.7,884.4,887.4,881.4,877.8,880.5,/,881.7,884.9,888.3,888.3
9,886.4,884.0,885.0,887.0,884.0,875.0,880.7,879.3,881.4,884.4,887.9,887.5
10,/,884.9,887.7,885.6,886.3,874.5,875.3,877.9,881.3,884.7,887.9,886.4
11,888.7,886.6,888.5,884.0,885.3,874.8,873.7,875.1,880.5,886.1,887.0,886.8
12,889.5,889.6,887.0,/,884.2,877.1,880.3,872.0,882.8,887.6,884.6,888.7
13,889.1,888.9,886.3,884.8,884.1,873.9,881.1,874.0,883.1,/,884.0,890.8
14,887.5,886.9,885.6,883.6,883.5,871.3,879.9,874.9,880.2,886.7,886.0,891.3
15,/,886.1,884.0,883.6,883.6,871.3,880.1,/,875.0,885.3,886.8,890.4
16,883.4,885.1,884.2,884.2,882.8,876.9,877.9,876.2,877.2,884.0,886.7,889.0
17,884.0,885.0,886.8,885.6,882.7,878.4,877.7,875.4,885.8,882.9,886.9,888.5
18,885.8,886.9,886.1,885.6,881.9,878.2,878.9,877.1,886.1,883.8,887.1,888.7
19,886.6,886.4,882.1,885.0,882.1,878.9,880.0,878.2,885.0,887.0,887.3,888.2
20,885.1,884.7,882.1,885.4,881.5,881.0,877.7,877.8,884.3,888.4,/,886.2
21,884.0,883.4,883.1,884.9,882.5,881.6,875.2,875.1,885.1,887.6,886.6,886.5
22,881.7,884.5,883.4,884.0,883.7,881.7,875.6,873.6,886.7,886.3,887.0,887.7
23,883.6,886.2,886.1,881.5,883.3,882.6,878.0,870.2,885.0,887.1,887.7,886.1
24,883.4,887.7,887.8,881.7,883.5,883.8,880.7,871.1,881.2,887.4,888.2,885.3
25,884.4,886.8,888.5,882.9,881.8,884.2,881.3,873.5,879.5,887.8,886.9,884.4
26,884.3,886.8,886.6,883.5,882.3,885.4,880.8,874.5,879.4,886.7,887.8,883.2
27,884.7,885.7,/,885.7,882.7,883.5,880.9,876.9,879.4,886.7,888.2,883.5
28,882.7,883.4,/,885.8,882.9,880.7,880.3,880.0,878.5,884.5,888.1,886.5
29,883.1,,/,884.8,883.8,878.6,879.8,880.9,877.4,882.7,889.5,888.9
30,884.7,,884.3,885.4,883.8,878.9,879.9,882.4,880.3,882.4,889.4,889.6
31,885.0,,/,,884.1,,879.5,885.3,,884.1,,890.9
平均,885.2,885.9,885.2,884.5,883.8,879.6,878.9,876.7,881.3,885.1,887.1,887.6
