2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,340.0,120.0,320.0,340.0,330.0,340.0,340.0,330.0,320.0,/,130.0,330.0
2,330.0,330.0,300.0,330.0,340.0,340.0,170.0,340.0,330.0,/,330.0,320.0
3,310.0,340.0,340.0,310.0,50.0,340.0,70.0,300.0,310.0,350.0,20.0,340.0
4,/,320.0,160.0,320.0,340.0,330.0,10.0,/,180.0,340.0,310.0,340.0
5,/,330.0,330.0,320.0,310.0,30.0,310.0,/,350.0,330.0,330.0,50.0
6,320.0,320.0,310.0,320.0,320.0,320.0,350.0,/,330.0,330.0,340.0,20.0
7,130.0,190.0,320.0,130.0,50.0,340.0,350.0,/,340.0,140.0,330.0,310.0
8,320.0,160.0,310.0,330.0,350.0,290.0,360.0,/,310.0,340.0,330.0,320.0
9,330.0,330.0,310.0,330.0,340.0,320.0,320.0,330.0,330.0,340.0,180.0,330.0
10,/,320.0,330.0,330.0,330.0,330.0,320.0,330.0,320.0,330.0,330.0,320.0
11,340.0,330.0,310.0,320.0,330.0,310.0,100.0,320.0,320.0,320.0,320.0,330.0
12,320.0,310.0,320.0,/,330.0,340.0,350.0,310.0,330.0,330.0,320.0,340.0
13,330.0,340.0,340.0,330.0,340.0,330.0,320.0,360.0,320.0,/,340.0,320.0
14,350.0,330.0,310.0,330.0,330.0,310.0,320.0,340.0,310.0,320.0,330.0,320.0
15,/,340.0,140.0,190.0,330.0,340.0,320.0,/,150.0,310.0,330.0,330.0
16,310.0,330.0,10.0,320.0,330.0,350.0,330.0,310.0,180.0,340.0,300.0,330.0
17,160.0,330.0,320.0,330.0,310.0,320.0,330.0,330.0,330.0,320.0,320.0,320.0
18,320.0,320.0,330.0,340.0,340.0,350.0,320.0,310.0,340.0,320.0,350.0,330.0
19,340.0,350.0,330.0,340.0,320.0,350.0,340.0,320.0,350.0,340.0,10.0,10.0
20,330.0,350.0,100.0,310.0,310.0,100.0,330.0,170.0,330.0,310.0,/,340.0
21,330.0,360.0,320.0,330.0,320.0,10.0,330.0,330.0,310.0,330.0,310.0,320.0
22,310.0,140.0,320.0,350.0,330.0,320.0,330.0,340.0,340.0,310.0,340.0,320.0
23,330.0,330.0,330.0,360.0,300.0,340.0,20.0,170.0,320.0,330.0,310.0,330.0
24,150.0,320.0,330.0,330.0,350.0,320.0,330.0,140.0,330.0,320.0,330.0,330.0
25,330.0,330.0,350.0,350.0,320.0,330.0,330.0,330.0,330.0,340.0,180.0,340.0
26,330.0,340.0,330.0,330.0,330.0,330.0,340.0,310.0,320.0,330.0,190.0,330.0
27,360.0,10.0,/,320.0,340.0,110.0,330.0,350.0,350.0,340.0,330.0,280.0
28,280.0,360.0,/,330.0,320.0,340.0,350.0,150.0,360.0,320.0,340.0,320.0
29,340.0,,/,330.0,340.0,330.0,330.0,330.0,320.0,330.0,320.0,320.0
30,70.0,,320.0,320.0,330.0,320.0,340.0,330.0,320.0,320.0,340.0,330.0
31,290.0,,/,,320.0,,320.0,300.0,,150.0,,330.0
平均,296.3,295.7,290.4,317.9,310.6,294.3,290.6,299.2,312.7,315.4,284.1,296.8
