2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,8.67,7.53,10.29,3.40,5.55,11.34,6.09,9.03,/,7.83,5.86,11.50
2,5.67,6.79,9.45,4.08,3.59,13.58,7.43,8.02,21.04,14.82,5.57,8.10
3,4.38,13.34,7.96,10.70,3.13,14.83,9.53,6.06,10.28,7.57,9.03,7.21
4,10.03,2.99,15.79,7.45,5.88,8.16,13.52,12.31,4.56,10.49,8.62,4.17
5,7.46,5.21,9.89,11.78,7.98,10.49,10.26,5.85,6.19,8.25,7.59,2.52
6,4.92,14.45,9.31,15.64,3.81,12.16,13.16,4.73,8.57,12.50,7.78,3.01
7,4.61,18.36,1.68,14.15,6.88,16.54,15.96,7.54,11.77,5.29,7.87,3.39
8,7.21,17.29,4.26,15.52,5.64,13.62,14.53,8.64,10.26,7.81,9.80,6.87
9,6.60,8.72,6.31,17.07,3.65,14.48,10.51,1.79,19.35,5.87,11.35,7.91
10,7.21,3.38,5.32,18.48,5.82,8.04,14.28,14.02,3.11,10.78,9.10,/
11,8.80,17.73,3.04,12.33,11.72,1.91,11.64,6.92,20.69,8.68,8.89,/
12,7.79,15.66,10.18,12.97,13.15,1.49,10.77,7.14,14.55,9.85,12.12,9.60
13,4.94,5.35,9.39,6.56,7.24,9.89,15.53,14.81,9.05,7.85,11.00,11.82
14,6.34,6.61,11.54,10.65,12.77,5.11,13.79,9.97,6.90,3.90,5.64,13.08
15,7.43,9.50,5.38,8.78,8.81,7.82,22.36,6.57,9.18,4.90,6.38,12.97
16,1.92,10.26,5.12,4.23,8.88,9.93,10.01,7.62,2.61,3.10,10.64,12.66
17,8.13,11.46,7.73,11.49,8.43,7.97,26.41,8.00,7.94,5.03,13.23,11.75
18,8.51,6.20,9.42,10.52,2.00,14.08,5.43,6.62,5.73,6.91,12.60,8.64
19,10.07,5.65,20.12,9.04,12.05,15.65,8.10,6.28,7.34,6.18,8.47,9.06
20,6.18,11.57,14.05,9.64,8.00,14.83,9.22,5.13,4.67,4.04,5.35,4.66
21,4.89,6.46,22.93,7.01,6.01,14.52,12.22,6.17,5.35,4.05,8.13,6.27
22,14.15,14.75,13.19,12.45,5.91,13.06,11.27,10.90,8.03,6.31,12.79,7.65
23,9.02,5.69,3.94,16.60,5.53,7.76,/,16.29,14.48,7.68,10.51,5.51
24,14.20,4.73,2.08,21.88,5.23,5.76,6.52,0.00,4.62,7.27,7.06,9.27
25,10.25,11.48,6.22,11.40,7.31,8.85,8.03,0.00,8.84,6.14,4.92,11.76
26,14.07,11.30,18.10,12.92,9.02,10.40,11.60,3.90,11.56,5.98,5.11,7.46
27,10.41,16.31,17.00,11.44,5.83,/,12.52,15.31,13.18,5.63,7.35,7.58
28,8.79,5.97,19.28,9.72,8.87,12.02,6.49,21.52,9.92,6.08,12.46,6.81
29,13.30,,9.87,8.46,5.49,6.10,19.19,7.63,14.58,8.89,4.27,1.23
30,9.03,,11.58,14.22,5.59,7.15,14.99,4.46,4.91,8.28,7.56,3.21
31,12.90,,11.54,,10.37,,13.85,16.27,,8.14,,2.88
平均,8.3,9.8,10.1,11.4,7.1,10.3,12.2,8.4,9.6,7.3,8.6,7.5
