2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,99,79,84,91,89,94,92,90,91,94,92,91
2,92,75,87,95,92,95,95,94,91,89,89,88
3,87,82,90,95,87,92,94,96,95,87,95,85
4,93,87,93,96,88,89,91,95,90,84,96,91
5,93,92,98,97,86,92,95,96,89,93,94,91
6,87,93,96,97,83,91,96,92,78,92,88,84
7,87,89,92,95,86,93,93,92,77,97,92,81
8,84,86,96,95,86,95,93,92,93,98,93,94
9,84,93,77,96,89,93,86,93,94,93,97,97
10,88,92,90,91,90,88,84,96,96,90,99,95
11,91,91,92,91,95,91,92,97,95,87,98,94
12,89,77,93,99,99,93,90,96,96,/,93,90
13,89,92,92,74,96,96,88,95,95,/,87,85
14,78,94,99,80,97,96,90,94,93,87,96,94
15,82,94,98,75,94,94,95,95,93,93,97,94
16,85,93,91,71,91,92,92,91,92,93,92,96
17,90,99,82,80,87,92,92,92,91,97,89,93
18,90,94,91,83,91,89,91,85,93,96,84,86
19,86,89,95,80,96,88,92,89,95,94,89,83
20,71,87,93,87,96,90,91,91,93,96,95,93
21,77,90,89,93,96,90,94,92,93,91,89,97
22,81,83,90,93,98,90,93,96,91,95,84,89
23,89,88,91,99,99,91,92,95,93,96,94,99
24,92,84,98,98,98,94,92,91,96,99,93,96
25,88,82,95,98,97,92,95,93,95,98,93,89
26,97,84,90,95,96,92,94,93,97,92,88,88
27,94,84,90,95,98,95,94,94,97,94,82,88
28,87,89,96,93,98,93,96,93,93,89,88,92
29,99,87,94,90,97,93,94,93,94,94,90,97
30,85,,90,91,94,93,93,95,94,96,78,98
31,72,,91,,94,,88,96,,92,,99
平均,87.3,87.9,91.7,90.4,93,92.2,92.2,93.3,92.4,93,91.1,91.5
