2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2020-01-01 23:53:00,2020-02-01 04:41:00,2020-03-01 07:08:00,2020-04-01 03:53:00,2020-05-01 03:53:00,2020-06-01 05:05:00,2020-07-01 05:21:00,2020-08-01 05:39:00,2020-09-01 04:35:00,2020-10-01 06:06:00,2020-11-01 22:47:00,2020-12-01 06:53:00
2,2020-01-02 04:53:00,2020-02-02 04:53:00,2020-03-02 06:32:00,2020-04-02 07:23:00,2020-05-02 23:58:00,2020-06-02 03:53:00,2020-07-02 05:22:00,2020-08-02 06:09:00,2020-09-02 05:53:00,2020-10-02 05:53:00,2020-11-02 05:53:00,2020-12-02 07:27:00
3,2020-01-03 06:22:00,2020-02-03 06:26:00,2020-03-03 06:53:00,2020-04-03 02:53:00,2020-05-03 03:39:00,2020-06-03 05:41:00,2020-07-03 02:22:00,2020-08-03 03:53:00,2020-09-03 05:37:00,2020-10-03 05:53:00,2020-11-03 02:27:00,2020-12-03 23:53:00
4,2020-01-04 06:40:00,2020-02-04 04:44:00,2020-03-04 00:03:00,2020-04-04 22:53:00,2020-05-04 04:09:00,2020-06-04 04:22:00,2020-07-04 05:27:00,2020-08-04 05:11:00,2020-09-04 05:53:00,2020-10-04 04:53:00,2020-11-04 23:10:00,2020-12-04 02:35:00
5,2020-01-05 06:29:00,2020-02-05 03:53:00,2020-03-05 12:53:00,2020-04-05 23:40:00,2020-05-05 05:32:00,2020-06-05 04:35:00,2020-07-05 03:53:00,2020-08-05 03:41:00,2020-09-05 23:12:00,2020-10-05 05:13:00,2020-11-05 23:53:00,2020-12-05 02:12:00
6,2020-01-06 06:07:00,2020-02-06 07:05:00,2020-03-06 06:13:00,2020-04-06 23:53:00,2020-05-06 03:53:00,2020-06-06 04:34:00,2020-07-06 05:53:00,2020-08-06 05:34:00,2020-09-06 21:34:00,2020-10-06 05:17:00,2020-11-06 03:25:00,2020-12-06 04:53:00
7,2020-01-07 21:56:00,2020-02-07 00:15:00,2020-03-07 06:05:00,2020-04-07 23:44:00,2020-05-07 21:07:00,2020-06-07 02:32:00,2020-07-07 05:53:00,2020-08-07 05:53:00,2020-09-07 01:20:00,2020-10-07 04:44:00,2020-11-07 23:53:00,2020-12-07 06:31:00
8,2020-01-08 07:36:00,2020-02-08 06:07:00,2020-03-08 06:17:00,2020-04-08 04:20:00,2020-05-08 23:21:00,2020-06-08 19:01:00,2020-07-08 23:51:00,2020-08-08 03:53:00,2020-09-08 04:53:00,2020-10-08 01:21:00,2020-11-08 23:35:00,2020-12-08 05:01:00
9,2020-01-09 04:14:00,2020-02-09 03:53:00,2020-03-09 06:16:00,2020-04-09 05:53:00,2020-05-09 00:07:00,2020-06-09 23:53:00,2020-07-09 05:06:00,2020-08-09 04:53:00,2020-09-09 05:53:00,2020-10-09 05:53:00,2020-11-09 00:53:00,2020-12-09 23:59:00
10,2020-01-10 05:37:00,2020-02-10 06:06:00,2020-03-11 00:00:00,2020-04-10 05:37:00,2020-05-10 23:53:00,2020-06-10 00:08:00,2020-07-10 04:53:00,2020-08-10 05:53:00,2020-09-10 23:53:00,2020-10-10 20:53:00,2020-11-10 06:04:00,2020-12-10 00:04:00
11,2020-01-11 22:38:00,2020-02-11 01:47:00,2020-03-11 06:20:00,2020-04-11 05:34:00,2020-05-11 00:13:00,2020-06-11 03:53:00,2020-07-11 05:53:00,2020-08-11 22:53:00,2020-09-11 04:53:00,2020-10-11 01:11:00,2020-11-11 06:10:00,2020-12-11 04:16:00
12,2020-01-12 06:24:00,2020-02-12 06:24:00,2020-03-12 05:45:00,2020-04-12 23:53:00,2020-05-12 23:53:00,2020-06-12 05:40:00,2020-07-12 05:26:00,2020-08-12 05:53:00,2020-09-12 05:53:00,/,2020-11-12 06:08:00,2020-12-12 23:53:00
13,2020-01-13 22:34:00,2020-02-13 05:36:00,2020-03-13 05:16:00,2020-04-14 00:00:00,2020-05-13 04:53:00,2020-06-13 05:27:00,2020-07-13 04:23:00,2020-08-13 23:53:00,2020-09-13 05:53:00,/,2020-11-13 04:34:00,2020-12-13 21:53:00
14,2020-01-14 06:42:00,2020-02-14 06:30:00,2020-03-14 21:53:00,2020-04-14 04:53:00,2020-05-14 05:11:00,2020-06-14 04:53:00,2020-07-14 01:53:00,2020-08-14 05:53:00,2020-09-14 05:53:00,2020-10-14 01:44:00,2020-11-14 23:53:00,2020-12-14 07:11:00
15,2020-01-15 01:14:00,2020-02-15 05:38:00,2020-03-15 21:26:00,2020-04-15 21:01:00,2020-05-15 05:53:00,2020-06-15 05:11:00,2020-07-15 23:02:00,2020-08-15 23:53:00,2020-09-15 05:46:00,2020-10-15 06:04:00,2020-11-15 20:31:00,2020-12-15 04:03:00
16,2020-01-16 01:53:00,2020-02-16 23:55:00,2020-03-16 05:14:00,2020-04-16 05:13:00,2020-05-16 22:53:00,2020-06-16 04:53:00,2020-07-16 23:53:00,2020-08-16 04:50:00,2020-09-16 03:54:00,2020-10-16 23:53:00,2020-11-16 21:09:00,2020-12-17 00:00:00
17,2020-01-17 06:53:00,2020-02-17 10:32:00,2020-03-17 00:05:00,2020-04-17 05:25:00,2020-05-17 05:05:00,2020-06-17 05:53:00,2020-07-17 05:53:00,2020-08-17 04:53:00,2020-09-17 06:03:00,2020-10-17 19:53:00,2020-11-17 05:53:00,2020-12-17 06:28:00
18,2020-01-18 21:37:00,2020-02-18 06:46:00,2020-03-18 05:13:00,2020-04-18 02:21:00,2020-05-18 05:03:00,2020-06-18 05:35:00,2020-07-18 05:39:00,2020-08-18 00:09:00,2020-09-18 04:53:00,2020-10-18 03:48:00,2020-11-18 03:21:00,2020-12-18 01:41:00
19,2020-01-19 00:27:00,2020-02-19 02:53:00,2020-03-19 05:53:00,2020-04-19 05:53:00,2020-05-19 22:35:00,2020-06-19 05:28:00,2020-07-19 23:53:00,2020-08-19 23:53:00,2020-09-19 23:53:00,2020-10-19 03:14:00,2020-11-19 00:44:00,2020-12-19 03:45:00
20,2020-01-20 04:07:00,2020-02-20 04:34:00,2020-03-20 04:14:00,2020-04-20 05:53:00,2020-05-20 00:53:00,2020-06-20 03:59:00,2020-07-20 01:15:00,2020-08-20 05:44:00,2020-09-20 23:53:00,2020-10-20 07:07:00,2020-11-20 02:53:00,2020-12-20 01:06:00
21,2020-01-21 05:26:00,2020-02-21 05:53:00,2020-03-21 05:53:00,2020-04-21 04:24:00,2020-05-21 03:32:00,2020-06-21 05:17:00,2020-07-21 05:42:00,2020-08-21 04:57:00,2020-09-21 04:09:00,2020-10-21 02:32:00,2020-11-21 00:53:00,2020-12-21 17:33:00
22,2020-01-22 04:18:00,2020-02-22 05:36:00,2020-03-22 05:57:00,2020-04-22 02:46:00,2020-05-22 00:10:00,2020-06-22 04:53:00,2020-07-22 04:16:00,2020-08-22 23:53:00,2020-09-22 05:34:00,2020-10-22 02:53:00,2020-11-23 00:00:00,2020-12-22 02:38:00
23,2020-01-23 06:20:00,2020-02-23 02:49:00,2020-03-23 04:42:00,2020-04-23 01:20:00,2020-05-23 00:02:00,2020-06-23 05:01:00,2020-07-23 23:53:00,2020-08-24 00:00:00,2020-09-23 05:38:00,2020-10-23 23:06:00,2020-11-23 04:25:00,2020-12-23 06:17:00
24,2020-01-24 06:03:00,2020-02-24 05:28:00,2020-03-24 05:53:00,2020-04-24 15:28:00,2020-05-24 23:54:00,2020-06-24 04:53:00,2020-07-24 03:53:00,2020-08-24 05:53:00,2020-09-24 05:49:00,2020-10-24 00:30:00,2020-11-24 07:53:00,2020-12-24 23:53:00
25,2020-01-25 04:53:00,2020-02-25 03:59:00,2020-03-25 06:12:00,2020-04-25 05:43:00,2020-05-25 04:17:00,2020-06-25 05:11:00,2020-07-26 00:00:00,2020-08-25 03:53:00,2020-09-25 05:53:00,2020-10-25 23:53:00,2020-11-25 06:09:00,2020-12-25 22:06:00
26,2020-01-26 23:43:00,2020-02-26 04:27:00,2020-03-26 05:53:00,2020-04-26 05:53:00,2020-05-26 04:35:00,2020-06-26 04:21:00,2020-07-26 21:37:00,2020-08-26 02:53:00,2020-09-26 04:53:00,2020-10-26 22:18:00,2020-11-26 21:30:00,2020-12-26 05:35:00
27,2020-01-27 06:53:00,2020-02-27 23:59:00,2020-03-27 05:46:00,2020-04-27 03:18:00,2020-05-27 03:53:00,2020-06-27 05:53:00,2020-07-27 00:06:00,2020-08-27 23:57:00,2020-09-27 05:33:00,2020-10-27 03:43:00,2020-11-27 23:53:00,2020-12-27 05:53:00
28,2020-01-28 21:25:00,2020-02-28 06:17:00,2020-03-28 23:53:00,2020-04-28 23:53:00,2020-05-29 00:00:00,2020-06-28 04:13:00,2020-07-28 22:53:00,2020-08-28 00:53:00,2020-09-28 01:25:00,2020-10-28 04:40:00,2020-11-28 06:30:00,2020-12-28 00:27:00
29,2020-01-29 05:22:00,2020-02-29 01:53:00,2020-03-29 05:12:00,2020-04-29 05:53:00,2020-05-29 04:41:00,2020-06-29 04:21:00,2020-07-29 04:53:00,2020-08-29 03:53:00,2020-09-29 05:53:00,2020-10-29 06:04:00,2020-11-29 06:53:00,2020-12-29 23:43:00
30,2020-01-30 23:50:00,,2020-03-30 05:05:00,2020-04-30 05:53:00,2020-05-30 04:25:00,2020-06-30 04:48:00,2020-07-30 06:04:00,2020-08-30 23:53:00,2020-09-30 06:24:00,2020-10-30 22:53:00,2020-11-30 23:18:00,2020-12-30 22:28:00
31,2020-01-31 05:44:00,,2020-03-31 04:01:00,,2020-05-31 02:31:00,,2020-07-31 03:53:00,2020-08-31 05:09:00,,2020-10-31 20:41:00,,2020-12-31 15:59:00
平均, , , , , , , , , , , , 
