2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2021-01-01 16:20:00,2021-02-01 13:16:00,2021-03-01 12:29:00,2021-04-01 10:49:00,2021-05-01 13:13:00,2021-06-01 12:57:00,2021-07-01 12:48:00,,,,,
2,2021-01-02 12:42:00,2021-02-02 13:45:00,2021-03-02 11:08:00,2021-04-02 11:29:00,2021-05-02 13:13:00,2021-06-02 12:09:00,2021-07-02 13:13:00,,,,,
3,2021-01-03 14:41:00,2021-02-03 13:13:00,2021-03-03 11:36:00,2021-04-03 11:32:00,2021-05-03 10:35:00,2021-06-03 11:06:00,2021-07-03 13:05:00,,,,,
4,2021-01-04 12:34:00,2021-02-04 12:32:00,2021-03-04 11:55:00,2021-04-04 12:18:00,2021-05-04 12:13:00,2021-06-04 10:30:00,2021-07-04 13:08:00,,,,,
5,2021-01-05 11:18:00,2021-02-05 11:34:00,2021-03-05 11:30:00,2021-04-05 15:05:00,2021-05-05 11:23:00,2021-06-05 14:36:00,2021-07-05 16:38:00,,,,,
6,2021-01-06 10:08:00,2021-02-06 13:24:00,2021-03-06 11:15:00,2021-04-06 15:00:00,2021-05-06 09:13:00,2021-06-06 13:01:00,2021-07-06 09:11:00,,,,,
7,2021-01-07 11:05:00,2021-02-07 12:47:00,2021-03-07 10:23:00,2021-04-07 11:19:00,2021-05-07 11:11:00,2021-06-07 13:47:00,,,,,,
8,2021-01-08 00:40:00,2021-02-08 13:12:00,2021-03-08 10:18:00,2021-04-08 13:46:00,2021-05-08 13:25:00,2021-06-08 09:23:00,,,,,,
9,2021-01-09 21:18:00,2021-02-09 09:54:00,2021-03-09 11:19:00,2021-04-09 13:09:00,2021-05-09 11:10:00,2021-06-09 10:14:00,,,,,,
10,2021-01-10 11:08:00,2021-02-10 13:03:00,2021-03-10 09:45:00,2021-04-10 15:34:00,2021-05-10 16:44:00,2021-06-10 13:47:00,,,,,,
11,2021-01-11 11:49:00,2021-02-11 14:20:00,2021-03-11 11:32:00,2021-04-11 11:07:00,2021-05-11 13:26:00,2021-06-11 10:49:00,,,,,,
12,2021-01-12 14:51:00,2021-02-12 12:56:00,2021-03-12 11:14:00,2021-04-12 12:13:00,2021-05-12 11:00:00,2021-06-12 09:30:00,,,,,,
13,2021-01-13 12:01:00,2021-02-13 14:07:00,2021-03-13 10:07:00,2021-04-13 10:58:00,2021-05-13 11:17:00,2021-06-13 11:09:00,,,,,,
14,2021-01-14 15:54:00,2021-02-14 14:11:00,2021-03-14 10:16:00,2021-04-14 09:02:00,2021-05-14 10:02:00,2021-06-14 11:14:00,,,,,,
15,2021-01-15 15:08:00,2021-02-15 12:46:00,2021-03-15 11:23:00,2021-04-15 15:46:00,2021-05-15 13:04:00,2021-06-15 11:48:00,,,,,,
16,2021-01-16 12:08:00,2021-02-16 12:01:00,2021-03-16 11:13:00,2021-04-16 10:03:00,2021-05-16 12:38:00,2021-06-16 16:38:00,,,,,,
17,2021-01-17 11:42:00,2021-02-17 10:38:00,2021-03-17 13:07:00,2021-04-17 12:52:00,2021-05-17 10:08:00,2021-06-17 16:28:00,,,,,,
18,2021-01-18 11:54:00,2021-02-18 13:25:00,2021-03-18 12:00:00,2021-04-18 08:46:00,2021-05-18 09:51:00,2021-06-18 16:52:00,,,,,,
19,2021-01-19 14:09:00,2021-02-19 10:55:00,2021-03-19 13:21:00,2021-04-19 15:25:00,2021-05-19 13:59:00,2021-06-19 10:07:00,,,,,,
20,2021-01-20 14:16:00,2021-02-20 11:31:00,2021-03-20 13:06:00,2021-04-20 09:06:00,2021-05-20 11:16:00,2021-06-20 15:29:00,,,,,,
21,2021-01-21 13:57:00,2021-02-21 14:11:00,2021-03-21 10:11:00,2021-04-21 11:59:00,2021-05-21 10:35:00,2021-06-21 15:22:00,,,,,,
22,2021-01-22 10:49:00,2021-02-22 13:20:00,2021-03-22 08:34:00,2021-04-22 10:40:00,2021-05-22 09:42:00,2021-06-22 11:37:00,,,,,,
23,2021-01-23 12:32:00,2021-02-23 12:49:00,2021-03-23 13:46:00,2021-04-23 14:03:00,2021-05-23 09:35:00,2021-06-23 11:38:00,,,,,,
24,2021-01-24 12:11:00,2021-02-24 10:19:00,2021-03-24 16:20:00,2021-04-24 09:43:00,2021-05-24 12:42:00,2021-06-24 13:57:00,,,,,,
25,2021-01-25 11:23:00,2021-02-25 09:50:00,2021-03-25 13:17:00,2021-04-25 08:21:00,2021-05-25 09:24:00,2021-06-25 09:04:00,,,,,,
26,2021-01-26 11:22:00,2021-02-26 12:34:00,2021-03-26 16:56:00,2021-04-26 11:00:00,2021-05-26 12:07:00,2021-06-26 12:36:00,,,,,,
27,2021-01-27 12:03:00,2021-02-27 11:36:00,2021-03-27 10:26:00,2021-04-27 09:33:00,2021-05-27 10:44:00,2021-06-27 10:52:00,,,,,,
28,2021-01-28 09:27:00,2021-02-28 12:11:00,2021-03-28 11:49:00,2021-04-28 09:45:00,2021-05-28 13:08:00,2021-06-28 15:52:00,,,,,,
29,2021-01-29 10:18:00,,2021-03-29 14:56:00,2021-04-29 15:51:00,2021-05-29 09:42:00,2021-06-29 16:02:00,,,,,,
30,2021-01-30 12:07:00,,2021-03-30 13:58:00,2021-04-30 11:54:00,2021-05-30 05:39:00,2021-06-30 15:26:00,,,,,,
31,2021-01-31 11:26:00,,2021-03-31 10:31:00,,2021-05-31 13:38:00,,,,,,,
平均, , , , , , , , , , , , 
