2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1000.9,999.6,995.4,998.5,988.0,987.4,982.2,986.9,/,983.9,992.8,995.4
2,1001.3,996.8,992.0,996.2,989.7,987.2,981.9,985.1,/,/,991.9,997.2
3,1001.7,996.1,989.7,995.6,992.2,989.0,987.8,982.6,985.0,991.5,991.8,997.6
4,1000.4,996.9,992.9,993.8,992.0,989.4,988.7,/,985.7,991.2,991.1,998.6
5,999.0,994.7,991.5,991.8,988.7,990.9,985.7,981.5,982.5,992.3,989.2,/
6,998.6,993.1,992.2,992.0,988.3,991.3,984.4,980.8,981.3,993.8,988.8,998.2
7,998.7,993.2,995.0,992.3,988.5,990.3,986.2,/,/,994.5,989.7,999.0
8,997.5,994.2,/,992.1,988.3,988.5,987.5,972.2,/,993.7,992.9,999.7
9,999.2,997.0,989.6,/,987.2,986.6,984.8,971.3,986.0,992.3,993.7,998.4
10,998.1,1000.1,991.2,989.9,988.9,985.8,985.5,975.4,/,/,/,995.4
11,996.5,1002.0,992.3,990.0,989.3,984.7,988.8,981.9,990.0,989.7,993.7,/
12,996.9,1001.1,994.3,992.8,990.0,986.5,987.9,982.6,987.6,990.9,995.0,998.2
13,996.2,999.3,997.2,993.4,989.7,983.4,985.9,981.6,986.5,993.2,995.7,/
14,995.2,998.8,996.8,/,989.1,981.6,985.4,981.5,986.1,995.1,994.6,999.1
15,996.4,998.1,/,/,989.4,984.4,985.3,981.3,986.1,/,994.2,998.3
16,997.0,996.9,997.3,991.8,987.4,986.6,983.7,983.8,986.2,995.1,994.1,995.5
17,997.9,996.0,997.0,/,986.5,989.7,/,985.8,987.0,993.9,992.7,996.6
18,998.9,993.3,994.9,/,985.9,/,/,985.7,987.1,/,992.3,996.4
19,998.7,/,993.2,988.3,988.5,/,/,985.7,986.5,994.6,993.6,998.3
20,997.2,998.5,991.8,/,987.1,987.3,985.8,985.2,983.8,993.5,994.8,996.6
21,998.3,996.6,990.4,989.4,989.3,986.8,987.3,985.3,983.0,/,993.5,995.4
22,999.0,995.2,992.3,988.8,989.5,985.1,987.4,986.2,988.3,990.3,993.1,993.3
23,997.8,994.4,995.6,988.1,990.8,985.2,987.0,983.3,994.0,991.2,994.8,995.0
24,997.7,994.6,996.7,989.6,991.1,987.4,988.1,968.2,995.2,993.5,995.3,996.5
25,998.6,994.5,995.1,989.4,990.3,987.9,988.4,981.3,/,994.8,996.7,993.3
26,999.6,995.5,997.3,990.3,988.9,984.4,986.1,989.2,995.0,994.9,997.4,993.3
27,1001.0,993.2,995.2,991.2,989.3,982.8,986.1,988.4,993.9,992.6,995.8,/
28,999.6,993.6,990.1,992.3,989.3,982.9,987.3,985.0,992.1,992.5,997.4,/
29,999.2,,989.8,989.6,989.3,983.4,987.0,987.0,988.4,993.8,998.8,/
30,999.0,,991.9,/,989.3,983.6,986.2,988.4,979.4,994.0,996.9,/
31,997.5,,995.4,,988.6,,985.5,986.7,,994.0,,1001.5
平均,998.5,996.4,993.6,991.6,989,986.4,986.2,982.8,987.4,992.7,993.9,997
