2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,15.2,21.0,22.6,24.2,27.1,28.8,27.9,28.1,26.1,23.8,21.7
2,18.6,15.5,20.9,21.8,24.2,27.3,28.7,27.9,28.3,26.2,23.7,21.6
3,18.7,16.1,20.6,21.9,24.6,27.1,28.3,27.3,28.0,26.4,23.7,21.3
4,18.5,16.6,20.8,21.9,25.4,27.2,28.5,26.9,27.9,26.4,23.4,20.9
5,18.5,17.2,19.8,/,26.0,27.6,28.5,27.3,28.0,26.3,23.5,21.1
6,19.1,17.1,19.4,20.5,26.3,27.6,28.2,27.8,27.5,26.1,23.7,21.0
7,19.0,17.9,20.3,/,26.6,27.1,28.4,28.4,26.7,25.7,24.2,21.3
8,18.6,17.8,20.9,20.8,26.7,26.4,28.7,28.6,27.3,25.3,23.8,21.1
9,18.3,17.3,21.4,21.3,26.7,25.9,28.8,28.6,27.4,25.2,22.9,20.7
10,18.4,17.3,21.5,21.9,27.3,26.3,28.9,28.3,27.7,25.3,22.4,21.2
11,18.3,17.7,20.4,22.0,27.2,26.9,29.0,27.7,27.4,25.4,22.4,21.6
12,18.1,18.2,20.6,21.4,26.3,27.3,28.9,27.4,27.4,25.9,22.3,21.6
13,17.6,19.0,21.4,20.4,25.9,27.3,29.4,27.1,27.4,26.2,22.9,21.3
14,17.7,19.5,20.9,20.3,26.0,26.9,29.5,27.6,27.6,26.1,23.1,20.7
15,/,20.1,19.7,21.1,26.2,27.5,28.6,27.2,27.7,26.1,23.2,20.1
16,17.3,20.0,19.8,21.5,26.2,27.7,28.6,26.7,27.7,26.1,23.6,19.9
17,17.5,17.7,20.2,22.2,26.0,27.8,28.1,27.0,27.9,25.8,23.4,19.7
18,17.2,16.8,20.5,23.0,26.1,28.0,28.7,27.4,27.8,25.2,23.0,19.4
19,17.2,16.9,20.8,23.7,25.1,28.2,29.0,27.5,27.5,25.0,23.0,19.7
20,/,17.2,21.3,24.2,25.0,28.4,28.6,27.5,27.5,24.9,23.4,19.3
21,16.9,/,22.0,24.2,25.3,28.2,28.3,27.6,27.6,25.0,23.7,19.1
22,17.5,18.1,22.4,23.5,24.8,28.1,28.5,27.8,27.5,25.2,23.7,19.0
23,18.3,18.5,22.5,22.5,24.7,28.3,28.3,27.7,27.3,24.2,23.3,19.4
24,19.0,18.8,22.3,21.4,25.4,28.5,28.0,28.0,27.2,23.9,23.4,19.6
25,19.4,19.3,22.6,21.5,26.1,28.7,28.6,28.4,26.8,24.2,23.1,19.6
26,19.2,19.8,23.1,22.3,25.9,28.8,28.3,28.1,26.6,24.4,23.1,19.3
27,18.5,20.2,23.5,22.7,25.7,28.5,28.1,27.4,26.5,24.6,22.8,19.0
28,17.7,20.3,22.7,23.2,25.5,28.4,28.2,27.4,26.2,24.6,22.4,19.5
29,17.0,20.4,21.7,23.8,25.6,28.6,27.4,27.8,26.4,24.9,22.1,20.1
30,16.3,,21.9,24.1,25.5,28.8,27.3,27.9,26.3,24.6,21.8,19.4
31,15.3,,22.1,,26.3,,27.3,28.0,,23.9,,/
平均,18,18.1,21.3,22.2,25.8,27.7,28.5,27.7,27.4,25.3,23.2,20.3
