2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,13.5,22.5,22.1,25.6,28.8,29.0,28.2,28.4,26.5,23.4,21.0
2,17.6,15.6,20.2,20.2,26.2,28.3,28.0,27.8,28.5,27.1,23.8,21.1
3,18.5,16.5,21.1,20.8,26.8,28.4,27.4,25.9,27.0,27.4,23.2,18.8
4,18.7,16.0,20.5,20.6,27.7,28.9,28.1,26.6,27.9,27.4,22.9,18.8
5,19.1,17.2,16.0,/,27.9,29.0,27.7,27.3,27.6,26.9,23.7,20.2
6,18.9,17.4,18.8,18.2,27.8,27.4,28.8,29.2,26.5,26.1,23.9,20.5
7,19.4,17.8,21.9,/,28.5,26.6,29.4,29.0,27.1,25.0,24.5,21.6
8,18.7,16.6,21.5,19.9,28.7,25.0,29.4,28.8,28.0,24.6,21.5,19.5
9,18.4,15.5,24.5,21.7,28.4,25.7,29.2,29.1,28.1,25.6,20.2,19.0
10,18.5,16.8,20.4,22.5,28.7,27.9,29.6,27.3,27.2,26.0,19.8,21.3
11,18.1,18.1,18.8,21.6,28.0,28.3,29.1,26.7,27.0,26.1,21.9,21.2
12,16.4,21.4,20.9,17.9,25.6,28.0,29.9,26.6,27.0,27.4,22.5,21.2
13,16.3,21.0,22.5,17.1,26.0,27.3,30.6,27.7,27.8,27.3,23.0,20.9
14,18.0,21.6,17.2,18.9,26.8,27.8,30.5,26.9,29.4,26.7,22.4,19.5
15,/,22.9,17.0,21.4,27.6,28.1,29.3,25.7,27.4,26.9,23.4,17.9
16,17.9,16.6,19.4,21.4,25.7,28.8,27.5,25.7,28.0,26.9,24.2,18.3
17,16.6,12.3,20.7,22.5,27.1,28.6,29.0,27.7,28.8,25.3,24.2,18.6
18,15.5,13.8,20.6,24.9,25.4,29.8,30.1,27.7,27.9,24.6,23.8,19.0
19,16.2,15.3,21.9,26.5,23.1,29.0,28.5,27.4,27.8,24.9,24.9,18.3
20,/,16.7,22.5,25.6,25.0,29.1,27.5,27.4,27.6,24.9,25.4,17.9
21,17.5,/,23.6,24.3,24.8,28.7,28.0,28.1,28.0,25.6,26.2,16.5
22,20.2,18.4,24.1,22.2,24.8,29.0,27.9,27.6,27.4,23.8,24.7,18.5
23,21.5,19.2,23.2,19.9,24.5,29.1,27.2,27.9,27.4,21.4,23.8,18.3
24,21.3,19.8,22.8,18.1,26.9,29.2,28.8,28.2,27.2,23.0,23.8,19.3
25,20.6,21.7,23.6,21.5,27.0,29.6,29.0,29.1,26.1,24.6,23.6,18.3
26,17.5,22.3,25.1,23.2,26.1,28.7,27.6,26.8,26.4,25.2,24.1,19.0
27,16.1,20.8,24.2,23.4,25.2,27.7,27.7,26.2,25.8,25.4,22.3,19.3
28,14.0,20.7,15.7,24.4,25.6,28.4,26.8,27.5,25.4,25.7,21.7,20.9
29,12.9,22.6,19.6,24.2,25.0,29.6,26.7,27.7,26.8,25.4,20.9,21.3
30,11.6,,32.2,24.7,26.8,29.6,26.9,28.0,25.8,24.1,20.7,14.4
31,11.6,,23.1,,28.4,,28.5,27.5,,22.8,,10.1
平均,17.4,18.1,21.5,21.8,26.5,28.3,28.5,27.5,27.4,25.5,23.1,19
