2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,20.4,28.7,27.2,30.9,33.8,33.8,35.4,33.4,31.8,28.0,27.2
2,23.7,22.4,25.5,25.8,31.3,33.1,35.8,33.2,35.0,32.9,29.9,27.9
3,24.1,23.1,27.2,27.4,32.2,33.3,35.0,30.9,33.0,32.4,28.2,22.5
4,23.0,20.1,25.7,25.7,33.1,35.0,34.9,31.4,34.0,34.1,28.2,22.1
5,24.1,23.0,18.8,/,34.2,34.4,34.7,33.8,33.3,32.3,28.9,26.7
6,24.7,23.1,22.9,21.5,33.4,33.9,33.9,35.0,33.9,32.4,29.7,27.4
7,25.7,25.0,28.3,/,32.8,32.5,34.8,34.4,35.2,31.0,27.7,26.8
8,24.9,22.4,26.3,24.3,34.7,29.6,35.5,33.6,33.0,28.7,24.5,22.2
9,25.3,19.5,32.5,27.0,32.8,31.5,35.5,32.9,34.4,31.9,22.2,21.0
10,24.0,23.3,24.0,27.6,35.1,33.6,36.1,34.1,33.7,32.4,21.9,25.6
11,23.2,21.8,22.7,27.1,32.7,33.8,35.3,30.4,33.1,32.3,27.3,24.5
12,21.7,28.3,25.5,21.9,27.7,29.9,36.0,33.2,31.9,32.0,28.2,25.7
13,22.4,27.3,28.6,24.4,31.4,33.6,37.0,33.7,33.4,32.5,27.8,27.8
14,26.2,27.5,21.1,24.5,31.3,33.7,35.6,33.0,33.6,32.4,25.5,24.0
15,/,28.7,22.7,27.0,32.7,34.6,33.1,31.2,34.3,31.9,27.3,23.1
16,24.7,22.5,25.4,28.6,33.8,33.8,31.3,33.0,34.5,32.0,29.3,22.7
17,21.9,16.9,26.3,28.9,33.3,34.0,34.3,33.7,34.6,28.9,30.4,24.6
18,21.1,19.7,25.6,30.7,28.8,34.9,35.6,34.6,34.4,30.0,30.4,26.2
19,22.5,21.3,26.3,32.9,27.2,34.4,36.2,34.8,33.6,30.9,31.2,23.8
20,/,22.7,26.9,30.3,30.8,34.8,36.2,34.4,32.5,30.0,30.8,21.5
21,25.1,/,28.2,30.0,29.5,34.6,34.3,33.9,33.5,30.0,32.3,17.6
22,28.2,24.3,29.4,26.9,27.4,34.7,34.8,32.3,33.6,28.1,30.7,24.8
23,28.1,24.9,27.4,22.1,25.7,34.7,35.1,32.6,32.7,24.6,28.1,20.3
24,27.0,27.4,27.4,19.2,31.5,34.8,34.9,35.3,33.2,27.3,28.7,25.8
25,26.9,28.3,28.6,26.5,31.7,34.7,34.1,35.4,29.5,27.8,29.0,22.4
26,22.3,29.0,31.6,27.1,31.4,36.1,34.2,32.3,32.1,31.8,29.6,25.0
27,20.5,25.8,30.7,28.0,28.5,35.4,35.6,30.1,30.1,30.0,27.3,27.3
28,15.8,25.7,26.5,29.9,31.3,35.7,33.6,33.9,28.8,32.0,27.2,28.5
29,16.1,28.3,24.4,29.6,32.1,34.3,32.6,33.8,31.9,30.3,26.5,26.4
30,17.7,,33.1,30.7,32.0,35.1,30.9,33.7,30.6,29.3,26.3,19.9
31,19.2,,24.6,,33.2,,34.1,32.5,,27.7,,11.1
平均,23.2,24,26.5,26.9,31.4,33.9,34.7,33.3,33,30.7,28.1,23.9
