2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,20.0,280.0,290.0,280.0,280.0,280.0,260.0,,,,,
2,280.0,270.0,330.0,300.0,280.0,260.0,250.0,,,,,
3,340.0,280.0,310.0,300.0,300.0,270.0,250.0,,,,,
4,290.0,280.0,310.0,300.0,300.0,270.0,300.0,,,,,
5,300.0,270.0,280.0,300.0,310.0,240.0,320.0,,,,,
6,360.0,280.0,310.0,290.0,290.0,360.0,260.0,,,,,
7,10.0,290.0,310.0,360.0,290.0,280.0,260.0,,,,,
8,30.0,280.0,320.0,330.0,280.0,300.0,,,,,,
9,60.0,270.0,300.0,360.0,290.0,10.0,,,,,,
10,260.0,280.0,300.0,300.0,270.0,280.0,,,,,,
11,10.0,340.0,290.0,290.0,260.0,280.0,,,,,,
12,50.0,280.0,280.0,290.0,270.0,250.0,,,,,,
13,280.0,300.0,290.0,290.0,280.0,300.0,,,,,,
14,260.0,280.0,290.0,290.0,280.0,280.0,,,,,,
15,280.0,300.0,290.0,290.0,290.0,240.0,,,,,,
16,280.0,290.0,280.0,290.0,270.0,220.0,,,,,,
17,20.0,360.0,290.0,300.0,270.0,250.0,,,,,,
18,290.0,340.0,300.0,280.0,270.0,250.0,,,,,,
19,280.0,280.0,300.0,270.0,260.0,220.0,,,,,,
20,290.0,290.0,290.0,270.0,250.0,180.0,,,,,,
21,310.0,280.0,320.0,280.0,250.0,120.0,,,,,,
22,280.0,260.0,360.0,280.0,280.0,270.0,,,,,,
23,290.0,290.0,300.0,310.0,280.0,270.0,,,,,,
24,290.0,290.0,20.0,290.0,270.0,270.0,,,,,,
25,290.0,270.0,310.0,10.0,290.0,260.0,,,,,,
26,280.0,290.0,290.0,260.0,240.0,260.0,,,,,,
27,290.0,300.0,270.0,270.0,250.0,260.0,,,,,,
28,170.0,290.0,280.0,300.0,250.0,240.0,,,,,,
29,270.0,,280.0,290.0,240.0,220.0,,,,,,
30,280.0,,270.0,290.0,30.0,260.0,,,,,,
31,270.0,,280.0,,260.0,,,,,,,
平均,226.1,289.6,288.4,285.3,265.5,248.3,271.4, , , , , 
