2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1083.1,1079.5,1076.2,1068.2,1072.5,1067.5,1067.9,,,,,
2,1081.1,1079.2,1077.4,1070.0,1074.2,1068.2,1068.3,,,,,
3,1081.3,1081.0,1079.7,1071.3,1073.6,1066.6,1067.7,,,,,
4,1079.7,1081.0,1078.8,1072.8,1071.6,1063.9,1068.4,,,,,
5,1078.1,1079.1,1076.4,1076.0,1073.2,1063.9,1067.2,,,,,
6,1077.3,1077.6,1076.8,1076.3,1074.9,1065.3,1066.5,,,,,
7,1078.5,1077.5,1078.0,1075.2,1072.9,1069.4,1071.8,,,,,
8,1082.1,1078.1,1079.0,1073.6,1069.9,1070.3,,,,,,
9,1082.0,1077.4,1079.2,1075.8,1069.5,1068.5,,,,,,
10,1081.2,1073.2,1079.5,1077.9,1069.1,1067.0,,,,,,
11,1082.0,1070.7,1079.5,1078.3,1069.1,1067.6,,,,,,
12,1080.8,1073.2,1078.3,1076.1,1069.1,1070.6,,,,,,
13,1078.4,1074.5,1077.4,1074.0,1069.5,1070.2,,,,,,
14,1077.0,1074.0,1075.8,1073.3,1070.1,1067.1,,,,,,
15,1075.5,1074.1,1074.7,1072.6,1069.6,1065.1,,,,,,
16,1075.7,1075.4,1073.3,1072.9,1069.7,1067.5,,,,,,
17,1080.5,1078.3,1073.2,1073.7,1070.2,1068.5,,,,,,
18,1080.7,1082.5,1073.0,1072.9,1070.2,1067.1,,,,,,
19,1079.1,1082.4,1072.2,1071.8,1068.8,1065.1,,,,,,
20,1077.5,1080.1,1070.9,1071.3,1069.5,1063.5,,,,,,
21,1074.3,1078.1,1074.7,1070.1,1068.9,1063.9,,,,,,
22,1070.5,1076.1,1080.9,1067.2,1068.1,1065.3,,,,,,
23,1072.3,1074.0,1079.2,1066.4,1068.6,1066.6,,,,,,
24,1076.2,1072.8,1076.6,1069.3,1070.1,1066.8,,,,,,
25,1077.1,1070.4,1075.9,1071.8,1070.2,1066.7,,,,,,
26,1076.1,1069.3,1075.0,1073.1,1069.8,1068.4,,,,,,
27,1076.6,1073.2,1071.7,1075.3,1069.7,1067.4,,,,,,
28,1078.4,1075.3,1068.9,1074.9,1069.3,1066.4,,,,,,
29,1080.4,,1067.8,1072.4,1067.4,1067.3,,,,,,
30,1082.1,,1067.0,1071.8,1065.4,1067.7,,,,,,
31,1082.0,,1067.3,,1065.3,,,,,,,
平均,1078.6,1076.4,1075.3,1072.9,1070,1067,1068.3, , , , , 
