2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.0,0.0,0.0,0.0,0.0,67.0,0.0,,,,,
2,0.0,0.0,0.0,0.0,0.0,11.5,0.0,,,,,
3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,,,,
4,0.0,0.0,0.0,0.0,0.0,179.0,11.0,,,,,
5,0.0,0.0,0.0,0.0,0.0,111.0,0.0,,,,,
6,0.0,0.0,0.5,0.0,0.0,18.5,0.0,,,,,
7,3.5,0.0,0.0,0.0,0.0,0.0,112.5,,,,,
8,1.5,0.0,0.0,0.0,0.0,79.5,,,,,,
9,0.0,0.0,0.0,0.5,0.0,0.5,,,,,,
10,0.0,2.5,0.0,0.0,0.0,25.0,,,,,,
11,1.0,24.5,0.0,0.0,0.0,0.0,,,,,,
12,2.0,0.0,0.0,0.0,0.0,44.0,,,,,,
13,0.0,0.0,0.0,0.0,0.0,21.5,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
15,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,
16,0.0,0.0,0.0,0.0,0.0,24.5,,,,,,
17,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
18,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
19,0.0,0.0,0.0,0.0,0.0,16.0,,,,,,
20,0.0,0.0,0.0,0.0,0.0,164.5,,,,,,
21,0.0,0.0,0.0,0.0,0.0,108.5,,,,,,
22,0.5,0.0,0.0,0.0,0.0,31.5,,,,,,
23,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
24,0.0,0.0,9.5,0.0,2.0,19.0,,,,,,
25,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,
26,0.0,0.0,0.0,0.0,5.0,0.5,,,,,,
27,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,
28,0.0,0.0,0.0,0.0,0.0,27.5,,,,,,
29,0.0,,0.0,33.5,4.0,10.5,,,,,,
30,0.0,,2.0,0.0,95.5,0.0,,,,,,
31,0.0,,0.0,,32.5,,,,,,,
總和,8.5,27,12,35,139,965.5,123.5, , , , , 
