2010年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,4.2,2.9,2.6,2.6,1.7,4.8,2.7,1.9,3.5,4.5,6.8,6.4
2,4.3,4.4,2.7,7.6,2.5,6.4,4.5,2.7,4.6,2.6,4.1,5.3
3,4.9,6.4,3.5,6.1,2.2,6.0,5.1,3.0,3.1,3.8,7.5,8.8
4,3.7,6.6,2.9,4.1,1.6,7.3,6.4,1.8,2.8,8.4,5.3,4.2
5,7.2,5.7,2.3,2.9,3.7,7.8,6.4,2.0,1.7,5.8,6.4,3.7
6,7.0,4.8,3.0,2.1,3.7,7.3,6.7,2.2,1.7,3.6,7.1,7.5
7,7.4,4.2,7.3,8.6,3.7,4.6,5.5,2.5,3.8,4.1,8.0,9.5
8,6.9,2.7,6.2,4.4,1.9,1.8,4.6,4.4,3.8,5.9,8.6,5.8
9,3.9,1.8,9.9,4.1,3.4,2.5,4.3,3.4,2.4,5.5,8.6,3.9
10,4.5,3.5,8.7,2.1,4.6,4.3,3.8,4.6,6.5,3.6,5.6,2.3
11,8.5,4.3,3.5,4.3,5.6,3.5,3.7,4.2,5.3,3.4,2.7,5.6
12,9.5,9.3,2.4,4.1,4.6,2.8,3.1,3.1,1.6,4.0,2.0,3.1
13,9.3,5.7,3.0,/,3.9,3.4,2.8,3.2,2.8,3.1,1.9,1.1
14,4.5,4.8,2.8,/,5.5,4.6,2.5,3.6,1.4,4.7,3.5,7.2
15,2.0,7.8,3.0,8.9,4.2,3.7,2.3,3.1,1.8,8.2,8.5,5.7
16,4.8,9.0,9.0,7.5,5.1,5.3,3.1,3.4,2.8,5.6,7.6,9.1
17,6.4,7.5,4.1,5.0,2.8,5.4,3.3,2.3,4.4,5.5,6.9,6.9
18,4.4,8.8,4.4,3.7,3.6,5.4,2.5,2.8,6.2,8.4,6.7,2.0
19,2.4,5.6,2.3,2.0,3.9,4.5,2.1,1.8,10.6,7.3,7.6,2.9
20,1.4,5.0,3.3,2.4,3.4,3.9,2.4,2.1,6.7,8.2,5.7,4.4
21,4.9,2.1,5.2,3.9,3.3,4.3,3.1,2.2,2.0,11.1,1.8,3.7
22,9.3,2.8,3.3,4.7,5.7,4.7,2.0,2.2,3.6,5.7,6.9,7.3
23,7.8,2.2,2.4,8.4,6.0,4.0,2.0,2.4,2.4,4.9,8.8,2.4
24,5.7,3.1,2.9,4.3,5.0,3.6,2.1,2.7,3.8,4.3,7.0,5.7
25,6.8,5.0,10.7,4.0,3.2,4.2,1.9,2.6,4.7,4.8,9.9,6.9
26,7.1,4.9,7.5,2.7,3.2,4.3,3.9,2.1,1.6,13.8,5.3,8.5
27,2.4,2.6,4.5,4.5,2.6,4.1,5.7,1.8,2.2,13.0,2.1,3.9
28,3.7,2.8,7.5,1.2,4.2,2.9,4.1,2.0,2.6,11.3,1.8,3.1
29,6.8,,4.7,5.5,2.1,2.2,4.3,2.1,3.8,9.4,5.5,2.0
30,2.9,,3.5,2.9,4.5,2.2,3.5,2.1,5.2,9.4,5.8,6.6
31,1.3,,2.3,,6.0,,3.5,2.0,,9.5,,8.7
平均,5.4,4.9,4.6,4.5,3.8,4.4,3.7,2.7,3.6,6.6,5.9,5.3
