2011年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,28.8,27.9,26.5,23.6,19.9
2,/,/,/,/,/,/,/,28.6,27.5,24.3,/,16.6
3,/,/,/,/,/,/,/,28.4,27.9,23.4,/,16.9
4,/,/,/,/,/,/,/,28.8,28.2,23.8,/,18.7
5,/,/,/,/,/,/,/,29.3,27.9,24.9,/,18.3
6,/,/,/,/,/,/,/,29.2,27.5,24.8,/,21.3
7,/,/,/,/,/,/,/,29.6,27.7,24.9,/,21.3
8,/,/,/,/,/,/,29.2,29.1,27.9,25.6,/,20.1
9,/,/,/,/,/,/,28.8,28.0,28.0,25.5,/,/
10,/,/,/,/,/,/,27.7,27.9,28.2,25.6,/,/
11,/,/,/,/,/,/,27.6,28.2,28.1,25.6,/,/
12,/,/,/,/,/,/,27.5,28.3,27.6,26.0,/,19.0
13,/,/,/,/,/,/,27.0,28.8,28.1,26.0,/,19.4
14,/,/,/,/,/,/,27.0,29.0,28.2,25.6,/,20.2
15,/,/,/,/,/,/,/,29.2,28.5,24.7,/,19.0
16,/,/,/,/,/,/,26.6,29.2,27.9,25.0,23.1,16.1
17,/,/,/,/,/,/,26.3,29.1,28.0,24.5,23.6,15.4
18,/,/,/,/,/,/,26.9,29.3,27.9,23.8,24.7,16.9
19,/,/,/,/,/,/,28.1,28.8,26.7,23.1,24.8,17.8
20,/,/,/,/,/,/,26.4,28.9,25.6,24.0,21.3,18.7
21,/,/,/,/,/,/,27.4,29.2,25.1,24.7,21.5,19.0
22,/,/,/,/,/,/,28.2,29.0,24.8,24.6,21.6,17.0
23,/,/,/,/,/,/,28.3,29.4,24.7,24.5,21.5,15.8
24,/,/,/,/,/,/,28.4,29.3,24.6,25.1,20.0,13.6
25,/,/,/,/,/,/,28.4,29.3,26.5,23.7,20.4,14.7
26,/,/,/,/,/,/,28.9,29.7,26.7,22.1,21.1,16.4
27,/,/,/,/,/,/,29.1,29.2,27.0,23.4,21.5,16.8
28,/,/,/,/,/,/,28.7,27.9,26.9,24.0,21.7,18.0
29,/,,/,/,/,/,28.7,27.2,27.7,22.7,22.7,18.4
30,/,,/,/,/,/,28.5,24.8,28.0,/,23.2,17.0
31,/,,/,,/,,28.9,26.1,,23.1,,16.4
平均,/,/,/,/,/,/,27.9,28.6,27.2,24.5,22.3,17.8
