2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,/
2,/,/,/,/,/,/,/,/,/,/,/,/
3,/,/,/,/,/,/,/,/,/,/,/,/
4,/,/,/,/,/,/,/,/,/,/,/,/
5,/,/,/,/,/,/,/,/,/,/,/,/
6,/,/,/,/,/,/,/,/,/,/,/,/
7,/,/,/,/,/,/,/,/,/,/,/,/
8,/,/,/,/,/,/,/,/,/,/,/,/
9,/,/,/,/,/,/,/,/,/,/,/,/
10,/,/,/,/,/,/,/,/,/,/,/,/
11,/,/,/,/,/,/,/,/,/,/,/,/
12,/,/,/,/,/,/,/,/,/,/,/,14.3
13,/,/,/,/,/,/,/,/,/,/,/,17.5
14,/,/,/,/,/,/,/,/,/,/,/,15.6
15,/,/,/,/,/,/,/,/,/,/,/,18.1
16,/,/,/,/,/,/,/,/,/,/,/,15.3
17,/,/,/,/,/,/,/,/,/,/,/,17.6
18,/,/,/,/,/,/,/,/,/,/,/,19.4
19,/,/,/,/,/,/,/,/,/,/,/,18.3
20,/,/,/,/,/,/,/,/,/,/,/,18.1
21,/,/,/,/,/,/,/,/,/,/,/,18.9
22,/,/,/,/,/,/,/,/,/,/,/,18.6
23,/,/,/,/,/,/,/,/,/,/,/,17.5
24,/,/,/,/,/,/,/,/,/,/,/,18.9
25,/,/,/,/,/,/,/,/,/,/,/,19.1
26,/,/,/,/,/,/,/,/,/,/,/,18.6
27,/,/,/,/,/,/,/,/,/,/,/,15.9
28,/,/,/,/,/,/,/,/,/,/,/,15.9
29,/,,/,/,/,/,/,/,/,/,/,/
30,/,,/,/,/,/,/,/,/,/,/,/
31,/,,/,,/,,/,/,,/,,15.5
平均,/,/,/,/,/,/,/,/,/,/,/,17.4
