2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,22.3,21.0,24.5,25.8,26.3,28.2,29.7,29.3,28.3,28.3,27.1,25.7
2,22.1,21.1,24.8,25.8,26.5,28.4,29.5,29.4,28.4,28.3,27.1,25.6
3,22.2,21.4,24.8,25.5,26.9,28.6,29.4,29.4,28.6,28.3,27.1,25.5
4,22.4,21.7,24.8,25.3,27.3,28.7,29.5,29.2,28.6,28.4,27.0,25.3
5,22.6,21.7,24.7,25.3,27.6,28.8,29.5,28.8,28.6,28.4,26.9,25.1
6,22.8,21.8,24.3,25.0,27.9,28.9,29.5,28.8,28.5,28.4,26.9,24.9
7,22.8,22.1,24.1,24.6,28.2,28.9,29.4,28.9,28.3,28.3,26.8,24.9
8,23.0,22.3,24.3,24.3,28.5,28.6,29.5,29.0,28.2,28.2,26.7,24.9
9,23.1,22.2,24.6,24.2,28.8,28.2,29.4,29.0,28.3,28.0,26.4,24.9
10,23.2,22.0,24.9,24.3,29.0,28.0,29.3,29.0,28.4,28.0,26.0,24.7
11,23.4,22.1,24.7,24.5,29.2,28.2,29.4,29.0,28.5,27.9,25.7,24.7
12,23.4,22.2,24.2,24.7,29.1,28.2,29.4,28.7,28.6,28.0,25.6,24.7
13,23.3,22.6,24.0,24.3,28.7,28.4,29.4,28.7,28.6,28.0,25.6,24.6
14,/,22.9,24.1,24.1,28.6,28.5,29.5,28.7,28.7,28.1,25.6,24.6
15,23.3,23.4,23.6,24.0,28.7,28.6,29.5,28.7,28.7,28.2,25.5,24.4
16,/,23.8,23.2,24.3,29.0,28.8,29.4,28.6,28.8,28.2,25.5,24.3
17,23.5,23.1,23.3,24.6,29.2,29.2,29.1,28.6,28.9,28.2,25.6,24.1
18,23.2,22.0,23.5,25.0,29.4,29.4,29.1,28.6,28.9,28.2,25.7,24.0
19,/,21.4,23.8,25.5,27.0,29.7,29.2,28.7,28.9,28.1,25.8,24.0
20,/,21.4,24.0,25.9,25.9,29.8,29.3,28.7,28.9,28.0,25.9,23.8
21,22.7,21.8,24.4,26.2,26.6,29.9,29.2,28.8,28.9,27.9,26.1,23.7
22,/,21.9,24.7,26.5,26.5,29.8,29.2,28.8,28.9,27.9,26.3,23.6
23,23.2,22.2,25.0,26.5,26.5,29.8,29.3,28.9,28.8,27.7,26.4,23.6
24,23.8,22.6,25.1,26.0,26.6,29.7,29.4,28.9,28.8,27.4,26.4,23.6
25,23.9,23.0,25.2,25.3,27.0,29.7,29.4,28.9,28.7,27.1,26.4,23.5
26,23.9,23.4,25.4,25.1,27.4,29.8,29.5,28.8,28.6,27.1,26.3,23.3
27,23.5,23.9,25.7,25.2,27.6,29.8,29.5,28.4,28.5,27.2,26.4,23.3
28,22.9,24.2,26.1,25.5,27.5,29.9,29.6,27.8,28.4,27.3,26.2,23.3
29,22.1,24.3,26.1,25.8,27.5,30.0,29.5,27.7,28.4,27.4,26.1,23.4
30,21.6,,25.9,26.0,27.8,29.9,29.4,27.9,28.3,27.4,25.9,23.5
31,21.2,,25.8,,28.0,,29.3,28.2,,27.3,,/
平均,22.9,22.4,24.6,25.2,27.8,29.1,29.4,28.7,28.6,27.9,26.2,24.3
