2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,8.0,9.5,13.2,17.3,18.1,21.2,21.7,23.5,22.2,20.9,21.0,17.4
2,9.3,11.0,11.2,18.0,17.4,20.4,23.9,26.0,22.2,20.9,16.7,15.1
3,11.7,15.9,13.2,15.7,19.6,21.3,24.2,23.0,22.7,21.4,18.2,14.8
4,13.0,15.3,13.3,16.2,18.6,21.0,22.8,24.8,22.4,20.8,17.8,14.1
5,8.5,15.1,14.3,12.5,20.0,21.6,23.5,22.2,20.5,19.0,17.2,12.2
6,8.4,14.7,14.1,14.1,17.8,20.4,24.2,21.6,21.9,18.8,15.9,8.5
7,10.2,16.9,12.6,15.7,17.9,21.3,22.4,21.3,24.0,21.2,16.1,8.7
8,10.2,14.5,14.0,16.2,18.0,21.5,24.6,23.1,21.5,18.2,16.5,9.8
9,11.0,13.5,14.0,17.4,20.0,21.2,21.5,24.2,21.5,16.1,15.8,11.2
10,11.1,11.2,12.4,17.1,21.5,22.1,23.7,22.1,20.8,18.0,13.0,13.2
11,8.2,6.4,13.1,16.8,22.3,24.8,23.5,22.7,21.8,/,15.2,15.8
12,8.2,7.3,12.8,17.5,19.9,25.4,24.9,23.1,22.9,/,17.5,15.2
13,11.3,10.9,15.0,18.8,20.0,25.1,21.8,23.2,21.5,/,17.6,12.1
14,9.6,10.0,12.7,21.4,19.0,20.7,24.2,22.5,24.0,/,16.0,12.2
15,8.1,9.5,11.2,18.7,21.5,22.0,24.1,21.2,21.8,/,15.2,12.1
16,7.8,10.0,13.8,18.1,21.3,23.0,23.2,22.5,22.3,/,15.5,13.3
17,7.8,10.2,11.7,19.0,19.5,22.8,23.3,22.0,22.3,/,17.9,8.6
18,14.0,12.1,13.2,20.2,20.5,21.7,22.3,24.7,23.6,/,17.2,8.7
19,7.8,11.3,18.1,20.5,19.8,25.8,24.5,21.1,21.8,/,15.3,10.1
20,7.1,9.2,16.2,20.0,20.0,24.1,25.8,20.6,23.8,/,11.9,10.1
21,5.4,3.4,11.7,19.1,20.0,/,22.2,18.8,21.8,17.2,12.2,/
22,5.2,5.9,11.0,20.8,19.9,/,24.0,21.0,21.3,22.1,12.0,/
23,2.4,6.0,13.3,20.2,20.1,/,22.0,21.5,21.8,17.3,12.0,/
24,2.8,8.0,11.1,20.0,19.0,/,21.3,23.2,20.1,17.9,12.2,/
25,5.0,9.2,12.0,20.3,20.2,/,21.7,22.8,21.6,17.9,12.2,/
26,7.8,11.2,13.5,21.0,19.5,/,20.1,22.0,21.3,17.8,13.8,/
27,9.8,11.2,17.7,19.4,21.5,/,25.0,21.5,21.8,18.8,15.8,/
28,7.7,15.0,17.4,20.2,20.3,/,22.2,19.7,22.5,19.1,15.7,/
29,8.2,,19.0,18.4,22.0,/,21.2,22.0,21.4,18.8,16.0,/
30,9.7,,19.0,17.7,20.1,/,24.3,21.5,20.8,21.3,20.1,/
31,8.5,,17.4,,20.3,,24.2,20.7,,20.3,,/
平均,8.5,10.9,14,18.3,19.9,22.4,23.2,22.3,22,19.2,15.7,12.2
