2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,/,/,/,/,/,/,/,/,/,/,18.1
2,/,/,/,/,/,/,/,/,/,/,/,17.5
3,/,/,/,/,/,/,/,/,/,/,/,18.0
4,/,/,/,/,/,/,/,/,/,/,/,18.6
5,/,/,/,/,/,/,/,/,/,/,/,20.3
6,/,/,/,/,/,/,/,/,/,/,/,21.4
7,/,/,/,/,/,/,/,/,/,/,/,20.6
8,/,/,/,/,/,/,/,/,/,/,/,19.9
9,/,/,/,/,/,/,/,/,/,/,/,19.4
10,/,/,/,/,/,/,/,/,/,/,/,18.9
11,/,/,/,/,/,/,/,/,/,/,/,19.4
12,/,/,/,/,/,/,/,/,/,/,/,17.6
13,/,/,/,/,/,/,/,/,/,/,/,17.1
14,/,/,/,/,/,/,/,/,/,/,/,18.3
15,/,/,/,/,/,/,/,/,/,/,/,18.5
16,/,/,/,/,/,/,/,/,/,/,/,18.5
17,/,/,/,/,/,/,/,/,/,/,/,15.9
18,/,/,/,/,/,/,/,/,/,/,/,14.8
19,/,/,/,/,/,/,/,/,/,/,/,14.7
20,/,/,/,/,/,/,/,/,/,/,/,15.5
21,/,/,/,/,/,/,/,/,/,/,/,16.7
22,/,/,/,/,/,/,/,/,/,/,/,19.3
23,/,/,/,/,/,/,/,/,/,/,/,20.9
24,/,/,/,/,/,/,/,/,/,/,/,19.2
25,/,/,/,/,/,/,/,/,/,/,/,20.3
26,/,/,/,/,/,/,/,/,/,/,/,20.2
27,/,/,/,/,/,/,/,/,/,/,/,17.4
28,/,/,/,/,/,/,/,/,/,/,/,16.8
29,/,,/,/,/,/,/,/,/,/,/,14.2
30,/,,/,/,/,/,/,/,/,/,17.9,13.7
31,/,,/,,/,,/,/,,/,,15.3
平均,/,/,/,/,/,/,/,/,/,/,17.9,18
