2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,18.5,13.4,19.8,22.0,22.1,25.3,25.8,26.2,26.4,25.1,23.2,20.7
2,17.7,14.1,19.4,21.3,22.7,25.5,25.1,26.2,25.9,25.2,22.9,20.5
3,17.6,15.1,19.2,21.4,23.4,25.2,25.0,25.4,25.2,25.3,23.1,20.7
4,18.0,15.4,19.6,21.3,24.1,25.1,25.6,25.2,25.4,25.2,22.6,20.4
5,17.9,16.1,19.0,20.7,24.5,25.4,25.6,25.8,25.6,25.1,22.7,20.7
6,18.0,16.3,19.1,19.9,24.7,25.3,25.6,26.6,25.3,25.2,22.9,20.8
7,17.9,17.0,19.6,19.6,24.4,24.6,26.1,26.7,24.6,24.7,23.2,21.2
8,17.4,16.4,20.3,20.1,24.4,23.7,26.3,26.7,25.3,24.3,23.0,21.0
9,17.2,16.2,20.9,20.5,24.6,23.6,26.4,26.8,25.6,24.2,22.2,20.7
10,17.3,16.3,20.4,20.6,24.7,24.1,25.1,26.6,25.8,24.2,22.2,21.2
11,17.4,16.7,19.8,20.4,23.6,24.9,25.5,26.0,25.5,24.4,22.2,21.7
12,17.1,17.2,19.8,19.5,23.7,25.7,25.9,26.2,25.7,24.9,22.3,21.6
13,16.8,17.8,20.6,18.1,23.9,25.5,26.5,26.3,25.7,24.9,22.6,21.1
14,16.5,18.6,20.0,18.0,24.3,24.7,26.7,26.0,25.9,24.9,22.7,20.3
15,16.1,19.1,18.5,19.0,24.6,24.7,26.7,25.7,25.9,24.5,22.9,20.3
16,16.3,19.2,18.2,19.0,24.4,25.1,26.1,25.6,25.9,24.5,23.0,20.3
17,16.6,16.6,18.7,19.9,24.1,25.3,25.9,25.9,26.0,24.1,22.7,20.3
18,16.8,16.0,19.1,21.1,23.9,25.3,26.3,26.1,25.8,24.1,22.6,19.8
19,16.5,15.8,19.3,21.8,22.7,25.4,25.4,26.3,25.8,24.1,22.8,20.0
20,16.1,16.2,20.0,/,22.9,25.5,24.9,26.3,26.0,24.2,22.9,19.8
21,15.9,17.0,20.5,22.8,23.1,25.3,25.4,26.5,26.2,24.4,22.9,19.5
22,17.1,17.0,21.0,22.6,22.7,25.3,26.1,25.8,25.8,24.6,22.8,19.4
23,17.7,17.6,21.2,21.7,23.3,25.4,26.1,25.6,25.6,24.0,22.4,19.4
24,18.3,18.0,21.5,20.9,23.8,25.5,26.2,26.1,25.7,23.9,22.4,19.9
25,18.1,18.5,21.6,20.6,24.1,25.9,26.1,26.4,25.7,23.9,22.3,20.2
26,18.3,18.7,21.7,21.2,24.0,25.2,25.7,26.0,25.3,24.1,22.0,19.4
27,17.7,18.8,21.4,21.5,23.7,25.1,25.8,25.7,25.2,23.7,21.7,19.1
28,16.7,19.0,20.4,21.8,23.3,25.6,25.3,25.9,24.8,24.0,21.4,19.8
29,15.8,19.1,20.8,21.9,23.8,25.7,25.4,26.2,25.1,24.2,21.1,20.2
30,14.8,,20.9,21.9,24.3,25.6,25.5,26.6,25.0,24.0,20.7,19.2
31,13.3,,21.4,,24.7,,25.8,26.5,,23.4,,/
平均,17,17,20.1,20.7,23.8,25.2,25.8,26.1,25.6,24.4,22.5,20.3
