2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,80,38,34,60,50,60,71,57,59,61,60,56
2,47,35,51,70,52,58,62,62,53,50,56,52
3,43,43,52,55,55,63,58,92,60,48,57,60
4,64,62,56,61,47,55,58,72,57,46,67,64
5,55,58,82,71,46,56,62,63,62,60,57,60
6,52,50,64,74,48,69,65,60,35,58,56,49
7,59,54,51,65,59,60,66,63,38,69,70,48
8,44,51,52,63,56,82,61,61,54,70,73,75
9,45,66,45,59,55,81,62,63,55,69,79,99
10,52,49,82,52,53,56,52,64,62,56,86,66
11,50,57,63,55,63,57,57,81,55,52,64,65
12,62,35,62,74,82,59,52,57,62,62,50,54
13,66,48,61,29,57,64,55,62,62,56,57,44
14,26,55,95,46,61,61,63,61,61,61,70,54
15,40,58,71,43,52,59,70,66,60,64,70,64
16,45,64,49,18,49,58,81,58,58,64,60,66
17,50,88,42,47,56,60,63,61,61,72,58,62
18,57,55,55,47,77,56,53,54,56,60,43,53
19,54,33,76,50,89,54,55,56,59,66,45,64
20,37,48,57,/,66,56,56,61,58,57,58,65
21,36,55,45,62,80,57,57,62,60,54,55,94
22,41,40,53,50,99,58,62,64,65,65,45,55
23,51,41,59,77,91,57,62,74,62,71,53,91
24,48,43,65,95,71,61,61,55,62,71,59,61
25,45,41,54,75,66,57,68,58,73,71,56,62
26,91,37,49,61,79,56,61,71,70,60,51,52
27,76,46,47,64,82,59,58,71,69,62,46,53
28,69,54,73,56,90,52,64,63,80,46,60,57
29,81,56,65,41,64,64,64,60,60,61,58,63
30,45,,54,40,65,63,63,63,68,63,65,86
31,35,,54,,60,,55,64,,62,,98
平均,53.1,50.3,58.6,57.2,65.2,60.3,61.2,63.8,59.9,60.9,59.5,64.3
