2010年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1011.9,1008.9,1009.4,1007.8,1009.6,1002.6,1003.3,1006.0,997.3,1005.9,1011.9,1008.0
2,1010.1,1009.9,1008.2,1010.6,1007.1,1003.7,1001.6,1005.1,1002.0,1005.6,1011.6,1010.0
3,1010.0,1011.3,1007.9,1011.8,1006.2,1002.8,1002.5,1001.6,1001.6,1006.6,1012.0,1010.3
4,1009.7,1011.7,1007.3,1009.6,1004.5,1001.1,1003.2,998.5,1002.4,1006.9,1012.0,1010.8
5,1011.1,1011.9,1007.0,1006.6,1003.3,1001.3,1000.4,999.9,1002.0,1007.1,1010.4,1009.5
6,1012.0,1012.4,1009.2,1008.0,1003.2,1002.3,1001.6,1000.2,1002.4,1007.2,1009.8,1008.7
7,1013.5,1012.1,1010.7,1011.5,1002.4,1004.1,1003.2,997.6,1000.9,1006.6,1006.9,1010.7
8,1013.1,1011.2,1011.3,1009.2,1001.6,1004.5,1003.3,996.3,1000.6,1004.7,1010.3,1009.6
9,1012.7,1011.4,1017.7,1008.1,1000.5,1004.3,1003.3,999.6,1000.1,1003.0,1012.5,1010.2
10,1012.6,1009.3,1018.5,1007.6,1003.7,1002.9,1003.9,1002.8,1003.8,1004.8,1013.1,1009.8
11,1010.1,1009.7,1017.4,1004.8,1005.7,1002.9,1004.4,1004.7,1006.8,1007.2,1010.5,1008.4
12,1015.4,1014.4,1015.7,1005.8,1006.1,1002.5,1003.8,1004.6,1006.7,1006.8,1007.9,1006.0
13,1019.4,1015.0,1012.1,1010.4,1005.3,1002.9,1004.8,1003.8,1005.8,1006.4,1012.4,1005.4
14,1020.3,1010.0,1009.2,1011.4,1004.3,1003.2,1003.6,1004.9,1006.3,1005.0,1012.4,1007.5
15,1019.5,1011.8,1009.7,1012.7,1004.1,1002.8,1004.3,1005.6,1006.1,1006.9,1011.7,1007.5
16,1018.6,1014.3,1014.4,1012.5,1005.4,1002.7,1004.7,1005.4,1004.4,1007.0,1011.5,1011.4
17,1018.2,1014.0,1015.9,1013.3,1005.0,1003.8,1006.1,1005.8,1003.0,1007.2,1011.2,1012.8
18,1017.5,1015.3,1014.0,1011.6,1004.5,1003.7,1005.6,1007.1,1001.1,1003.9,1009.8,1012.3
19,1015.7,1014.0,1010.5,1006.8,1004.8,1004.0,1003.9,1007.6,992.6,1001.6,1008.0,1013.3
20,1014.7,1012.6,1007.5,1005.7,1005.0,1003.3,1004.4,1006.6,1005.2,1000.1,1006.5,1010.3
21,1013.8,1011.7,1007.8,1005.7,1004.9,1003.9,1006.0,1003.2,1008.3,998.6,1005.4,1007.7
22,1015.4,1010.3,1007.6,1007.8,1001.7,1004.7,1004.3,1002.5,1006.6,995.6,1004.8,1007.2
23,1015.3,1008.4,1006.0,1009.5,997.4,1003.7,1003.0,1004.4,1005.3,998.9,1007.5,1009.2
24,1014.8,1006.7,1005.3,1010.5,1001.3,1000.1,1002.4,1004.9,1005.4,1003.0,1009.5,1008.5
25,1015.4,1005.5,1010.5,1011.5,1002.5,999.5,1002.9,1004.9,1006.5,1004.6,1010.1,1009.1
26,1016.9,1005.8,1013.7,1010.0,1002.9,1002.7,1002.9,1003.6,1007.6,1006.9,1010.1,1012.8
27,1014.4,1008.4,1014.9,1009.3,1004.0,1002.8,1004.4,1001.9,1007.2,1008.4,1011.2,1012.3
28,1011.2,1009.9,1013.3,1008.4,1002.6,1003.6,1004.2,1002.6,1006.9,1009.6,1012.5,1012.3
29,1013.1,,1013.0,1011.1,1001.8,1004.0,1001.5,1001.6,1006.9,1012.2,1011.4,1011.2
30,1013.0,,1012.8,1011.2,1000.3,1003.1,1002.3,1000.0,1006.5,1012.8,1008.9,1012.0
31,1010.9,,1011.3,,1001.2,,1004.9,995.8,,1012.9,,1011.9
平均,1014.2,1011,1011.3,1009.4,1003.6,1003,1003.6,1002.9,1003.9,1005.6,1010.1,1009.9
