2013年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1012.6,1013.3,1008.0,1007.8,1001.1,1001.3,1002.4,998.9,1002.8,1004.2,1005.6,1013.4
2,1012.5,1012.6,1012.4,1006.4,1003.5,999.8,1004.0,1003.0,1004.0,1003.9,1006.9,1011.8
3,1013.6,1012.5,1014.3,1005.0,1004.9,1000.9,1004.1,1006.7,1002.5,1003.6,1007.7,1011.4
4,1011.3,1011.7,1014.1,1002.2,1006.6,1003.9,1002.1,1005.3,1003.3,1002.5,1009.5,1010.4
5,1009.3,1011.3,1014.5,998.9,1007.3,1005.1,1002.2,1003.3,1004.5,1000.3,1010.5,1009.3
6,1009.7,1009.2,1013.5,998.9,1006.2,1003.9,1003.7,1003.8,1006.1,996.4,1010.9,1008.3
7,1008.9,1008.1,1012.1,1004.6,1005.4,1000.8,1005.1,1004.9,1006.1,996.4,1009.6,1008.4
8,1009.0,1010.8,1010.0,1006.6,1005.2,997.5,1006.0,1004.2,1006.0,1001.0,1009.5,1007.8
9,1010.3,1013.3,1008.4,1008.2,1004.4,996.6,1003.7,1002.5,1005.1,1004.2,1008.9,1006.5
10,1011.2,1012.5,1008.2,1008.9,1001.6,997.1,1002.1,1003.1,1003.8,1004.8,1009.2,1006.6
11,/,1012.2,1009.6,1009.0,1000.4,997.9,1001.5,1002.6,1004.2,1002.9,1007.8,1009.5
12,1009.3,1011.9,1008.4,1010.6,1002.2,999.4,994.4,1000.2,1004.7,1001.8,1006.5,1009.7
13,1006.0,1011.4,1007.5,1008.9,1001.8,999.0,988.9,998.9,1002.9,1003.0,1006.5,1010.9
14,/,1009.8,1011.3,1006.6,1001.4,999.9,1001.4,1001.2,999.8,1003.9,1008.3,1011.0
15,1013.3,1009.6,1013.4,1004.1,1001.0,1001.8,1004.2,1001.4,998.5,1004.9,1009.6,1009.5
16,/,1010.7,1012.0,1002.5,1001.1,1001.5,1003.0,997.6,1000.0,1009.5,1009.8,1006.0
17,1016.3,1008.3,1006.9,1002.3,1001.5,999.1,1000.8,996.8,1001.1,1011.1,1009.9,1004.8
18,1017.2,1006.8,1003.7,1002.7,1000.8,996.4,1000.0,996.7,1000.9,1010.0,1012.2,1008.5
19,1015.4,1008.2,1005.1,1003.4,999.6,995.4,1002.1,995.2,999.2,1008.8,1013.4,1012.3
20,1014.7,1011.7,1006.0,1004.7,999.6,997.1,1002.8,991.9,994.1,1006.8,1012.5,1013.8
21,1013.0,1012.4,1007.3,1007.3,1001.0,999.7,1001.8,984.5,983.9,1005.9,1011.2,1015.2
22,1011.8,1013.4,1006.4,1008.8,1001.1,1000.8,1002.4,989.9,991.4,1006.2,1011.4,1014.6
23,1011.2,1013.9,1004.8,1007.7,1003.2,1001.6,1003.7,998.3,999.3,1004.5,1010.1,1012.9
24,1010.1,1013.3,1003.7,1006.0,1003.4,1003.2,1003.2,1001.4,1000.6,1003.1,1007.0,1012.8
25,1010.2,1012.5,1005.6,1005.0,1003.4,1003.2,1001.9,1002.1,1002.3,1005.2,1006.5,1011.2
26,1011.1,1009.7,1006.0,1005.5,1002.9,1002.0,1002.6,1000.4,1004.3,1009.3,1008.8,1009.7
27,1012.5,1007.3,1005.7,1006.6,1002.1,1001.1,1003.2,999.3,1003.7,1010.6,1010.5,1013.1
28,1013.7,1007.0,1006.1,1007.0,1003.9,1000.8,1003.7,996.0,1001.7,1011.3,1013.9,1012.9
29,1014.8,,1006.4,1006.1,1005.0,1002.6,1002.5,996.8,1001.4,1010.8,1015.1,1013.4
30,1015.4,,1006.5,1003.0,1004.5,1003.1,1001.0,999.4,1002.7,1009.1,1013.5,1013.3
31,1014.8,,1007.8,,1003.2,,1000.2,999.8,,1007.6,,1012.1
平均,1012.1,1010.9,1008.6,1005.5,1002.9,1000.4,1002,999.6,1001.4,1005.3,1009.8,1010.7
