2015年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,13.79,15.14,19.48,21.95,12.12,10.92,18.21,23.64,11.10,18.13,6.16,12.72
2,12.13,13.39,7.26,23.67,20.35,23.58,20.06,23.00,18.77,19.89,17.34,14.07
3,10.87,14.18,19.06,23.09,14.60,23.96,17.82,22.48,15.99,20.42,14.13,9.48
4,14.33,12.19,5.81,23.68,11.10,17.62,20.19,23.51,20.70,19.64,11.64,11.58
5,15.12,8.24,9.21,23.43,4.76,18.96,19.75,20.94,16.27,19.59,13.66,11.50
6,13.73,5.47,11.53,19.62,13.69,10.71,13.30,19.93,22.63,14.05,15.25,7.92
7,8.94,11.65,12.32,20.54,19.49,18.00,11.46,15.35,4.11,15.64,16.66,6.79
8,6.13,10.48,9.89,14.41,16.55,19.34,7.91,3.28,20.67,8.87,15.53,13.06
9,13.89,10.27,20.66,18.48,21.76,25.04,13.20,3.75,20.24,16.46,13.10,7.43
10,12.15,11.38,4.04,5.85,22.44,23.84,7.16,22.93,22.99,12.10,15.33,4.47
11,13.94,14.05,2.57,/,12.75,24.40,10.27,22.96,20.41,5.10,13.38,14.23
12,11.64,16.57,7.10,/,14.93,23.62,16.19,24.19,19.58,13.34,13.72,13.22
13,8.75,16.79,18.89,19.45,21.87,21.04,21.71,18.65,19.60,19.27,7.68,14.84
14,12.77,16.96,17.51,26.48,22.08,23.12,19.36,11.18,20.86,19.34,13.75,14.88
15,16.24,12.11,17.40,24.57,22.69,18.89,19.76,6.27,21.34,18.87,16.03,13.06
16,15.35,15.98,10.31,24.05,24.36,22.76,20.57,3.26,19.75,18.24,14.06,10.39
17,15.38,13.37,13.60,20.16,23.39,24.75,21.61,8.76,18.46,18.87,14.90,5.48
18,12.09,17.22,18.22,17.73,24.47,19.04,18.81,12.81,21.94,14.93,15.74,9.77
19,13.95,15.51,19.44,9.47,16.48,23.19,10.35,21.29,20.88,10.27,14.43,14.35
20,11.68,13.42,10.07,15.60,1.01,23.13,12.28,19.52,16.81,8.13,7.73,5.68
21,11.96,7.42,13.67,10.95,6.22,22.10,21.87,22.78,15.45,5.50,5.16,7.65
22,16.47,17.88,12.72,20.91,12.33,13.24,7.05,17.50,17.07,10.55,15.51,13.23
23,15.92,7.18,2.71,17.16,5.14,13.43,18.16,8.68,19.98,17.45,15.31,11.49
24,16.20,15.77,16.69,15.55,2.49,20.92,25.49,9.56,16.92,13.80,12.49,11.23
25,8.79,14.84,5.97,21.93,5.00,21.46,24.19,14.55,19.50,16.68,14.46,3.67
26,5.43,17.23,11.18,23.87,3.56,24.12,23.85,4.85,17.76,9.95,12.59,2.91
27,4.56,17.50,5.91,22.68,4.67,23.74,17.16,7.43,13.44,15.70,12.91,3.92
28,11.36,15.43,17.46,17.84,8.81,19.70,13.81,7.75,2.90,14.75,14.57,13.49
29,14.77,,20.92,23.60,20.72,15.14,19.92,3.62,5.74,16.08,14.77,12.77
30,13.34,,18.54,22.06,18.75,22.02,23.95,3.96,16.72,15.86,15.40,10.02
31,15.48,,17.03,,5.14,,22.03,5.11,,15.02,,14.90
平均,12.5,13.5,12.8,19.6,14,20.4,17.3,14,17.3,14.9,13.4,10.3
