2017年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,17.2,/,13.5,11.3,18.3,25.0,24.3,24.5,25.5,25.4,18.2,17.0
2,18.0,12.6,10.7,9.1,21.3,26.3,24.5,25.2,24.8,25.6,20.4,17.8
3,17.3,14.6,11.6,11.7,22.7,25.7,24.8,25.7,25.4,25.9,21.1,18.2
4,/,16.4,14.6,13.4,22.9,24.8,24.8,25.8,25.7,25.3,17.0,15.3
5,18.4,16.3,16.9,15.5,23.0,25.1,24.9,26.0,26.0,24.8,17.9,12.7
6,18.1,14.4,16.1,18.2,22.6,24.9,25.0,25.9,26.6,25.4,20.9,13.7
7,19.0,13.4,12.3,20.9,22.7,25.1,24.2,26.1,26.1,25.7,22.4,16.2
8,17.9,14.7,13.7,21.3,23.3,25.0,24.0,25.7,26.0,25.7,21.4,15.7
9,15.6,8.7,15.9,22.4,23.3,24.9,25.0,25.1,26.1,24.9,21.6,/
10,14.2,5.1,18.2,21.8,22.9,25.4,25.5,25.6,25.5,24.4,22.5,/
11,15.4,5.8,18.3,/,23.0,25.2,25.3,26.0,24.3,25.1,21.7,13.0
12,17.6,8.5,19.6,/,23.6,25.0,24.7,26.3,25.4,24.5,21.1,14.0
13,15.9,11.2,19.8,/,23.8,24.3,24.8,26.1,24.4,23.5,21.5,/
14,13.8,11.1,13.8,/,21.9,24.1,25.7,25.2,23.8,25.0,22.1,16.6
15,13.3,/,13.6,/,23.2,23.4,25.1,25.3,23.5,24.8,21.4,17.2
16,13.5,/,15.9,/,22.3,24.0,24.5,25.4,23.8,25.4,21.6,15.3
17,15.2,/,17.1,/,21.6,24.6,25.3,24.8,23.1,24.9,22.0,10.0
18,16.9,/,18.7,/,22.8,23.7,25.8,24.9,23.0,23.2,19.6,/
19,17.0,/,19.5,/,22.6,23.4,25.0,24.1,23.6,22.6,16.6,/
20,12.7,17.8,19.8,/,22.8,23.3,24.6,24.4,23.1,21.3,18.4,/
21,9.8,17.7,/,23.3,23.4,24.5,25.2,25.2,24.2,17.5,19.6,10.1
22,9.9,18.5,/,18.0,24.2,25.1,25.4,26.2,24.7,14.8,19.1,12.0
23,10.5,/,/,18.8,24.3,25.6,/,25.8,25.8,16.1,14.4,12.4
24,11.7,11.5,/,20.5,25.1,24.9,25.7,25.7,25.3,18.0,14.5,15.7
25,/,13.0,/,22.0,23.2,24.7,24.6,25.8,25.2,18.1,16.7,12.1
26,11.2,12.1,/,22.8,21.0,24.9,25.1,26.1,25.5,17.6,18.4,14.0
27,/,12.0,/,18.6,23.3,25.3,24.6,25.8,25.2,17.2,19.5,15.1
28,/,13.8,/,15.8,23.6,25.5,26.0,/,25.1,17.7,20.9,15.9
29,/,,16.0,16.2,24.2,23.8,26.0,/,24.9,16.0,21.0,16.1
30,/,,17.8,16.8,24.5,23.4,25.5,/,24.4,15.3,20.1,16.0
31,/,,17.7,,25.1,,24.2,/,,16.4,,13.3
平均,15,12.8,16.1,17.9,23,24.7,25,25.5,24.9,21.9,19.8,14.6
