2018年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1.5,3.9,5.0,1.9,2.2,2.1,2.6,3.0,1.3,1.9,2.1,1.6
2,3.4,3.7,5.7,1.9,2.1,2.0,3.1,2.8,1.8,1.9,1.5,1.2
3,3.4,4.2,3.8,1.5,2.6,1.9,3.4,2.9,2.6,2.2,1.8,1.3
4,4.9,4.2,2.8,1.6,1.6,1.9,3.3,2.2,3.0,5.4,1.3,1.3
5,4.2,/,2.2,1.8,2.1,2.3,3.1,1.9,1.6,2.1,1.3,1.6
6,4.4,3.3,3.7,3.9,2.6,2.4,3.3,2.2,1.8,1.5,1.4,1.7
7,5.8,/,5.7,2.9,3.1,2.1,2.5,2.1,1.8,1.9,1.4,0.0
8,5.9,/,5.6,2.0,2.4,1.9,1.7,2.0,1.6,1.5,1.3,0.0
9,5.9,/,5.4,1.8,1.3,2.2,2.3,1.8,3.4,1.7,1.5,0.0
10,3.4,/,5.6,1.6,1.7,2.5,3.5,1.2,2.1,1.7,1.2,0.0
11,2.4,5.9,5.7,1.9,1.7,2.0,3.3,1.1,1.9,2.8,1.5,0.0
12,2.6,/,5.8,2.7,1.3,2.0,1.5,1.2,2.1,1.6,1.6,0.0
13,2.8,5.8,5.8,2.2,2.0,2.3,2.0,1.2,1.8,1.3,1.6,0.0
14,3.6,5.1,5.8,2.1,1.4,2.3,2.1,1.2,1.5,1.5,1.5,1.7
15,3.8,5.8,5.8,3.3,2.0,3.4,1.7,1.3,1.9,1.5,1.7,0.0
16,1.9,/,5.7,1.9,2.5,2.0,1.7,1.4,1.6,2.2,1.5,1.7
17,0.0,/,5.1,2.1,2.4,1.4,1.9,1.7,2.0,2.3,1.5,2.6
18,1.4,/,5.1,1.5,2.6,1.6,2.4,1.3,2.2,1.5,1.5,1.2
19,3.0,/,4.9,1.3,2.2,3.3,2.3,1.2,1.6,1.5,2.7,0.0
20,1.5,/,4.7,1.7,1.8,3.2,2.1,1.0,1.9,1.4,1.4,0.0
21,1.7,5.1,4.5,1.8,1.7,3.0,2.2,1.7,1.7,1.6,1.6,0.0
22,3.1,5.9,1.9,1.5,1.8,2.4,2.2,1.8,2.1,1.9,3.9,0.0
23,0.1,5.7,2.5,1.7,2.2,3.1,2.1,1.8,1.7,2.1,1.6,1.6
24,1.9,4.9,1.9,2.6,1.8,2.3,2.2,4.6,2.5,1.3,1.3,0.0
25,2.2,3.3,1.9,1.7,2.4,2.4,1.8,2.1,2.1,1.4,1.5,0.0
26,2.0,3.3,2.2,1.3,3.0,2.1,1.7,1.5,3.3,1.6,1.4,0.0
27,3.7,5.2,2.1,2.1,3.1,2.4,2.4,/,3.1,2.8,1.1,0.0
28,4.4,5.3,1.9,1.2,2.2,2.4,2.2,1.2,1.6,1.8,1.8,3.3
29,4.2,,1.6,1.8,2.0,2.8,2.0,1.5,/,1.5,1.2,3.3
30,4.6,,1.7,1.8,2.2,2.1,2.3,1.5,/,1.1,1.0,1.5
31,4.8,,1.9,,2.5,,2.4,1.1,,1.3,,2.5
平均,3.2,4.7,4,2,2.1,2.3,2.4,1.8,2.1,1.9,1.6,0.9
