2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,17.1,22.1,19.8,24.1,28.3,28.9,29.4,29.2,27.8,26.0,22.0
2,19.7,17.8,22.7,21.5,22.1,28.5,29.3,28.5,28.8,28.0,26.0,18.3
3,20.0,19.6,20.8,22.6,23.4,27.7,27.7,30.1,29.9,29.9,25.5,/
4,20.8,20.8,21.0,24.1,26.3,24.8,28.1,31.3,27.7,29.2,23.8,18.3
5,22.1,20.2,21.3,24.6,25.0,27.7,27.4,31.0,27.9,30.1,24.3,16.5
6,21.3,20.2,20.9,25.7,22.7,25.9,26.7,31.5,29.8,30.0,24.2,16.6
7,21.4,20.7,16.8,26.4,21.8,29.6,29.3,31.5,30.2,30.0,23.8,/
8,21.9,20.1,16.7,27.7,23.3,29.4,30.3,30.4,28.5,29.9,22.7,16.4
9,21.3,19.5,18.8,/,24.2,29.9,29.2,27.9,29.9,30.2,22.0,16.7
10,21.6,19.6,19.3,30.3,26.1,27.0,27.7,29.3,/,29.7,22.1,/
11,22.1,19.1,18.8,26.7,28.1,25.0,27.4,28.3,30.2,29.5,22.5,14.2
12,21.7,19.7,20.6,24.6,29.1,24.3,29.5,27.0,30.4,29.6,22.1,14.8
13,20.9,20.9,21.1,24.5,29.4,26.4,30.4,27.4,30.3,29.5,22.6,18.2
14,20.9,21.5,21.2,/,28.7,26.1,31.4,29.7,30.0,28.5,21.7,18.7
15,21.3,21.3,19.3,24.1,28.4,28.3,32.4,26.9,29.8,29.6,22.2,19.6
16,18.6,21.4,20.4,/,26.4,28.6,31.0,27.2,29.4,/,22.3,19.6
17,17.2,20.5,21.1,/,25.7,28.1,33.1,26.7,/,36.1,23.1,20.3
18,18.0,21.0,21.7,26.9,26.2,28.9,29.5,26.8,29.4,/,22.7,20.6
19,19.1,22.2,23.0,23.8,26.5,29.9,29.3,26.9,28.9,/,20.6,20.1
20,20.2,23.2,24.0,/,24.6,30.4,28.8,28.3,27.6,28.2,21.6,20.2
21,17.9,22.7,24.9,/,23.9,30.6,29.3,28.0,26.2,26.0,22.0,20.3
22,16.1,21.1,24.0,/,25.1,29.3,29.6,30.2,27.6,26.1,23.6,20.3
23,15.5,18.9,20.1,28.0,24.3,27.0,/,30.4,27.9,26.4,23.3,20.5
24,15.9,18.1,18.8,29.3,27.0,25.4,30.1,28.2,28.1,26.4,23.8,20.1
25,16.0,20.0,20.0,29.5,27.8,27.2,31.0,28.6,28.9,26.2,23.2,20.7
26,15.2,20.7,21.9,/,28.9,27.4,31.5,29.7,28.9,25.0,23.2,20.5
27,16.2,21.5,23.2,28.2,27.6,28.2,29.6,29.4,29.2,24.9,22.4,18.6
28,15.9,22.3,24.7,28.5,26.0,30.8,29.5,31.1,29.5,/,20.9,19.4
29,16.5,,24.7,29.3,25.7,30.4,30.9,30.5,29.5,/,21.0,18.9
30,18.4,,23.5,29.1,28.1,29.4,32.3,29.4,28.1,/,21.3,19.8
31,20.0,,23.7,,30.2,,32.1,30.3,,25.1,,19.4
平均,19.1,20.4,21.3,26.1,26,28,29.8,29.1,29,28.5,22.9,18.9
